year,region,sstCalYrAnom
1982,aleutian_islands,NA
1982,bits,NA
1982,eastern_bering_sea,NA
1982,evhoe,NA
1982,fr_cgfs,NA
1982,gulf_of_alaska,NA
1982,gulf_of_mexico,0.08780724
1982,ie_igfs,NA
1982,nigfs,NA
1982,norbts,NA
1982,northeast,NA
1982,ns_ibts,NA
1982,pt_ibts,NA
1982,rockall,NA
1982,scotian_shelf,NA
1982,southeast,NA
1982,swc_ibts,NA
1982,west_coast,NA
1983,aleutian_islands,NA
1983,bits,0.124384487
1983,eastern_bering_sea,NA
1983,evhoe,NA
1983,fr_cgfs,NA
1983,gulf_of_alaska,NA
1983,gulf_of_mexico,NA
1983,ie_igfs,NA
1983,nigfs,NA
1983,norbts,NA
1983,northeast,0.027833182
1983,ns_ibts,NA
1983,pt_ibts,NA
1983,rockall,NA
1983,scotian_shelf,0.363691691
1983,southeast,NA
1983,swc_ibts,NA
1983,west_coast,0.467627609
1984,aleutian_islands,NA
1984,bits,NA
1984,eastern_bering_sea,NA
1984,evhoe,NA
1984,fr_cgfs,NA
1984,gulf_of_alaska,NA
1984,gulf_of_mexico,NA
1984,ie_igfs,NA
1984,nigfs,NA
1984,norbts,NA
1984,northeast,NA
1984,ns_ibts,NA
1984,pt_ibts,NA
1984,rockall,NA
1984,scotian_shelf,4.2277e-4
1984,southeast,NA
1984,swc_ibts,NA
1984,west_coast,NA
1985,aleutian_islands,NA
1985,bits,NA
1985,eastern_bering_sea,NA
1985,evhoe,NA
1985,fr_cgfs,NA
1985,gulf_of_alaska,NA
1985,gulf_of_mexico,NA
1985,ie_igfs,NA
1985,nigfs,NA
1985,norbts,NA
1985,northeast,0.152925272
1985,ns_ibts,NA
1985,pt_ibts,NA
1985,rockall,NA
1985,scotian_shelf,NA
1985,southeast,NA
1985,swc_ibts,NA
1985,west_coast,NA
1986,aleutian_islands,NA
1986,bits,NA
1986,eastern_bering_sea,NA
1986,evhoe,NA
1986,fr_cgfs,NA
1986,gulf_of_alaska,NA
1986,gulf_of_mexico,NA
1986,ie_igfs,NA
1986,nigfs,NA
1986,norbts,NA
1986,northeast,NA
1986,ns_ibts,NA
1986,pt_ibts,NA
1986,rockall,NA
1986,scotian_shelf,NA
1986,southeast,NA
1986,swc_ibts,NA
1986,west_coast,NA
1987,aleutian_islands,NA
1987,bits,NA
1987,eastern_bering_sea,NA
1987,evhoe,NA
1987,fr_cgfs,NA
1987,gulf_of_alaska,NA
1987,gulf_of_mexico,NA
1987,ie_igfs,NA
1987,nigfs,NA
1987,norbts,NA
1987,northeast,NA
1987,ns_ibts,NA
1987,pt_ibts,NA
1987,rockall,NA
1987,scotian_shelf,NA
1987,southeast,NA
1987,swc_ibts,NA
1987,west_coast,NA
1988,aleutian_islands,NA
1988,bits,NA
1988,eastern_bering_sea,NA
1988,evhoe,NA
1988,fr_cgfs,NA
1988,gulf_of_alaska,NA
1988,gulf_of_mexico,NA
1988,ie_igfs,NA
1988,nigfs,NA
1988,norbts,NA
1988,northeast,NA
1988,ns_ibts,NA
1988,pt_ibts,NA
1988,rockall,NA
1988,scotian_shelf,NA
1988,southeast,NA
1988,swc_ibts,NA
1988,west_coast,NA
1989,aleutian_islands,NA
1989,bits,0.189529388
1989,eastern_bering_sea,NA
1989,evhoe,0.112297267
1989,fr_cgfs,0.338963146
1989,gulf_of_alaska,NA
1989,gulf_of_mexico,NA
1989,ie_igfs,0.080795294
1989,nigfs,0.032251032
1989,norbts,NA
1989,northeast,NA
1989,ns_ibts,NA
1989,pt_ibts,0.016668674
1989,rockall,NA
1989,scotian_shelf,NA
1989,southeast,NA
1989,swc_ibts,0.009485852
1989,west_coast,NA
1990,aleutian_islands,NA
1990,bits,0.419782379
1990,eastern_bering_sea,NA
1990,evhoe,0.095206309
1990,fr_cgfs,0.038041684
1990,gulf_of_alaska,NA
1990,gulf_of_mexico,NA
1990,ie_igfs,NA
1990,nigfs,NA
1990,norbts,0.236471666
1990,northeast,NA
