ref_yr,anom_days,anom_sev,anom_int,mhw_yes_no
BITS-2-2001,47,8.21171735,0.17471739042553194,yes
BITS-2-2002,22,3.4027833850000007,0.15467197204545458,yes
BITS-2-2003,45,8.277102613000002,0.18393561362222227,yes
BITS-2-2004,0,0,0,no
BITS-2-2005,0,0,0,no
BITS-2-2006,0,0,0,no
BITS-2-2007,7,0.08952536000000001,0.012789337142857144,yes
BITS-2-2008,78,4.581094120000001,0.058731975897435916,yes
BITS-2-2009,30,2.0012654949999997,0.06670884983333332,yes
BITS-2-2010,54,5.4504901949999995,0.1009350036111111,yes
BITS-2-2011,0,0,0,no
BITS-2-2012,0,0,0,no
BITS-2-2013,0,0,0,no
BITS-2-2014,0,0,0,no
BITS-2-2015,39,2.710545055999998,0.06950115528205124,yes
BITS-2-2016,0,0,0,no
BITS-2-2017,8,0.44549497099999996,0.055686871374999995,yes
BITS-2-2018,0,0,0,no
BITS-2-2019,0,0,0,no
DFO-QCS-7-2003,5,0.17399679099999998,0.0347993582,yes
DFO-QCS-7-2004,0,0,0,no
DFO-QCS-7-2005,0,0,0,no
DFO-QCS-7-2007,0,0,0,no
DFO-QCS-7-2009,0,0,0,no
DFO-QCS-7-2011,0,0,0,no
DFO-QCS-7-2013,0,0,0,no
DFO-QCS-7-2015,15,1.9990311410000001,0.13326874273333333,yes
DFO-QCS-7-2017,44,12.716385107999997,0.2890087524545454,yes
DFO-QCS-7-2019,34,3.5598022570000003,0.10470006638235295,yes
EBS-6-1994,0,0,0,no
EBS-6-1995,0,0,0,no
EBS-6-1996,0,0,0,no
EBS-6-1997,0,0,0,no
EBS-6-1998,0,0,0,no
EBS-6-1999,0,0,0,no
EBS-6-2000,0,0,0,no
EBS-6-2001,46,7.659874609999999,0.16651901326086954,yes
EBS-6-2002,0,0,0,no
EBS-6-2003,35,1.219530191,0.034843719742857146,yes
EBS-6-2004,163,17.990128593,0.11036888707361964,yes
EBS-6-2005,0,0,0,no
EBS-6-2006,20,0.9045678559999999,0.045228392799999996,yes
EBS-6-2007,0,0,0,no
EBS-6-2008,0,0,0,no
EBS-6-2009,0,0,0,no
EBS-6-2010,0,0,0,no
EBS-6-2011,0,0,0,no
EBS-6-2012,0,0,0,no
EBS-6-2013,0,0,0,no
EBS-6-2014,0,0,0,no
EBS-6-2015,16,1.7835891489999998,0.11147432181249999,yes
EBS-6-2016,88,10.404096953999998,0.1182283744772727,yes
EBS-6-2017,68,6.107620319,0.08981794586764705,yes
EBS-6-2018,35,4.198274977,0.11995071362857142,yes
EBS-6-2019,17,1.056750556,0.062161797411764697,yes
EVHOE-10-1997,0,0,0,no
EVHOE-10-1998,139,10.126858571000007,0.07285509763309357,yes
EVHOE-10-1999,0,0,0,no
EVHOE-10-2000,13,0.458247189,0.03524978376923077,yes
EVHOE-10-2001,0,0,0,no
EVHOE-10-2002,0,0,0,no
EVHOE-10-2003,7,0.26891611,0.03841658714285714,yes
EVHOE-10-2004,0,0,0,no
EVHOE-10-2005,0,0,0,no
EVHOE-10-2006,0,0,0,no
EVHOE-10-2007,186,29.810918630000003,0.16027375607526884,yes
EVHOE-10-2008,0,0,0,no
EVHOE-10-2009,0,0,0,no
EVHOE-10-2010,0,0,0,no
EVHOE-10-2011,0,0,0,no
EVHOE-10-2012,0,0,0,no
EVHOE-10-2013,30,1.283701986,0.042790066200000004,yes
EVHOE-10-2014,0,0,0,no
EVHOE-10-2015,0,0,0,no
EVHOE-10-2016,32,1.7682043379999997,0.05525638556249999,yes
EVHOE-10-2018,0,0,0,no
EVHOE-10-2019,0,0,0,no
FR-CGFS-10-1998,16,4.081160517,0.2550725323125,yes
FR-CGFS-10-1999,9,0.165650592,0.018405621333333334,yes
FR-CGFS-10-2000,0,0,0,no
FR-CGFS-10-2001,0,0,0,no
FR-CGFS-10-2002,110,10.684586879999996,0.09713260799999997,yes
FR-CGFS-10-2003,0,0,0,no
FR-CGFS-10-2004,0,0,0,no
FR-CGFS-10-2005,0,0,0,no
FR-CGFS-10-2006,5,0.155563065,0.031112613,yes
FR-CGFS-10-2007,44,13.689321327000004,0.31112093925000006,yes
FR-CGFS-10-2008,8,0.375823463,0.046977932875,yes
FR-CGFS-10-2009,0,0,0,no
FR-CGFS-10-2010,0,0,0,no
FR-CGFS-10-2011,0,0,0,no
FR-CGFS-10-2012,14,1.191425621,0.08510183007142857,yes
FR-CGFS-10-2013,0,0,0,no
FR-CGFS-10-2014,39,9.783338132999999,0.2508548239230769,yes
FR-CGFS-10-2015,12,1.117531424,0.09312761866666668,yes
FR-CGFS-10-2016,36,15.763114324000002,0.43786428677777783,yes
FR-CGFS-10-2017,81,9.274124709999999,0.11449536679012344,yes
FR-CGFS-10-2018,0,0,0,no
FR-CGFS-10-2019,0,0,0,no
GMEX-6-1994,0,0,0,no
GMEX-6-1995,0,0,0,no
GMEX-6-1996,0,0,0,no
GMEX-6-1997,0,0,0,no
GMEX-6-1998,100,15.992975671999998,0.15992975671999998,yes
GMEX-6-1999,37,1.5435277620000005,0.04171696654054056,yes
GMEX-6-2000,0,0,0,no
GMEX-6-2001,0,0,0,no
GMEX-6-2002,0,0,0,no
GMEX-6-2003,43,3.9861830869999997,0.09270193225581394,yes
GMEX-6-2004,0,0,0,no
GMEX-6-2005,0,0,0,no
GMEX-6-2006,0,0,0,no
GMEX-6-2007,0,0,0,no
GMEX-6-2008,0,0,0,no
GMEX-6-2009,0,0,0,no
GMEX-6-2010,0,0,0,no
GMEX-6-2011,0,0,0,no
GMEX-6-2012,0,0,0,no
GMEX-6-2013,0,0,0,no
GMEX-6-2014,0,0,0,no
GMEX-6-2015,27,1.2824143250000002,0.04749682685185186,yes
GMEX-6-2016,122,28.862965082,0.236581681,yes
GMEX-6-2017,76,9.960180255,0.13105500335526316,yes
GMEX-6-2018,0,0,0,no
GMEX-6-2019,92,9.013469411999994,0.09797249360869559,yes
GOA-5-1999,51,11.393514755000002,0.22340225009803924,yes
GOA-5-2001,2,0.030540973,0.0152704865,yes
GOA-5-2003,5,0.35010795899999997,0.07002159179999999,yes
GOA-5-2005,14,1.6721200229999997,0.11943714449999998,yes
GOA-5-2007,3,0.20910914100000003,0.069703047,yes
GOA-5-2009,0,0,0,no
GOA-5-2011,0,0,0,no
GOA-5-2013,19,4.021586457,0.21166244510526314,yes
GOA-5-2015,0,0,0,no
GOA-5-2017,171,56.84376813600001,0.3324196967017544,yes
GOA-5-2019,0,0,0,no
GSL-S-8-1994,0,0,0,no
GSL-S-8-1995,0,0,0,no
GSL-S-8-1996,0,0,0,no
GSL-S-8-1997,0,0,0,no
GSL-S-8-1998,0,0,0,no
GSL-S-8-1999,0,0,0,no
GSL-S-8-2000,79,5.156865506000002,0.06527677855696205,yes
GSL-S-8-2001,58,6.994355257000002,0.12059233201724141,yes
GSL-S-8-2002,5,0.090830192,0.0181660384,yes
GSL-S-8-2004,0,0,0,no
GSL-S-8-2005,0,0,0,no
GSL-S-8-2006,14,0.610403554,0.043600253857142855,yes
GSL-S-8-2007,9,0.86724084,0.09636009333333334,yes
GSL-S-8-2008,4,0.283395789,0.07084894725,yes
GSL-S-8-2009,0,0,0,no
GSL-S-8-2010,20,2.5559218230000003,0.12779609115,yes
GSL-S-8-2011,0,0,0,no
GSL-S-8-2012,203,36.045245931999986,0.17756278784236446,yes
GSL-S-8-2013,20,0.520087511,0.026004375549999997,yes
GSL-S-8-2014,0,0,0,no
