ref_yr,anom_days,anom_sev,anom_int,mhw_yes_no
BITS-2-2001,47,8.21171735,0.17471739042553194,yes
BITS-2-2002,22,3.4027833850000007,0.15467197204545458,yes
BITS-2-2003,37,7.765256998000002,0.20987181075675682,yes
BITS-2-2004,0,0,0,no
BITS-2-2005,0,0,0,no
BITS-2-2006,0,0,0,no
BITS-2-2007,7,0.08952536000000001,0.012789337142857144,yes
BITS-2-2008,61,4.343954325000001,0.07121236598360657,yes
BITS-2-2009,21,1.705405264,0.08120977447619047,yes
BITS-2-2010,53,5.440816688999999,0.10265691866037734,yes
BITS-2-2011,0,0,0,no
BITS-2-2012,0,0,0,no
BITS-2-2013,0,0,0,no
BITS-2-2014,0,0,0,no
BITS-2-2015,36,2.682459444999999,0.0745127623611111,yes
BITS-2-2016,0,0,0,no
BITS-2-2017,5,0.38394216,0.07678843199999999,yes
BITS-2-2018,0,0,0,no
BITS-2-2019,0,0,0,no
DFO-QCS-7-2003,5,0.17399679099999998,0.0347993582,yes
DFO-QCS-7-2004,0,0,0,no
DFO-QCS-7-2005,0,0,0,no
DFO-QCS-7-2007,0,0,0,no
DFO-QCS-7-2009,0,0,0,no
DFO-QCS-7-2011,0,0,0,no
DFO-QCS-7-2013,0,0,0,no
DFO-QCS-7-2015,15,1.9990311410000001,0.13326874273333333,yes
DFO-QCS-7-2017,44,12.716385107999997,0.2890087524545454,yes
DFO-QCS-7-2019,34,3.5598022570000003,0.10470006638235295,yes
EBS-6-1994,0,0,0,no
EBS-6-1995,0,0,0,no
EBS-6-1996,0,0,0,no
EBS-6-1997,0,0,0,no
EBS-6-1998,0,0,0,no
EBS-6-1999,0,0,0,no
EBS-6-2000,0,0,0,no
EBS-6-2001,46,7.659874609999999,0.16651901326086954,yes
EBS-6-2002,0,0,0,no
EBS-6-2003,30,1.192582756,0.039752758533333335,yes
EBS-6-2004,163,17.990128593,0.11036888707361964,yes
EBS-6-2005,0,0,0,no
EBS-6-2006,20,0.9045678559999999,0.045228392799999996,yes
EBS-6-2007,0,0,0,no
EBS-6-2008,0,0,0,no
EBS-6-2009,0,0,0,no
EBS-6-2010,0,0,0,no
EBS-6-2011,0,0,0,no
EBS-6-2012,0,0,0,no
EBS-6-2013,0,0,0,no
EBS-6-2014,0,0,0,no
EBS-6-2015,13,1.7224329309999997,0.13249484084615382,yes
EBS-6-2016,88,10.404096953999998,0.1182283744772727,yes
EBS-6-2017,56,6.065682901,0.10831576608928571,yes
EBS-6-2018,35,4.198274977,0.11995071362857142,yes
EBS-6-2019,16,1.048718037,0.0655448773125,yes
EVHOE-10-1997,0,0,0,no
EVHOE-10-1998,135,10.114381307000006,0.07492134301481486,yes
EVHOE-10-1999,0,0,0,no
EVHOE-10-2000,13,0.458247189,0.03524978376923077,yes
EVHOE-10-2001,0,0,0,no
EVHOE-10-2002,0,0,0,no
EVHOE-10-2003,7,0.26891611,0.03841658714285714,yes
EVHOE-10-2004,0,0,0,no
EVHOE-10-2005,0,0,0,no
EVHOE-10-2006,0,0,0,no
EVHOE-10-2007,184,29.802193025000008,0.1619684403532609,yes
EVHOE-10-2008,0,0,0,no
EVHOE-10-2009,0,0,0,no
EVHOE-10-2010,0,0,0,no
EVHOE-10-2011,0,0,0,no
EVHOE-10-2012,0,0,0,no
EVHOE-10-2013,27,1.258648343,0.04661660529629629,yes
EVHOE-10-2014,0,0,0,no
EVHOE-10-2015,0,0,0,no
EVHOE-10-2016,31,1.7618665049999997,0.05683440338709676,yes
EVHOE-10-2018,0,0,0,no
EVHOE-10-2019,0,0,0,no
FR-CGFS-10-1998,16,4.081160517,0.2550725323125,yes
FR-CGFS-10-1999,0,0,0,no
FR-CGFS-10-2000,0,0,0,no
FR-CGFS-10-2001,0,0,0,no
FR-CGFS-10-2002,106,10.605218513999999,0.10004923126415093,yes
FR-CGFS-10-2003,0,0,0,no
FR-CGFS-10-2004,0,0,0,no
FR-CGFS-10-2005,0,0,0,no
FR-CGFS-10-2006,5,0.155563065,0.031112613,yes
FR-CGFS-10-2007,44,13.689321327000004,0.31112093925000006,yes
FR-CGFS-10-2008,7,0.369211925,0.05274456071428572,yes
FR-CGFS-10-2009,0,0,0,no
FR-CGFS-10-2010,0,0,0,no
FR-CGFS-10-2011,0,0,0,no
FR-CGFS-10-2012,7,0.920022618,0.13143180257142856,yes
FR-CGFS-10-2013,0,0,0,no
FR-CGFS-10-2014,37,9.743100432999999,0.2633270387297297,yes
FR-CGFS-10-2015,9,1.036815738,0.11520174866666667,yes
FR-CGFS-10-2016,32,15.731785985000002,0.49161831203125006,yes
FR-CGFS-10-2017,80,9.27139817,0.11589247712499999,yes
FR-CGFS-10-2018,0,0,0,no
FR-CGFS-10-2019,0,0,0,no
GMEX-6-1994,0,0,0,no
GMEX-6-1995,0,0,0,no
GMEX-6-1996,0,0,0,no
GMEX-6-1997,0,0,0,no
GMEX-6-1998,100,15.992975671999998,0.15992975671999998,yes
GMEX-6-1999,33,1.5199848910000002,0.04606014821212122,yes
GMEX-6-2000,0,0,0,no
GMEX-6-2001,0,0,0,no
GMEX-6-2002,0,0,0,no
GMEX-6-2003,43,3.9861830869999997,0.09270193225581394,yes
GMEX-6-2004,0,0,0,no
GMEX-6-2005,0,0,0,no
GMEX-6-2006,0,0,0,no
GMEX-6-2007,0,0,0,no
GMEX-6-2008,0,0,0,no
GMEX-6-2009,0,0,0,no
GMEX-6-2010,0,0,0,no
GMEX-6-2011,0,0,0,no
GMEX-6-2012,0,0,0,no
GMEX-6-2013,0,0,0,no
GMEX-6-2014,0,0,0,no
GMEX-6-2015,27,1.2824143250000002,0.04749682685185186,yes
GMEX-6-2016,122,28.862965082,0.236581681,yes
GMEX-6-2017,76,9.960180255,0.13105500335526316,yes
GMEX-6-2018,0,0,0,no
GMEX-6-2019,92,9.013469411999994,0.09797249360869559,yes
GOA-5-1999,46,11.250154819000002,0.24456858302173917,yes
GOA-5-2001,0,0,0,no
GOA-5-2003,5,0.35010795899999997,0.07002159179999999,yes
GOA-5-2005,12,1.580701236,0.13172510299999998,yes
GOA-5-2007,0,0,0,no
GOA-5-2009,0,0,0,no
GOA-5-2011,0,0,0,no
GOA-5-2013,16,3.990032882,0.249377055125,yes
GOA-5-2015,0,0,0,no
GOA-5-2017,164,56.49090222700001,0.3444567208963415,yes
GOA-5-2019,0,0,0,no
GSL-S-8-1994,0,0,0,no
GSL-S-8-1995,0,0,0,no
GSL-S-8-1996,0,0,0,no
GSL-S-8-1997,0,0,0,no
GSL-S-8-1998,0,0,0,no
GSL-S-8-1999,0,0,0,no
GSL-S-8-2000,75,5.133770411000001,0.06845027214666669,yes
GSL-S-8-2001,58,6.994355257000002,0.12059233201724141,yes
GSL-S-8-2002,0,0,0,no
GSL-S-8-2004,0,0,0,no
GSL-S-8-2005,0,0,0,no
GSL-S-8-2006,14,0.610403554,0.043600253857142855,yes
GSL-S-8-2007,9,0.86724084,0.09636009333333334,yes
GSL-S-8-2008,0,0,0,no
GSL-S-8-2009,0,0,0,no
GSL-S-8-2010,20,2.5559218230000003,0.12779609115,yes
GSL-S-8-2011,0,0,0,no
GSL-S-8-2012,203,36.045245931999986,0.17756278784236446,yes
GSL-S-8-2013,16,0.38450473100000004,0.024031545687500003,yes
GSL-S-8-2014,0,0,0,no
GSL-S-8-2015,0,0,0,no
GSL-S-8-2016,79,17.69964626600001,0.2240461552658229,yes
