ref_yr,dhd_days,dhd_sum
BITS-2-2001,0,0
BITS-2-2002,0,0
BITS-2-2003,64,26.068071246000006
BITS-2-2004,3,0.130898753
BITS-2-2005,4,0.11648131
BITS-2-2006,0,0
BITS-2-2007,0,0
BITS-2-2008,66,18.762355347
BITS-2-2009,88,27.063845512000007
BITS-2-2010,77,29.257988096000005
BITS-2-2011,0,0
BITS-2-2012,0,0
BITS-2-2013,0,0
BITS-2-2014,0,0
BITS-2-2015,108,54.420063236
BITS-2-2016,67,25.407898687
BITS-2-2017,97,37.32294296100002
BITS-2-2018,33,5.800649676
BITS-2-2019,1,0.009637836
DFO-QCS-7-2003,0,0
DFO-QCS-7-2004,0,0
DFO-QCS-7-2005,0,0
DFO-QCS-7-2007,0,0
DFO-QCS-7-2009,0,0
DFO-QCS-7-2011,0,0
DFO-QCS-7-2013,0,0
DFO-QCS-7-2015,3,0.028748289000000003
DFO-QCS-7-2017,22,3.172162697
DFO-QCS-7-2019,6,0.186453159
EBS-6-1994,0,0
EBS-6-1995,0,0
EBS-6-1996,0,0
EBS-6-1997,0,0
EBS-6-1998,0,0
EBS-6-1999,0,0
EBS-6-2000,0,0
EBS-6-2001,0,0
EBS-6-2002,0,0
EBS-6-2003,0,0
EBS-6-2004,61,9.049900639999999
EBS-6-2005,0,0
EBS-6-2006,29,2.2989130480000006
EBS-6-2007,0,0
EBS-6-2008,0,0
EBS-6-2009,0,0
EBS-6-2010,0,0
EBS-6-2011,0,0
EBS-6-2012,0,0
EBS-6-2013,0,0
EBS-6-2014,0,0
EBS-6-2015,0,0
EBS-6-2016,0,0
EBS-6-2017,46,9.963297954000002
EBS-6-2018,0,0
EBS-6-2019,33,4.530324619999999
EVHOE-10-1997,0,0
EVHOE-10-1998,0,0
EVHOE-10-1999,0,0
EVHOE-10-2000,0,0
EVHOE-10-2001,0,0
EVHOE-10-2002,0,0
EVHOE-10-2003,0,0
EVHOE-10-2004,0,0
EVHOE-10-2005,0,0
EVHOE-10-2006,0,0
EVHOE-10-2007,0,0
EVHOE-10-2008,0,0
EVHOE-10-2009,0,0
EVHOE-10-2010,0,0
EVHOE-10-2011,0,0
EVHOE-10-2012,0,0
EVHOE-10-2013,0,0
EVHOE-10-2014,0,0
EVHOE-10-2015,0,0
EVHOE-10-2016,0,0
EVHOE-10-2018,0,0
EVHOE-10-2019,0,0
FR-CGFS-10-1998,0,0
FR-CGFS-10-1999,16,2.674934443
FR-CGFS-10-2000,0,0
FR-CGFS-10-2001,0,0
FR-CGFS-10-2002,14,1.3379789380000002
FR-CGFS-10-2003,0,0
FR-CGFS-10-2004,0,0
FR-CGFS-10-2005,0,0
FR-CGFS-10-2006,0,0
FR-CGFS-10-2007,4,0.12841974099999998
FR-CGFS-10-2008,0,0
FR-CGFS-10-2009,0,0
FR-CGFS-10-2010,0,0
FR-CGFS-10-2011,0,0
FR-CGFS-10-2012,22,2.2434089470000003
FR-CGFS-10-2013,0,0
FR-CGFS-10-2014,0,0
FR-CGFS-10-2015,0,0
FR-CGFS-10-2016,24,2.729929979
FR-CGFS-10-2017,34,7.5481854145
FR-CGFS-10-2018,38,6.400889737
FR-CGFS-10-2019,33,4.988597646
GMEX-6-1994,0,0
GMEX-6-1995,0,0
GMEX-6-1996,0,0
GMEX-6-1997,0,0
GMEX-6-1998,0,0
GMEX-6-1999,0,0
GMEX-6-2000,0,0
GMEX-6-2001,0,0
GMEX-6-2002,0,0
GMEX-6-2003,0,0
GMEX-6-2004,0,0
GMEX-6-2005,0,0
GMEX-6-2006,0,0
GMEX-6-2007,0,0
GMEX-6-2008,0,0
GMEX-6-2009,0,0
GMEX-6-2010,0,0
GMEX-6-2011,0,0
GMEX-6-2012,0,0
GMEX-6-2013,0,0
GMEX-6-2014,0,0
GMEX-6-2015,0,0
GMEX-6-2016,0,0
GMEX-6-2017,23,1.957919226
GMEX-6-2018,0,0
GMEX-6-2019,0,0
GOA-5-1999,0,0
GOA-5-2001,0,0
GOA-5-2003,0,0
GOA-5-2005,0,0
GOA-5-2007,0,0
GOA-5-2009,0,0
GOA-5-2011,0,0
GOA-5-2013,0,0
GOA-5-2015,0,0
GOA-5-2017,0,0
GOA-5-2019,0,0
GSL-S-8-1994,0,0
GSL-S-8-1995,0,0
GSL-S-8-1996,0,0
GSL-S-8-1997,0,0
GSL-S-8-1998,0,0
GSL-S-8-1999,0,0
GSL-S-8-2000,0,0
GSL-S-8-2001,51,10.885699655000002
GSL-S-8-2002,0,0
GSL-S-8-2004,0,0
GSL-S-8-2005,0,0
GSL-S-8-2006,0,0
GSL-S-8-2007,0,0
GSL-S-8-2008,14,3.555340952
GSL-S-8-2009,0,0
GSL-S-8-2010,0,0
GSL-S-8-2011,7,0.9765750679999999
GSL-S-8-2012,65,14.377988514999998
GSL-S-8-2013,43,8.525617812
GSL-S-8-2014,0,0
GSL-S-8-2015,0,0
GSL-S-8-2016,67,25.068330308999997
GSL-S-8-2017,10,0.131328646
GSL-S-8-2018,0,0
GSL-S-8-2019,19,1.8724569369999997
IE-IGFS-10-2003,0,0
IE-IGFS-10-2004,0,0
IE-IGFS-10-2005,0,0
IE-IGFS-10-2006,0,0
IE-IGFS-10-2007,0,0
IE-IGFS-10-2008,0,0
IE-IGFS-10-2009,0,0
IE-IGFS-10-2010,0,0
IE-IGFS-10-2011,0,0
IE-IGFS-10-2012,19,1.6573127109999997
IE-IGFS-10-2013,12,0.9037277009999999
IE-IGFS-10-2014,0,0
IE-IGFS-10-2015,0,0
IE-IGFS-10-2016,0,0
IE-IGFS-10-2017,0,0
IE-IGFS-10-2018,0,0
IE-IGFS-10-2019,51,2.4484501209999996
NEUS-9-1994,0,0
NEUS-9-1995,0,0
NEUS-9-1996,18,2.326200491
NEUS-9-1997,0,0
NEUS-9-1998,0,0
NEUS-9-1999,0,0
NEUS-9-2000,59,13.760044675999998
NEUS-9-2001,0,0
NEUS-9-2002,0,0
NEUS-9-2003,14,1.152358153
NEUS-9-2004,0,0
NEUS-9-2005,0,0
NEUS-9-2006,0,0
NEUS-9-2007,0,0
NEUS-9-2008,0,0
NEUS-9-2009,0,0
NEUS-9-2010,0,0
NEUS-9-2011,0,0
NEUS-9-2012,7,0.47279134100000003
NEUS-9-2013,31,2.7639886600000003
NEUS-9-2014,50,27.512996548
NEUS-9-2015,74,59.209986049999976
NEUS-9-2016,83,64.129586505
NEUS-9-2017,78,57.24292986999997
NEUS-9-2018,64,22.037254006999994
NEUS-9-2019,19,1.4248168159999999
NIGFS-10-2009,1,0.021094571
NIGFS-10-2010,21,3.75747091
NIGFS-10-2011,0,0
NIGFS-10-2012,40,2.06882061
NIGFS-10-2013,0,0
NIGFS-10-2014,0,0
NIGFS-10-2015,0,0
NIGFS-10-2016,25,9.743209375
NIGFS-10-2017,43,17.583978775
NIGFS-10-2018,14,1.6589656760000002
NIGFS-10-2019,43,7.777762649
Nor-BTS-8-1994,0,0
Nor-BTS-8-1995,0,0
Nor-BTS-8-1996,0,0
Nor-BTS-8-1997,0,0
Nor-BTS-8-1998,0,0
Nor-BTS-8-1999,0,0
Nor-BTS-8-2000,0,0
Nor-BTS-8-2001,0,0
Nor-BTS-8-2002,0,0
Nor-BTS-8-2003,0,0
Nor-BTS-8-2004,0,0
Nor-BTS-8-2005,0,0
Nor-BTS-8-2006,11,0.301233527
Nor-BTS-8-2007,0,0
Nor-BTS-8-2008,30,2.518346253
Nor-BTS-8-2009,0,0
Nor-BTS-8-2010,0,0
Nor-BTS-8-2011,0,0
Nor-BTS-8-2012,17,0.29109856599999995
Nor-BTS-8-2013,148,36.289580357000006
Nor-BTS-8-2014,0,0
Nor-BTS-8-2015,0,0
Nor-BTS-8-2016,93,13.960763873
Nor-BTS-8-2017,173,59.01395214299998
NS-IBTS-1-1994,0,0
NS-IBTS-1-1995,0,0
NS-IBTS-1-1996,0,0
NS-IBTS-1-1997,0,0
NS-IBTS-1-1998,30,4.194598454
NS-IBTS-1-1999,2,0.043872845
NS-IBTS-1-2000,23,3.6448393
NS-IBTS-1-2001,0,0
NS-IBTS-1-2002,0,0
NS-IBTS-1-2003,39,4.807229318999999
NS-IBTS-1-2004,59,19.043048602999995
NS-IBTS-1-2005,53,13.252092558999996
NS-IBTS-1-2006,50,8.389653303000001
NS-IBTS-1-2007,39,6.638213215999999
NS-IBTS-1-2008,73,18.928712687999997
NS-IBTS-1-2009,0,0
NS-IBTS-1-2010,62,27.273229759
NS-IBTS-1-2011,0,0
NS-IBTS-1-2012,32,2.4675901129999995
NS-IBTS-1-2013,26,4.749434782999998
NS-IBTS-1-2014,0,0
NS-IBTS-1-2015,87,30.301877579999992
NS-IBTS-1-2016,47,2.9671818160000005
NS-IBTS-1-2017,61,31.045493732000004
NS-IBTS-1-2018,85,31.212476371
NS-IBTS-1-2019,0,0
PT-IBTS-9-2005,0,0
PT-IBTS-9-2006,0,0
PT-IBTS-9-2007,0,0
PT-IBTS-9-2008,0,0
PT-IBTS-9-2009,0,0
PT-IBTS-9-2010,0,0
PT-IBTS-9-2011,0,0
PT-IBTS-9-2013,0,0
PT-IBTS-9-2014,0,0
PT-IBTS-9-2015,0,0
PT-IBTS-9-2016,0,0
PT-IBTS-9-2017,0,0
SCS-6-1994,0,0
SCS-6-1995,0,0
SCS-6-1996,0,0
SCS-6-1997,0,0
SCS-6-1998,0,0
SCS-6-1999,0,0
SCS-6-2000,6,0.13063564000000003
SCS-6-2001,52,4.087362823999998
SCS-6-2002,0,0
SCS-6-2003,9,0.138838187
SCS-6-2004,0,0
SCS-6-2005,0,0
SCS-6-2006,0,0
SCS-6-2007,0,0
SCS-6-2008,0,0
SCS-6-2009,0,0
SCS-6-2010,4,0.012843534
SCS-6-2011,0,0
SCS-6-2012,6,0.120793346
SCS-6-2013,232,127.836512699
SCS-6-2014,65,3.1255576940000007
SCS-6-2015,237,166.72543742400006
SCS-6-2016,226,118.191829818
SCS-6-2017,196,106.26184180800003
SEUS-4-1994,29,10.158214292999999
SEUS-4-1995,0,0
SEUS-4-1996,17,2.70197868
SEUS-4-1997,0,0
SEUS-4-1998,0,0
SEUS-4-1999,0,0
SEUS-4-2000,7,1.5858458270000002
SEUS-4-2001,5,0.8518488080000001
SEUS-4-2002,0,0
SEUS-4-2003,0,0
SEUS-4-2004,0,0
SEUS-4-2005,0,0
SEUS-4-2006,40,18.783698066
SEUS-4-2007,0,0
SEUS-4-2008,25,10.693577979999999
SEUS-4-2009,0,0
SEUS-4-2010,0,0
SEUS-4-2011,10,1.6253549030000003
SEUS-4-2012,0,0
SEUS-4-2013,0,0
SEUS-4-2014,0,0
SEUS-4-2015,1,0.081601483
SEUS-4-2016,0,0
SEUS-4-2017,34,7.810502553999999
SEUS-4-2018,0,0
SEUS-4-2019,0,0
SWC-IBTS-2-1994,0,0
SWC-IBTS-2-1995,0,0
SWC-IBTS-2-1996,0,0
SWC-IBTS-2-1997,0,0
SWC-IBTS-2-1998,0,0
SWC-IBTS-2-1999,0,0
SWC-IBTS-2-2000,0,0
SWC-IBTS-2-2001,0,0
SWC-IBTS-2-2002,0,0
SWC-IBTS-2-2003,0,0
SWC-IBTS-2-2004,0,0
SWC-IBTS-2-2005,0,0
SWC-IBTS-2-2006,5,0.30684527100000003
SWC-IBTS-2-2007,0,0
SWC-IBTS-2-2008,0,0
SWC-IBTS-2-2009,0,0
SWC-IBTS-2-2010,0,0
SWC-IBTS-2-2011,0,0
SWC-IBTS-2-2012,0,0
SWC-IBTS-2-2013,0,0
SWC-IBTS-2-2014,0,0
SWC-IBTS-2-2015,0,0
SWC-IBTS-2-2016,0,0
SWC-IBTS-2-2017,0,0
SWC-IBTS-2-2018,0,0
SWC-IBTS-2-2019,0,0
WCANN-5-2003,0,0
WCANN-5-2004,0,0
WCANN-5-2005,0,0
WCANN-5-2006,0,0
WCANN-5-2007,0,0
WCANN-5-2008,0,0
WCANN-5-2009,0,0
WCANN-5-2010,0,0
WCANN-5-2011,0,0
WCANN-5-2012,0,0
WCANN-5-2013,0,0
WCANN-5-2014,0,0
WCANN-5-2015,0,0
WCANN-5-2016,0,0
WCANN-5-2017,0,0
WCANN-5-2018,0,0
