ref_yr,dhd_days,dhd_sum
BITS-2-2001,0,0
BITS-2-2002,0,0
BITS-2-2003,12,0.58618224
BITS-2-2004,0,0
BITS-2-2005,0,0
BITS-2-2006,0,0
BITS-2-2007,0,0
BITS-2-2008,0,0
BITS-2-2009,0,0
BITS-2-2010,8,0.263140051
BITS-2-2011,0,0
BITS-2-2012,0,0
BITS-2-2013,0,0
BITS-2-2014,0,0
BITS-2-2015,16,1.380643406
BITS-2-2016,0,0
BITS-2-2017,5,0.5180569370000001
BITS-2-2018,0,0
BITS-2-2019,0,0
DFO-QCS-7-2003,0,0
DFO-QCS-7-2004,0,0
DFO-QCS-7-2005,0,0
DFO-QCS-7-2007,0,0
DFO-QCS-7-2009,0,0
DFO-QCS-7-2011,0,0
DFO-QCS-7-2013,0,0
DFO-QCS-7-2015,0,0
DFO-QCS-7-2017,14,0.524212342
DFO-QCS-7-2019,0,0
EBS-6-1994,0,0
EBS-6-1995,0,0
EBS-6-1996,0,0
EBS-6-1997,0,0
EBS-6-1998,0,0
EBS-6-1999,0,0
EBS-6-2000,0,0
EBS-6-2001,0,0
EBS-6-2002,0,0
EBS-6-2003,0,0
EBS-6-2004,46,2.93311388
EBS-6-2005,0,0
EBS-6-2006,8,0.204434833
EBS-6-2007,0,0
EBS-6-2008,0,0
EBS-6-2009,0,0
EBS-6-2010,0,0
EBS-6-2011,0,0
EBS-6-2012,0,0
EBS-6-2013,0,0
EBS-6-2014,0,0
EBS-6-2015,0,0
EBS-6-2016,0,0
EBS-6-2017,37,5.246567313999999
EBS-6-2018,0,0
EBS-6-2019,19,1.4755514180000002
EVHOE-10-1997,0,0
EVHOE-10-1998,0,0
EVHOE-10-1999,0,0
EVHOE-10-2000,0,0
EVHOE-10-2001,0,0
EVHOE-10-2002,0,0
EVHOE-10-2003,0,0
EVHOE-10-2004,0,0
EVHOE-10-2005,0,0
EVHOE-10-2006,0,0
EVHOE-10-2007,0,0
EVHOE-10-2008,0,0
EVHOE-10-2009,0,0
EVHOE-10-2010,0,0
EVHOE-10-2011,0,0
EVHOE-10-2012,0,0
EVHOE-10-2013,0,0
EVHOE-10-2014,0,0
EVHOE-10-2015,0,0
EVHOE-10-2016,0,0
EVHOE-10-2018,0,0
EVHOE-10-2019,0,0
FR-CGFS-10-1998,0,0
FR-CGFS-10-1999,0,0
FR-CGFS-10-2000,0,0
FR-CGFS-10-2001,0,0
FR-CGFS-10-2002,0,0
FR-CGFS-10-2003,0,0
FR-CGFS-10-2004,0,0
FR-CGFS-10-2005,0,0
FR-CGFS-10-2006,0,0
FR-CGFS-10-2007,0,0
FR-CGFS-10-2008,0,0
FR-CGFS-10-2009,0,0
FR-CGFS-10-2010,0,0
FR-CGFS-10-2011,0,0
FR-CGFS-10-2012,0,0
FR-CGFS-10-2013,0,0
FR-CGFS-10-2014,0,0
FR-CGFS-10-2015,0,0
FR-CGFS-10-2016,0,0
FR-CGFS-10-2017,0,0
FR-CGFS-10-2018,0,0
FR-CGFS-10-2019,0,0
GMEX-6-1994,0,0
GMEX-6-1995,0,0
GMEX-6-1996,0,0
GMEX-6-1997,0,0
GMEX-6-1998,0,0
GMEX-6-1999,0,0
GMEX-6-2000,0,0
GMEX-6-2001,0,0
GMEX-6-2002,0,0
GMEX-6-2003,0,0
GMEX-6-2004,0,0
GMEX-6-2005,0,0
GMEX-6-2006,0,0
GMEX-6-2007,0,0
GMEX-6-2008,0,0
GMEX-6-2009,0,0
GMEX-6-2010,0,0
GMEX-6-2011,0,0
GMEX-6-2012,0,0
GMEX-6-2013,0,0
GMEX-6-2014,0,0
GMEX-6-2015,0,0
GMEX-6-2016,0,0
GMEX-6-2017,0,0
GMEX-6-2018,0,0
GMEX-6-2019,0,0
GOA-5-1999,0,0
GOA-5-2001,0,0
GOA-5-2003,0,0
GOA-5-2005,0,0
GOA-5-2007,0,0
GOA-5-2009,0,0
GOA-5-2011,0,0
GOA-5-2013,0,0
GOA-5-2015,0,0
GOA-5-2017,0,0
GOA-5-2019,0,0
GSL-S-8-1994,0,0
GSL-S-8-1995,0,0
GSL-S-8-1996,0,0
GSL-S-8-1997,0,0
GSL-S-8-1998,0,0
GSL-S-8-1999,0,0
GSL-S-8-2000,0,0
GSL-S-8-2001,0,0
GSL-S-8-2002,0,0
GSL-S-8-2004,0,0
GSL-S-8-2005,0,0
GSL-S-8-2006,0,0
GSL-S-8-2007,0,0
GSL-S-8-2008,0,0
GSL-S-8-2009,0,0
GSL-S-8-2010,0,0
GSL-S-8-2011,0,0
GSL-S-8-2012,9,1.118909796
GSL-S-8-2013,0,0
GSL-S-8-2014,0,0
GSL-S-8-2015,0,0
GSL-S-8-2016,20,3.7554275449999994
GSL-S-8-2017,0,0
GSL-S-8-2018,0,0
GSL-S-8-2019,0,0
IE-IGFS-10-2003,0,0
IE-IGFS-10-2004,0,0
IE-IGFS-10-2005,0,0
IE-IGFS-10-2006,0,0
IE-IGFS-10-2007,0,0
IE-IGFS-10-2008,0,0
IE-IGFS-10-2009,0,0
IE-IGFS-10-2010,0,0
IE-IGFS-10-2011,0,0
IE-IGFS-10-2012,0,0
IE-IGFS-10-2013,0,0
IE-IGFS-10-2014,0,0
IE-IGFS-10-2015,0,0
IE-IGFS-10-2016,0,0
IE-IGFS-10-2017,0,0
IE-IGFS-10-2018,0,0
IE-IGFS-10-2019,0,0
NEUS-9-1994,0,0
NEUS-9-1995,0,0
NEUS-9-1996,0,0
NEUS-9-1997,0,0
NEUS-9-1998,0,0
NEUS-9-1999,0,0
NEUS-9-2000,0,0
NEUS-9-2001,0,0
NEUS-9-2002,0,0
NEUS-9-2003,0,0
NEUS-9-2004,0,0
NEUS-9-2005,0,0
NEUS-9-2006,0,0
NEUS-9-2007,0,0
NEUS-9-2008,0,0
NEUS-9-2009,0,0
NEUS-9-2010,0,0
NEUS-9-2011,0,0
NEUS-9-2012,0,0
NEUS-9-2013,0,0
NEUS-9-2014,26,4.905940823999999
NEUS-9-2015,51,25.018886538000004
NEUS-9-2016,59,23.70264661600001
NEUS-9-2017,51,19.302604908
NEUS-9-2018,2,0.025082494
NEUS-9-2019,0,0
NIGFS-10-2009,0,0
NIGFS-10-2010,0,0
NIGFS-10-2011,0,0
NIGFS-10-2012,0,0
NIGFS-10-2013,0,0
NIGFS-10-2014,0,0
NIGFS-10-2015,0,0
NIGFS-10-2016,11,0.8490940269999999
NIGFS-10-2017,21,2.308554209
NIGFS-10-2018,0,0
NIGFS-10-2019,0,0
Nor-BTS-8-1994,0,0
Nor-BTS-8-1995,0,0
Nor-BTS-8-1996,0,0
Nor-BTS-8-1997,0,0
Nor-BTS-8-1998,0,0
Nor-BTS-8-1999,0,0
Nor-BTS-8-2000,0,0
Nor-BTS-8-2001,0,0
Nor-BTS-8-2002,0,0
Nor-BTS-8-2003,0,0
Nor-BTS-8-2004,0,0
Nor-BTS-8-2005,0,0
Nor-BTS-8-2006,0,0
Nor-BTS-8-2007,0,0
Nor-BTS-8-2008,0,0
Nor-BTS-8-2009,0,0
Nor-BTS-8-2010,0,0
Nor-BTS-8-2011,0,0
Nor-BTS-8-2012,0,0
Nor-BTS-8-2013,0,0
Nor-BTS-8-2014,0,0
Nor-BTS-8-2015,0,0
Nor-BTS-8-2016,0,0
Nor-BTS-8-2017,11,0.15565933499999998
NS-IBTS-1-1994,0,0
NS-IBTS-1-1995,0,0
NS-IBTS-1-1996,0,0
NS-IBTS-1-1997,0,0
NS-IBTS-1-1998,0,0
NS-IBTS-1-1999,0,0
NS-IBTS-1-2000,0,0
NS-IBTS-1-2001,0,0
NS-IBTS-1-2002,0,0
NS-IBTS-1-2003,0,0
NS-IBTS-1-2004,0,0
NS-IBTS-1-2005,0,0
NS-IBTS-1-2006,0,0
NS-IBTS-1-2007,0,0
NS-IBTS-1-2008,0,0
NS-IBTS-1-2009,0,0
NS-IBTS-1-2010,0,0
NS-IBTS-1-2011,0,0
NS-IBTS-1-2012,0,0
NS-IBTS-1-2013,0,0
NS-IBTS-1-2014,0,0
NS-IBTS-1-2015,0,0
NS-IBTS-1-2016,0,0
NS-IBTS-1-2017,8,0.628426366
NS-IBTS-1-2018,0,0
NS-IBTS-1-2019,0,0
PT-IBTS-9-2005,0,0
PT-IBTS-9-2006,0,0
PT-IBTS-9-2007,4,0.06368185600000001
PT-IBTS-9-2008,0,0
PT-IBTS-9-2009,0,0
PT-IBTS-9-2010,0,0
PT-IBTS-9-2011,0,0
PT-IBTS-9-2013,0,0
PT-IBTS-9-2014,0,0
PT-IBTS-9-2015,0,0
PT-IBTS-9-2016,0,0
PT-IBTS-9-2017,6,0.852698059
SCS-6-1994,0,0
SCS-6-1995,0,0
SCS-6-1996,0,0
SCS-6-1997,0,0
SCS-6-1998,0,0
SCS-6-1999,0,0
SCS-6-2000,0,0
SCS-6-2001,0,0
SCS-6-2002,0,0
SCS-6-2003,0,0
SCS-6-2004,0,0
SCS-6-2005,0,0
SCS-6-2006,0,0
SCS-6-2007,0,0
SCS-6-2008,0,0
SCS-6-2009,0,0
SCS-6-2010,0,0
SCS-6-2011,0,0
SCS-6-2012,0,0
SCS-6-2013,89,23.675986383999998
SCS-6-2014,0,0
SCS-6-2015,136,61.15985654700001
SCS-6-2016,119,17.72868530400001
SCS-6-2017,93,32.343353364
SEUS-4-1994,32,13.936228807000003
SEUS-4-1995,0,0
SEUS-4-1996,22,5.059395199
SEUS-4-1997,0,0
SEUS-4-1998,3,0.21409102200000002
SEUS-4-1999,0,0
SEUS-4-2000,11,2.6870435670000004
SEUS-4-2001,6,1.5236009929999998
SEUS-4-2002,0,0
SEUS-4-2003,1,0.004659111
SEUS-4-2004,0,0
SEUS-4-2005,0,0
SEUS-4-2006,41,23.844646446000006
SEUS-4-2007,0,0
SEUS-4-2008,26,13.931018660000001
SEUS-4-2009,0,0
SEUS-4-2010,0,0
SEUS-4-2011,13,3.0216217390000004
SEUS-4-2012,0,0
SEUS-4-2013,0,0
SEUS-4-2014,0,0
SEUS-4-2015,2,0.232428349
SEUS-4-2016,0,0
SEUS-4-2017,44,12.820203142000002
SEUS-4-2018,0,0
SEUS-4-2019,2,0.075918103
SWC-IBTS-2-1994,0,0
SWC-IBTS-2-1995,0,0
SWC-IBTS-2-1996,0,0
SWC-IBTS-2-1997,0,0
SWC-IBTS-2-1998,0,0
SWC-IBTS-2-1999,0,0
SWC-IBTS-2-2000,0,0
SWC-IBTS-2-2001,0,0
SWC-IBTS-2-2002,0,0
SWC-IBTS-2-2003,0,0
SWC-IBTS-2-2004,0,0
SWC-IBTS-2-2005,0,0
SWC-IBTS-2-2006,0,0
SWC-IBTS-2-2007,0,0
SWC-IBTS-2-2008,0,0
SWC-IBTS-2-2009,0,0
SWC-IBTS-2-2010,0,0
SWC-IBTS-2-2011,0,0
SWC-IBTS-2-2012,0,0
SWC-IBTS-2-2013,0,0
SWC-IBTS-2-2014,0,0
SWC-IBTS-2-2015,0,0
SWC-IBTS-2-2016,0,0
SWC-IBTS-2-2017,0,0
SWC-IBTS-2-2018,0,0
SWC-IBTS-2-2019,0,0
WCANN-5-2003,0,0
WCANN-5-2004,0,0
WCANN-5-2005,0,0
WCANN-5-2006,0,0
WCANN-5-2007,0,0
WCANN-5-2008,0,0
WCANN-5-2009,0,0
WCANN-5-2010,0,0
WCANN-5-2011,0,0
WCANN-5-2012,0,0
WCANN-5-2013,0,0
WCANN-5-2014,0,0
WCANN-5-2015,0,0
WCANN-5-2016,0,0
WCANN-5-2017,0,0
WCANN-5-2018,0,0
