ref_yr,anom_days,anom_sev,anom_int,mhw_yes_no
BITS-2-2001,0,0,0,no
BITS-2-2002,0,0,0,no
BITS-2-2003,14,0.9120562210000002,0.06514687292857144,yes
BITS-2-2004,0,0,0,no
BITS-2-2005,0,0,0,no
BITS-2-2006,0,0,0,no
BITS-2-2007,0,0,0,no
BITS-2-2008,17,1.076607862,0.06332987423529411,yes
BITS-2-2009,13,0.7715140770000001,0.059347236692307695,yes
BITS-2-2010,50,4.283454637,0.08566909274000001,yes
BITS-2-2011,0,0,0,no
BITS-2-2012,0,0,0,no
BITS-2-2013,0,0,0,no
BITS-2-2014,0,0,0,no
BITS-2-2015,111,15.394632625000003,0.13869038400900904,yes
BITS-2-2016,14,0.314117624,0.022436973142857142,yes
BITS-2-2017,47,5.917873825999999,0.12591220906382977,yes
BITS-2-2018,0,0,0,no
BITS-2-2019,0,0,0,no
DFO-QCS-7-2003,0,0,0,no
DFO-QCS-7-2004,0,0,0,no
DFO-QCS-7-2005,0,0,0,no
DFO-QCS-7-2007,0,0,0,no
DFO-QCS-7-2009,0,0,0,no
DFO-QCS-7-2011,0,0,0,no
DFO-QCS-7-2013,0,0,0,no
DFO-QCS-7-2015,16,2.378547853,0.1486592408125,yes
DFO-QCS-7-2017,61,14.898453956000004,0.24423695009836072,yes
DFO-QCS-7-2019,41,5.744433432999999,0.14010813251219512,yes
EBS-6-1994,0,0,0,no
EBS-6-1995,0,0,0,no
EBS-6-1996,0,0,0,no
EBS-6-1997,0,0,0,no
EBS-6-1998,0,0,0,no
EBS-6-1999,0,0,0,no
EBS-6-2000,0,0,0,no
EBS-6-2001,14,1.1020974190000001,0.07872124421428572,yes
EBS-6-2002,0,0,0,no
EBS-6-2003,0,0,0,no
EBS-6-2004,33,3.8079172440000004,0.11539143163636364,yes
EBS-6-2005,0,0,0,no
EBS-6-2006,0,0,0,no
EBS-6-2007,0,0,0,no
EBS-6-2008,0,0,0,no
EBS-6-2009,0,0,0,no
EBS-6-2010,0,0,0,no
EBS-6-2011,0,0,0,no
EBS-6-2012,0,0,0,no
EBS-6-2013,0,0,0,no
EBS-6-2014,0,0,0,no
EBS-6-2015,18,2.1597519770000004,0.11998622094444447,yes
EBS-6-2016,92,13.969279660000002,0.15183999630434783,yes
EBS-6-2017,124,10.426516515999996,0.0840848106129032,yes
EBS-6-2018,38,6.747350606,0.17756185805263158,yes
EBS-6-2019,98,4.5862431840000015,0.04679839983673471,yes
EVHOE-10-1997,0,0,0,no
EVHOE-10-1998,133,9.619332227999992,0.07232580622556385,yes
EVHOE-10-1999,0,0,0,no
EVHOE-10-2000,12,0.4222390703,0.035186589191666666,yes
EVHOE-10-2001,0,0,0,no
EVHOE-10-2002,0,0,0,no
EVHOE-10-2003,7,0.26012489,0.03716069857142857,yes
EVHOE-10-2004,0,0,0,no
EVHOE-10-2005,0,0,0,no
EVHOE-10-2006,0,0,0,no
EVHOE-10-2007,186,29.982569709999996,0.161196611344086,yes
EVHOE-10-2008,0,0,0,no
EVHOE-10-2009,0,0,0,no
EVHOE-10-2010,0,0,0,no
EVHOE-10-2011,0,0,0,no
EVHOE-10-2012,0,0,0,no
EVHOE-10-2013,33,1.4012822649999999,0.042463098939393935,yes
EVHOE-10-2014,0,0,0,no
EVHOE-10-2015,0,0,0,no
EVHOE-10-2016,35,1.9484469130000002,0.055669911800000006,yes
EVHOE-10-2018,0,0,0,no
EVHOE-10-2019,0,0,0,no
FR-CGFS-10-1998,9,1.137361517,0.12637350188888888,yes
FR-CGFS-10-1999,0,0,0,no
FR-CGFS-10-2000,0,0,0,no
FR-CGFS-10-2001,0,0,0,no
FR-CGFS-10-2002,32,1.004494051,0.03139043909375,yes
FR-CGFS-10-2003,0,0,0,no
FR-CGFS-10-2004,0,0,0,no
FR-CGFS-10-2005,0,0,0,no
FR-CGFS-10-2006,0,0,0,no
FR-CGFS-10-2007,41,12.067342605,0.2943254293902439,yes
FR-CGFS-10-2008,6,0.27555921400000005,0.04592653566666668,yes
FR-CGFS-10-2009,0,0,0,no
FR-CGFS-10-2010,0,0,0,no
FR-CGFS-10-2011,0,0,0,no
FR-CGFS-10-2012,32,2.7213703470000006,0.08504282334375002,yes
FR-CGFS-10-2013,0,0,0,no
FR-CGFS-10-2014,69,16.104343418000003,0.2333962814202899,yes
FR-CGFS-10-2015,25,3.6534558580000005,0.14613823432000003,yes
FR-CGFS-10-2016,65,23.237340863,0.35749755173846154,yes
FR-CGFS-10-2017,152,32.66936560100002,0.2149300368486843,yes
FR-CGFS-10-2018,3,0.093797393,0.03126579766666667,yes
FR-CGFS-10-2019,8,0.6796127569999999,0.08495159462499999,yes
GMEX-6-1994,0,0,0,no
GMEX-6-1995,0,0,0,no
GMEX-6-1996,0,0,0,no
GMEX-6-1997,0,0,0,no
GMEX-6-1998,69,2.8142677270000007,0.04078648879710146,yes
GMEX-6-1999,0,0,0,no
GMEX-6-2000,0,0,0,no
GMEX-6-2001,0,0,0,no
GMEX-6-2002,0,0,0,no
GMEX-6-2003,21,0.566567,0.026979380952380956,yes
GMEX-6-2004,0,0,0,no
GMEX-6-2005,0,0,0,no
GMEX-6-2006,0,0,0,no
GMEX-6-2007,0,0,0,no
GMEX-6-2008,0,0,0,no
GMEX-6-2009,0,0,0,no
GMEX-6-2010,0,0,0,no
GMEX-6-2011,0,0,0,no
GMEX-6-2012,0,0,0,no
GMEX-6-2013,0,0,0,no
GMEX-6-2014,0,0,0,no
GMEX-6-2015,46,2.4406512999999994,0.05305763695652173,yes
GMEX-6-2016,124,34.66968605700001,0.27959424239516134,yes
GMEX-6-2017,95,14.256595577000002,0.15006942712631582,yes
GMEX-6-2018,0,0,0,no
GMEX-6-2019,114,17.607732494999997,0.15445379381578944,yes
GOA-5-1999,23,4.946624363999999,0.21507062452173908,yes
GOA-5-2001,0,0,0,no
GOA-5-2003,1,0.018225559,0.018225559,yes
GOA-5-2005,10,0.9300443700000001,0.09300443700000001,yes
GOA-5-2007,3,0.121077411,0.040359136999999996,yes
GOA-5-2009,0,0,0,no
GOA-5-2011,0,0,0,no
GOA-5-2013,29,5.9770057869999995,0.2061036478275862,yes
GOA-5-2015,0,0,0,no
GOA-5-2017,192,87.17078324199997,0.45401449605208316,yes
GOA-5-2019,13,1.1919432779999999,0.09168794446153845,yes
GSL-S-8-1994,0,0,0,no
GSL-S-8-1995,0,0,0,no
GSL-S-8-1996,0,0,0,no
GSL-S-8-1997,0,0,0,no
GSL-S-8-1998,0,0,0,no
GSL-S-8-1999,0,0,0,no
GSL-S-8-2000,4,0.030191549999999998,0.007547887499999999,yes
GSL-S-8-2001,10,0.41317547499999996,0.041317547499999996,yes
GSL-S-8-2002,0,0,0,no
GSL-S-8-2004,0,0,0,no
GSL-S-8-2005,0,0,0,no
GSL-S-8-2006,8,0.18137193499999998,0.022671491874999998,yes
GSL-S-8-2007,9,0.765927068,0.08510300755555555,yes
GSL-S-8-2008,4,0.31847048,0.07961762,yes
GSL-S-8-2009,0,0,0,no
GSL-S-8-2010,24,4.293768597999999,0.17890702491666663,yes
GSL-S-8-2011,0,0,0,no
GSL-S-8-2012,255,64.62580306600002,0.2534345218274511,yes
GSL-S-8-2013,50,5.619424887999998,0.11238849775999997,yes
GSL-S-8-2014,0,0,0,no
GSL-S-8-2015,0,0,0,no
GSL-S-8-2016,95,37.49585832599999,0.394693245536842,yes
GSL-S-8-2017,26,2.0427208259999996,0.0785661856153846,yes
GSL-S-8-2018,0,0,0,no
GSL-S-8-2019,0,0,0,no
IE-IGFS-10-2003,0,0,0,no
IE-IGFS-10-2004,0,0,0,no
IE-IGFS-10-2005,0,0,0,no
IE-IGFS-10-2006,0,0,0,no
IE-IGFS-10-2007,0,0,0,no
IE-IGFS-10-2008,0,0,0,no
IE-IGFS-10-2009,0,0,0,no
IE-IGFS-10-2010,0,0,0,no
IE-IGFS-10-2011,0,0,0,no
IE-IGFS-10-2012,73,14.503736006,0.19868131515068493,yes
IE-IGFS-10-2013,27,4.699429957999999,0.17405296140740736,yes
IE-IGFS-10-2014,0,0,0,no
IE-IGFS-10-2015,0,0,0,no
IE-IGFS-10-2016,0,0,0,no
IE-IGFS-10-2017,68,12.627332155999998,0.18569606111764703,yes
IE-IGFS-10-2018,5,0.066307545,0.013261509,yes
IE-IGFS-10-2019,272,38.8962200431,0.1430008089819853,yes
NEUS-9-1994,0,0,0,no
NEUS-9-1995,0,0,0,no
NEUS-9-1996,0,0,0,no
NEUS-9-1997,0,0,0,no
NEUS-9-1998,0,0,0,no
NEUS-9-1999,0,0,0,no
NEUS-9-2000,2,0.071568936,0.035784468,yes
NEUS-9-2001,0,0,0,no
NEUS-9-2002,0,0,0,no
NEUS-9-2003,0,0,0,no
NEUS-9-2004,0,0,0,no
NEUS-9-2005,0,0,0,no
NEUS-9-2006,0,0,0,no
NEUS-9-2007,4,0.294319563,0.07357989075,yes
NEUS-9-2008,0,0,0,no
NEUS-9-2009,0,0,0,no
NEUS-9-2010,0,0,0,no
NEUS-9-2011,0,0,0,no
NEUS-9-2012,188,78.855643335,0.41944491135638295,yes
NEUS-9-2013,0,0,0,no
NEUS-9-2014,0,0,0,no
NEUS-9-2015,54,8.465819016999998,0.1567744262407407,yes
NEUS-9-2016,122,29.376537559000003,0.24079129146721315,yes
NEUS-9-2017,39,5.781107199999999,0.14823351794871792,yes
NEUS-9-2018,17,1.189830519,0.06999003052941177,yes
NEUS-9-2019,0,0,0,no
NIGFS-10-2009,0,0,0,no
NIGFS-10-2010,1,0.007607128,0.007607128,yes
NIGFS-10-2011,0,0,0,no
NIGFS-10-2012,16,1.6404682310000003,0.10252926443750002,yes
NIGFS-10-2013,0,0,0,no
NIGFS-10-2014,0,0,0,no
NIGFS-10-2015,0,0,0,no
NIGFS-10-2016,51,12.199609439,0.23920802821568626,yes
NIGFS-10-2017,35,7.975330769999999,0.2278665934285714,yes
NIGFS-10-2018,18,0.9253923820000001,0.05141068788888889,yes
NIGFS-10-2019,26,0.9631158785999999,0.037042918407692305,yes
Nor-BTS-8-1994,0,0,0,no
Nor-BTS-8-1995,0,0,0,no
Nor-BTS-8-1996,0,0,0,no
Nor-BTS-8-1997,0,0,0,no
Nor-BTS-8-1998,0,0,0,no
Nor-BTS-8-1999,0,0,0,no
Nor-BTS-8-2000,0,0,0,no
Nor-BTS-8-2001,0,0,0,no
Nor-BTS-8-2002,0,0,0,no
Nor-BTS-8-2003,0,0,0,no
Nor-BTS-8-2004,0,0,0,no
Nor-BTS-8-2005,0,0,0,no
Nor-BTS-8-2006,0,0,0,no
Nor-BTS-8-2007,0,0,0,no
Nor-BTS-8-2008,0,0,0,no
Nor-BTS-8-2009,0,0,0,no
Nor-BTS-8-2010,0,0,0,no
Nor-BTS-8-2011,0,0,0,no
Nor-BTS-8-2012,81,4.276034255,0.05279054635802469,yes
Nor-BTS-8-2013,124,8.248208457999999,0.06651781014516128,yes
Nor-BTS-8-2014,0,0,0,no
Nor-BTS-8-2015,0,0,0,no
Nor-BTS-8-2016,105,4.497948048,0.042837600457142855,yes
Nor-BTS-8-2017,186,27.350381184000007,0.1470450601290323,yes
NS-IBTS-1-1994,0,0,0,no
NS-IBTS-1-1995,0,0,0,no
NS-IBTS-1-1996,0,0,0,no
NS-IBTS-1-1997,0,0,0,no
NS-IBTS-1-1998,0,0,0,no
NS-IBTS-1-1999,9,0.205468441,0.022829826777777777,yes
NS-IBTS-1-2000,0,0,0,no
NS-IBTS-1-2001,0,0,0,no
NS-IBTS-1-2002,0,0,0,no
NS-IBTS-1-2003,0,0,0,no
NS-IBTS-1-2004,0,0,0,no
NS-IBTS-1-2005,0,0,0,no
NS-IBTS-1-2006,14,0.9115567969999999,0.06511119978571428,yes
NS-IBTS-1-2007,8,0.7563895190000001,0.09454868987500001,yes
NS-IBTS-1-2008,192,28.998597133000004,0.15103436006770835,yes
NS-IBTS-1-2009,0,0,0,no
NS-IBTS-1-2010,9,0.175751831,0.019527981222222223,yes
NS-IBTS-1-2011,0,0,0,no
NS-IBTS-1-2012,0,0,0,no
NS-IBTS-1-2013,0,0,0,no
NS-IBTS-1-2014,0,0,0,no
NS-IBTS-1-2015,114,9.769045118999998,0.08569337823684209,yes
NS-IBTS-1-2016,12,2.3652851299999997,0.19710709416666664,yes
NS-IBTS-1-2017,26,3.3342903210000006,0.12824193542307694,yes
NS-IBTS-1-2018,59,2.4678713720000003,0.041828328338983055,yes
NS-IBTS-1-2019,0,0,0,no
PT-IBTS-9-2005,0,0,0,no
PT-IBTS-9-2006,42,2.5901630479999995,0.06167054876190475,yes
PT-IBTS-9-2007,50,13.027135232,0.26054270463999996,yes
PT-IBTS-9-2008,51,15.473920158900002,0.3034101991941177,yes
PT-IBTS-9-2009,0,0,0,no
PT-IBTS-9-2010,95,9.928571660999996,0.10451128064210521,yes
PT-IBTS-9-2011,2,0.028688123,0.0143440615,yes
PT-IBTS-9-2013,0,0,0,no
PT-IBTS-9-2014,7,0.6115449780000001,0.0873635682857143,yes
PT-IBTS-9-2015,0,0,0,no
PT-IBTS-9-2016,11,1.080396175,0.09821783409090909,yes
PT-IBTS-9-2017,42,8.014580361999998,0.1908233419523809,yes
SCS-6-1994,0,0,0,no
SCS-6-1995,0,0,0,no
SCS-6-1996,0,0,0,no
SCS-6-1997,0,0,0,no
SCS-6-1998,0,0,0,no
SCS-6-1999,0,0,0,no
SCS-6-2000,0,0,0,no
SCS-6-2001,0,0,0,no
SCS-6-2002,0,0,0,no
SCS-6-2003,0,0,0,no
SCS-6-2004,0,0,0,no
SCS-6-2005,0,0,0,no
SCS-6-2006,0,0,0,no
SCS-6-2007,0,0,0,no
SCS-6-2008,0,0,0,no
SCS-6-2009,0,0,0,no
SCS-6-2010,0,0,0,no
SCS-6-2011,0,0,0,no
SCS-6-2012,19,1.6490240569999999,0.08679073984210525,yes
SCS-6-2013,64,4.0009502150000005,0.06251484710937501,yes
SCS-6-2014,0,0,0,no
SCS-6-2015,229,41.477884101,0.18112613144541484,yes
SCS-6-2016,88,11.703610845900004,0.13299557779431823,yes
SCS-6-2017,31,2.035515281,0.06566178325806452,yes
SEUS-4-1994,9,1.39870839,0.15541204333333333,yes
SEUS-4-1995,12,5.533539308000001,0.46112827566666675,yes
SEUS-4-1996,3,0.101319708,0.033773236,yes
SEUS-4-1997,63,54.319136542,0.8622085165396826,yes
SEUS-4-1998,0,0,0,no
SEUS-4-1999,78,98.456314445,1.2622604416025642,yes
SEUS-4-2000,20,8.600151239,0.43000756195,yes
SEUS-4-2001,25,11.019754852999998,0.4407901941199999,yes
SEUS-4-2002,27,30.507343219,1.1299016007037037,yes
SEUS-4-2003,27,7.766167415999999,0.28763583022222217,yes
SEUS-4-2004,9,2.2650366660000003,0.2516707406666667,yes
SEUS-4-2005,4,0.964247964,0.241061991,yes
SEUS-4-2006,1,0.060770211,0.060770211,yes
SEUS-4-2007,14,5.882108085,0.42015057749999996,yes
SEUS-4-2008,10,1.7543207650000001,0.1754320765,yes
SEUS-4-2009,0,0,0,no
SEUS-4-2010,5,1.6342473290000001,0.3268494658,yes
SEUS-4-2011,5,0.271048182,0.054209636400000004,yes
SEUS-4-2012,43,29.772622403,0.6923865675116279,yes
SEUS-4-2013,10,8.83639359,0.883639359,yes
SEUS-4-2014,0,0,0,no
SEUS-4-2015,0,0,0,no
SEUS-4-2016,29,25.144703142000004,0.8670587290344829,yes
SEUS-4-2017,4,1.088115616,0.272028904,yes
SEUS-4-2018,18,6.1700034729999995,0.3427779707222222,yes
SEUS-4-2019,22,10.104183311,0.4592810595909091,yes
SWC-IBTS-2-1994,0,0,0,no
SWC-IBTS-2-1995,0,0,0,no
SWC-IBTS-2-1996,0,0,0,no
SWC-IBTS-2-1997,0,0,0,no
SWC-IBTS-2-1998,8,0.135130757,0.016891344625,yes
SWC-IBTS-2-1999,57,12.042578909000003,0.2112733141929825,yes
SWC-IBTS-2-2000,0,0,0,no
SWC-IBTS-2-2001,0,0,0,no
