ref_yr,anom_days,anom_sev,anom_int,mhw_yes_no
BITS-2-2001,0,0,0,no
BITS-2-2002,0,0,0,no
BITS-2-2003,13,0.9302852380000001,0.07156040292307693,yes
BITS-2-2004,0,0,0,no
BITS-2-2005,0,0,0,no
BITS-2-2006,0,0,0,no
BITS-2-2007,0,0,0,no
BITS-2-2008,30,3.0865430060000003,0.10288476686666667,yes
BITS-2-2009,30,2.0012654949999997,0.06670884983333332,yes
BITS-2-2010,42,4.656502293,0.11086910221428571,yes
BITS-2-2011,0,0,0,no
BITS-2-2012,0,0,0,no
BITS-2-2013,0,0,0,no
BITS-2-2014,0,0,0,no
BITS-2-2015,12,1.4464496830000002,0.12053747358333335,yes
BITS-2-2016,0,0,0,no
BITS-2-2017,8,0.44549497099999996,0.055686871374999995,yes
BITS-2-2018,0,0,0,no
BITS-2-2019,0,0,0,no
DFO-QCS-7-2003,0,0,0,no
DFO-QCS-7-2004,0,0,0,no
DFO-QCS-7-2005,0,0,0,no
DFO-QCS-7-2007,0,0,0,no
DFO-QCS-7-2009,0,0,0,no
DFO-QCS-7-2011,0,0,0,no
DFO-QCS-7-2013,0,0,0,no
DFO-QCS-7-2015,0,0,0,no
DFO-QCS-7-2017,0,0,0,no
DFO-QCS-7-2019,0,0,0,no
EBS-6-1994,0,0,0,no
EBS-6-1995,0,0,0,no
EBS-6-1996,0,0,0,no
EBS-6-1997,0,0,0,no
EBS-6-1998,0,0,0,no
EBS-6-1999,0,0,0,no
EBS-6-2000,0,0,0,no
EBS-6-2001,0,0,0,no
EBS-6-2002,0,0,0,no
EBS-6-2003,0,0,0,no
EBS-6-2004,76,6.684181712,0.08794975936842105,yes
EBS-6-2005,0,0,0,no
EBS-6-2006,0,0,0,no
EBS-6-2007,0,0,0,no
EBS-6-2008,0,0,0,no
EBS-6-2009,0,0,0,no
EBS-6-2010,0,0,0,no
EBS-6-2011,0,0,0,no
EBS-6-2012,0,0,0,no
EBS-6-2013,0,0,0,no
EBS-6-2014,0,0,0,no
EBS-6-2015,0,0,0,no
EBS-6-2016,0,0,0,no
EBS-6-2017,36,2.0421074659999996,0.05672520738888888,yes
EBS-6-2018,0,0,0,no
EBS-6-2019,16,1.048718037,0.0655448773125,yes
EVHOE-10-1997,0,0,0,no
EVHOE-10-1998,4,0.012477264,0.003119316,yes
EVHOE-10-1999,0,0,0,no
EVHOE-10-2000,0,0,0,no
EVHOE-10-2001,0,0,0,no
EVHOE-10-2002,0,0,0,no
EVHOE-10-2003,0,0,0,no
EVHOE-10-2004,0,0,0,no
EVHOE-10-2005,0,0,0,no
EVHOE-10-2006,0,0,0,no
EVHOE-10-2007,66,5.9912038359999995,0.09077581569696969,yes
EVHOE-10-2008,0,0,0,no
EVHOE-10-2009,0,0,0,no
EVHOE-10-2010,0,0,0,no
EVHOE-10-2011,0,0,0,no
EVHOE-10-2012,0,0,0,no
EVHOE-10-2013,0,0,0,no
EVHOE-10-2014,0,0,0,no
EVHOE-10-2015,0,0,0,no
EVHOE-10-2016,0,0,0,no
EVHOE-10-2018,0,0,0,no
EVHOE-10-2019,0,0,0,no
FR-CGFS-10-1998,0,0,0,no
FR-CGFS-10-1999,0,0,0,no
FR-CGFS-10-2000,0,0,0,no
FR-CGFS-10-2001,0,0,0,no
FR-CGFS-10-2002,42,3.672605203,0.08744298102380951,yes
FR-CGFS-10-2003,0,0,0,no
FR-CGFS-10-2004,0,0,0,no
FR-CGFS-10-2005,0,0,0,no
FR-CGFS-10-2006,0,0,0,no
FR-CGFS-10-2007,0,0,0,no
FR-CGFS-10-2008,0,0,0,no
FR-CGFS-10-2009,0,0,0,no
FR-CGFS-10-2010,0,0,0,no
FR-CGFS-10-2011,0,0,0,no
FR-CGFS-10-2012,0,0,0,no
FR-CGFS-10-2013,0,0,0,no
FR-CGFS-10-2014,0,0,0,no
FR-CGFS-10-2015,0,0,0,no
FR-CGFS-10-2016,0,0,0,no
FR-CGFS-10-2017,80,9.27139817,0.11589247712499999,yes
FR-CGFS-10-2018,0,0,0,no
FR-CGFS-10-2019,0,0,0,no
GMEX-6-1994,0,0,0,no
GMEX-6-1995,0,0,0,no
GMEX-6-1996,0,0,0,no
GMEX-6-1997,0,0,0,no
GMEX-6-1998,0,0,0,no
GMEX-6-1999,37,1.5435277620000005,0.04171696654054056,yes
GMEX-6-2000,0,0,0,no
GMEX-6-2001,0,0,0,no
GMEX-6-2002,0,0,0,no
GMEX-6-2003,0,0,0,no
GMEX-6-2004,0,0,0,no
GMEX-6-2005,0,0,0,no
GMEX-6-2006,0,0,0,no
GMEX-6-2007,0,0,0,no
GMEX-6-2008,0,0,0,no
GMEX-6-2009,0,0,0,no
GMEX-6-2010,0,0,0,no
GMEX-6-2011,0,0,0,no
GMEX-6-2012,0,0,0,no
GMEX-6-2013,0,0,0,no
GMEX-6-2014,0,0,0,no
GMEX-6-2015,0,0,0,no
GMEX-6-2016,0,0,0,no
GMEX-6-2017,51,7.700763479000001,0.15099536233333335,yes
GMEX-6-2018,0,0,0,no
GMEX-6-2019,0,0,0,no
GOA-5-1999,0,0,0,no
GOA-5-2001,1,0.013464128,0.013464128,yes
GOA-5-2003,5,0.35010795899999997,0.07002159179999999,yes
GOA-5-2005,0,0,0,no
GOA-5-2007,3,0.20910914100000003,0.069703047,yes
GOA-5-2009,0,0,0,no
GOA-5-2011,0,0,0,no
GOA-5-2013,16,3.990032882,0.249377055125,yes
GOA-5-2015,0,0,0,no
GOA-5-2017,0,0,0,no
GOA-5-2019,0,0,0,no
GSL-S-8-1994,0,0,0,no
GSL-S-8-1995,0,0,0,no
GSL-S-8-1996,0,0,0,no
GSL-S-8-1997,0,0,0,no
GSL-S-8-1998,0,0,0,no
GSL-S-8-1999,0,0,0,no
GSL-S-8-2000,40,1.7243015029999997,0.04310753757499999,yes
GSL-S-8-2001,0,0,0,no
GSL-S-8-2002,0,0,0,no
GSL-S-8-2004,0,0,0,no
GSL-S-8-2005,0,0,0,no
GSL-S-8-2006,0,0,0,no
GSL-S-8-2007,0,0,0,no
GSL-S-8-2008,0,0,0,no
GSL-S-8-2009,0,0,0,no
GSL-S-8-2010,20,2.5559218230000003,0.12779609115,yes
GSL-S-8-2011,0,0,0,no
GSL-S-8-2012,22,2.9265411550000002,0.13302459795454546,yes
GSL-S-8-2013,0,0,0,no
GSL-S-8-2014,0,0,0,no
GSL-S-8-2015,0,0,0,no
GSL-S-8-2016,0,0,0,no
GSL-S-8-2017,0,0,0,no
GSL-S-8-2018,0,0,0,no
GSL-S-8-2019,0,0,0,no
IE-IGFS-10-2003,0,0,0,no
IE-IGFS-10-2004,0,0,0,no
IE-IGFS-10-2005,0,0,0,no
IE-IGFS-10-2006,0,0,0,no
IE-IGFS-10-2007,7,0.13328605200000002,0.019040864571428572,yes
IE-IGFS-10-2008,0,0,0,no
IE-IGFS-10-2009,0,0,0,no
IE-IGFS-10-2010,0,0,0,no
IE-IGFS-10-2011,0,0,0,no
IE-IGFS-10-2012,45,5.279658371,0.11732574157777778,yes
IE-IGFS-10-2013,0,0,0,no
IE-IGFS-10-2014,0,0,0,no
IE-IGFS-10-2015,0,0,0,no
IE-IGFS-10-2016,0,0,0,no
IE-IGFS-10-2017,47,7.088156545999999,0.1508118414042553,yes
IE-IGFS-10-2018,0,0,0,no
IE-IGFS-10-2019,66,7.564153168999999,0.11460838134848483,yes
NEUS-9-1994,0,0,0,no
NEUS-9-1995,18,7.402390831999998,0.411243935111111,yes
NEUS-9-1996,0,0,0,no
NEUS-9-1997,0,0,0,no
NEUS-9-1998,0,0,0,no
NEUS-9-1999,50,4.220335288,0.08440670576,yes
NEUS-9-2000,0,0,0,no
NEUS-9-2001,0,0,0,no
NEUS-9-2002,0,0,0,no
NEUS-9-2003,0,0,0,no
NEUS-9-2004,0,0,0,no
NEUS-9-2005,0,0,0,no
NEUS-9-2006,0,0,0,no
NEUS-9-2007,0,0,0,no
NEUS-9-2008,0,0,0,no
NEUS-9-2009,0,0,0,no
NEUS-9-2010,0,0,0,no
NEUS-9-2011,0,0,0,no
NEUS-9-2012,64,17.626063227000014,0.2754072379218752,yes
NEUS-9-2013,0,0,0,no
NEUS-9-2014,0,0,0,no
NEUS-9-2015,0,0,0,no
NEUS-9-2016,0,0,0,no
NEUS-9-2017,0,0,0,no
NEUS-9-2018,0,0,0,no
NEUS-9-2019,0,0,0,no
NIGFS-10-2009,0,0,0,no
NIGFS-10-2010,0,0,0,no
NIGFS-10-2011,0,0,0,no
NIGFS-10-2012,0,0,0,no
NIGFS-10-2013,0,0,0,no
NIGFS-10-2014,0,0,0,no
NIGFS-10-2015,0,0,0,no
NIGFS-10-2016,0,0,0,no
NIGFS-10-2017,0,0,0,no
NIGFS-10-2018,0,0,0,no
NIGFS-10-2019,0,0,0,no
Nor-BTS-8-1994,0,0,0,no
Nor-BTS-8-1995,0,0,0,no
Nor-BTS-8-1996,0,0,0,no
Nor-BTS-8-1997,0,0,0,no
Nor-BTS-8-1998,0,0,0,no
Nor-BTS-8-1999,0,0,0,no
Nor-BTS-8-2000,0,0,0,no
Nor-BTS-8-2001,0,0,0,no
Nor-BTS-8-2002,0,0,0,no
Nor-BTS-8-2003,0,0,0,no
Nor-BTS-8-2004,0,0,0,no
Nor-BTS-8-2005,0,0,0,no
Nor-BTS-8-2006,0,0,0,no
Nor-BTS-8-2007,0,0,0,no
Nor-BTS-8-2008,0,0,0,no
Nor-BTS-8-2009,0,0,0,no
Nor-BTS-8-2010,0,0,0,no
Nor-BTS-8-2011,0,0,0,no
Nor-BTS-8-2012,57,2.5610451990000005,0.044930617526315796,yes
Nor-BTS-8-2013,30,3.609212007,0.1203070669,yes
Nor-BTS-8-2014,0,0,0,no
Nor-BTS-8-2015,0,0,0,no
Nor-BTS-8-2016,0,0,0,no
Nor-BTS-8-2017,0,0,0,no
NS-IBTS-1-1994,0,0,0,no
NS-IBTS-1-1995,0,0,0,no
NS-IBTS-1-1996,0,0,0,no
NS-IBTS-1-1997,0,0,0,no
NS-IBTS-1-1998,0,0,0,no
NS-IBTS-1-1999,34,2.2211402839999996,0.06532765541176469,yes
NS-IBTS-1-2000,0,0,0,no
NS-IBTS-1-2001,0,0,0,no
NS-IBTS-1-2002,0,0,0,no
NS-IBTS-1-2003,5,0.220191404,0.0440382808,yes
NS-IBTS-1-2004,0,0,0,no
NS-IBTS-1-2005,11,0.28554851000000003,0.02595895545454546,yes
NS-IBTS-1-2006,0,0,0,no
NS-IBTS-1-2007,0,0,0,no
NS-IBTS-1-2008,74,5.501714546,0.07434749386486486,yes
NS-IBTS-1-2009,0,0,0,no
NS-IBTS-1-2010,4,0.055631985,0.01390799625,yes
NS-IBTS-1-2011,0,0,0,no
NS-IBTS-1-2012,0,0,0,no
NS-IBTS-1-2013,0,0,0,no
NS-IBTS-1-2014,0,0,0,no
NS-IBTS-1-2015,3,0.13105056199999998,0.04368352066666666,yes
NS-IBTS-1-2016,0,0,0,no
NS-IBTS-1-2017,0,0,0,no
NS-IBTS-1-2018,0,0,0,no
NS-IBTS-1-2019,0,0,0,no
PT-IBTS-9-2005,0,0,0,no
PT-IBTS-9-2006,34,2.313728754,0.06805084570588235,yes
PT-IBTS-9-2007,0,0,0,no
PT-IBTS-9-2008,0,0,0,no
PT-IBTS-9-2009,0,0,0,no
PT-IBTS-9-2010,6,0.39192274800000004,0.06532045800000001,yes
PT-IBTS-9-2011,0,0,0,no
PT-IBTS-9-2013,0,0,0,no
PT-IBTS-9-2014,0,0,0,no
PT-IBTS-9-2015,0,0,0,no
PT-IBTS-9-2016,0,0,0,no
PT-IBTS-9-2017,0,0,0,no
SCS-6-1994,0,0,0,no
SCS-6-1995,0,0,0,no
SCS-6-1996,0,0,0,no
SCS-6-1997,0,0,0,no
SCS-6-1998,0,0,0,no
SCS-6-1999,0,0,0,no
SCS-6-2000,0,0,0,no
SCS-6-2001,28,1.04342074,0.03726502642857143,yes
SCS-6-2002,0,0,0,no
SCS-6-2003,0,0,0,no
SCS-6-2004,0,0,0,no
SCS-6-2005,0,0,0,no
SCS-6-2006,0,0,0,no
SCS-6-2007,0,0,0,no
SCS-6-2008,0,0,0,no
SCS-6-2009,0,0,0,no
SCS-6-2010,0,0,0,no
SCS-6-2011,0,0,0,no
SCS-6-2012,0,0,0,no
SCS-6-2013,78,10.642025498000004,0.13643622433333338,yes
SCS-6-2014,0,0,0,no
SCS-6-2015,0,0,0,no
SCS-6-2016,41,3.8245957809999998,0.09328282392682927,yes
SCS-6-2017,0,0,0,no
SEUS-4-1994,0,0,0,no
SEUS-4-1995,0,0,0,no
SEUS-4-1996,0,0,0,no
SEUS-4-1997,0,0,0,no
SEUS-4-1998,0,0,0,no
SEUS-4-1999,0,0,0,no
SEUS-4-2000,0,0,0,no
SEUS-4-2001,0,0,0,no
SEUS-4-2002,0,0,0,no
SEUS-4-2003,0,0,0,no
SEUS-4-2004,0,0,0,no
SEUS-4-2005,0,0,0,no
SEUS-4-2006,0,0,0,no
SEUS-4-2007,0,0,0,no
SEUS-4-2008,0,0,0,no
SEUS-4-2009,0,0,0,no
SEUS-4-2010,0,0,0,no
SEUS-4-2011,0,0,0,no
SEUS-4-2012,5,0.348806365,0.069761273,yes
SEUS-4-2013,0,0,0,no
SEUS-4-2014,0,0,0,no
SEUS-4-2015,0,0,0,no
SEUS-4-2016,0,0,0,no
SEUS-4-2017,0,0,0,no
SEUS-4-2018,0,0,0,no
SEUS-4-2019,0,0,0,no
SWC-IBTS-2-1994,0,0,0,no
SWC-IBTS-2-1995,0,0,0,no
SWC-IBTS-2-1996,0,0,0,no
SWC-IBTS-2-1997,0,0,0,no
SWC-IBTS-2-1998,0,0,0,no
SWC-IBTS-2-1999,0,0,0,no
SWC-IBTS-2-2000,0,0,0,no
SWC-IBTS-2-2001,0,0,0,no
SWC-IBTS-2-2002,0,0,0,no
SWC-IBTS-2-2003,52,3.937360236,0.07571846607692308,yes
SWC-IBTS-2-2004,48,2.9960147580000003,0.062416974125000003,yes
SWC-IBTS-2-2005,0,0,0,no
SWC-IBTS-2-2006,0,0,0,no
SWC-IBTS-2-2007,0,0,0,no
SWC-IBTS-2-2008,32,2.5161086889999997,0.07862839653124999,yes
SWC-IBTS-2-2009,0,0,0,no
SWC-IBTS-2-2010,0,0,0,no
SWC-IBTS-2-2011,0,0,0,no
SWC-IBTS-2-2012,0,0,0,no
SWC-IBTS-2-2013,0,0,0,no
SWC-IBTS-2-2014,0,0,0,no
SWC-IBTS-2-2015,0,0,0,no
SWC-IBTS-2-2016,0,0,0,no
SWC-IBTS-2-2017,0,0,0,no
SWC-IBTS-2-2018,6,0.11768133,0.019613555,yes
SWC-IBTS-2-2019,0,0,0,no
WCANN-5-2003,0,0,0,no
WCANN-5-2004,0,0,0,no
WCANN-5-2005,0,0,0,no
WCANN-5-2006,0,0,0,no
WCANN-5-2007,0,0,0,no
WCANN-5-2008,0,0,0,no
WCANN-5-2009,0,0,0,no
WCANN-5-2010,0,0,0,no
WCANN-5-2011,0,0,0,no
WCANN-5-2012,0,0,0,no
WCANN-5-2013,0,0,0,no
WCANN-5-2014,0,0,0,no
WCANN-5-2015,0,0,0,no
WCANN-5-2016,0,0,0,no
WCANN-5-2017,0,0,0,no
WCANN-5-2018,0,0,0,no
