ref_yr,anom_days,anom_sev,anom_int,mhw_yes_no
BITS-2-2001,18,9.709945664,0.5394414257777778,yes
BITS-2-2002,8,3.990459293,0.498807411625,yes
BITS-2-2003,42,29.048006511,0.6916192026428571,yes
BITS-2-2004,25,15.423180186000002,0.6169272074400001,yes
BITS-2-2005,2,0.055568528,0.027784264,yes
BITS-2-2006,13,7.810309376000001,0.600793028923077,yes
BITS-2-2007,84,61.300371717000026,0.729766329964286,yes
BITS-2-2008,28,24.12204749,0.8615016960714286,yes
BITS-2-2009,11,12.917688137,1.1743352851818183,yes
BITS-2-2010,3,1.009962189,0.33665406299999995,yes
BITS-2-2011,18,18.692807371,1.038489298388889,yes
BITS-2-2012,5,1.304490017,0.2608980034,yes
BITS-2-2013,0,0,0,no
BITS-2-2014,0,0,0,no
BITS-2-2015,23,13.588189423,0.5907908444782608,yes
BITS-2-2016,1,0.954358278,0.954358278,yes
BITS-2-2017,25,9.903262497000002,0.3961304998800001,yes
BITS-2-2018,0,0,0,no
BITS-2-2019,57,59.805818437999996,1.049224884877193,yes
DFO-QCS-7-2003,0,0,0,no
DFO-QCS-7-2004,17,5.297058991999999,0.3115917054117647,yes
DFO-QCS-7-2005,39,19.168786643,0.49150734982051286,yes
DFO-QCS-7-2007,4,1.0251996019999998,0.25629990049999996,yes
DFO-QCS-7-2009,0,0,0,no
DFO-QCS-7-2011,0,0,0,no
DFO-QCS-7-2013,3,0.820951932,0.273650644,yes
DFO-QCS-7-2015,158,30.226035258999985,0.1913040206265822,yes
DFO-QCS-7-2017,23,7.578772007000002,0.32951182639130444,yes
DFO-QCS-7-2019,12,5.7185793029999985,0.4765482752499999,yes
EBS-6-1983,0,0,0,no
EBS-6-1984,34,12.158820587000001,0.3576123702058824,yes
EBS-6-1985,24,11.366168215999998,0.47359034233333325,yes
EBS-6-1986,0,0,0,no
EBS-6-1987,11,0.892140767,0.0811037060909091,yes
EBS-6-1988,0,0,0,no
EBS-6-1989,0,0,0,no
EBS-6-1990,0,0,0,no
EBS-6-1991,0,0,0,no
EBS-6-1992,0,0,0,no
EBS-6-1993,0,0,0,no
EBS-6-1994,2,0.045344227,0.0226721135,yes
EBS-6-1995,0,0,0,no
EBS-6-1996,0,0,0,no
EBS-6-1997,1,0.198821704,0.198821704,yes
EBS-6-1998,15,7.474868823000001,0.4983245882000001,yes
EBS-6-1999,0,0,0,no
EBS-6-2000,0,0,0,no
EBS-6-2001,16,1.3868516720000004,0.08667822950000002,yes
EBS-6-2002,1,0.062135535,0.062135535,yes
EBS-6-2003,16,1.347013383,0.0841883364375,yes
EBS-6-2004,72,20.840938969000014,0.28945748568055574,yes
EBS-6-2005,55,29.023498748,0.5276999772363636,yes
EBS-6-2006,32,15.650640271999999,0.48908250849999996,yes
EBS-6-2007,0,0,0,no
EBS-6-2008,0,0,0,no
EBS-6-2009,0,0,0,no
EBS-6-2010,0,0,0,no
EBS-6-2011,0,0,0,no
EBS-6-2012,0,0,0,no
EBS-6-2013,0,0,0,no
EBS-6-2014,0,0,0,no
EBS-6-2015,84,56.95125146299999,0.677991088845238,yes
EBS-6-2016,36,17.524769043,0.4867991400833333,yes
EBS-6-2017,138,128.78126986000007,0.9331976076811599,yes
EBS-6-2018,1,0.014330612,0.014330612,yes
EBS-6-2019,59,13.851049024,0.23476354277966102,yes
EVHOE-10-1997,25,7.365594379,0.29462377516,yes
EVHOE-10-1998,18,7.102619791,0.3945899883888889,yes
EVHOE-10-1999,12,2.190757375,0.18256311458333332,yes
EVHOE-10-2000,2,0.500722714,0.250361357,yes
EVHOE-10-2001,5,1.11994741,0.223989482,yes
EVHOE-10-2002,0,0,0,no
EVHOE-10-2003,56,17.991550464,0.32127768685714286,yes
EVHOE-10-2004,15,7.802130767,0.5201420511333333,yes
EVHOE-10-2005,14,5.412211027,0.3865865019285714,yes
EVHOE-10-2006,33,13.414908798999999,0.4065123878484848,yes
EVHOE-10-2007,51,17.052481619,0.33436238468627455,yes
EVHOE-10-2008,14,2.4458070689999998,0.17470050492857142,yes
EVHOE-10-2009,8,2.4183740080000002,0.30229675100000003,yes
EVHOE-10-2010,17,3.328792055,0.19581129735294117,yes
EVHOE-10-2011,30,10.849147958,0.36163826526666665,yes
EVHOE-10-2012,1,0.019591481,0.019591481,yes
EVHOE-10-2013,9,2.593458992,0.2881621102222222,yes
EVHOE-10-2014,29,7.151371007,0.24659900024137932,yes
EVHOE-10-2015,10,3.244137751,0.32441377509999997,yes
EVHOE-10-2016,1,0.080337011,0.080337011,yes
EVHOE-10-2018,51,28.70315597999999,0.5628069799999998,yes
EVHOE-10-2019,7,1.539944378,0.219992054,yes
FR-CGFS-10-1998,11,1.7085579650000002,0.15532345136363637,yes
FR-CGFS-10-1999,29,6.438510899,0.22201761720689656,yes
FR-CGFS-10-2000,0,0,0,no
FR-CGFS-10-2001,1,0.138994214,0.138994214,yes
FR-CGFS-10-2002,29,4.825090292,0.16638242386206895,yes
FR-CGFS-10-2003,26,5.386511084999999,0.20717350326923073,yes
FR-CGFS-10-2004,0,0,0,no
FR-CGFS-10-2005,1,0.140924804,0.140924804,yes
