ref_yr,anom_days,anom_sev,anom_int,mhw_yes_no
BITS-2-2001,16,7.549019342000001,0.47181370887500007,yes
BITS-2-2002,8,3.445728999,0.430716124875,yes
BITS-2-2003,41,28.48079932900001,0.694653642170732,yes
BITS-2-2004,25,16.275748496000002,0.6510299398400001,yes
BITS-2-2005,2,0.226942999,0.1134714995,yes
BITS-2-2006,16,9.796277492999998,0.6122673433124999,yes
BITS-2-2007,103,79.38234274899999,0.7707023567864076,yes
BITS-2-2008,33,31.111161088000003,0.9427624572121213,yes
BITS-2-2009,18,16.517534191,0.9176407883888889,yes
BITS-2-2010,6,2.5342482580000003,0.42237470966666674,yes
BITS-2-2011,20,26.117940338000004,1.3058970169000002,yes
BITS-2-2012,6,3.538697987,0.5897829978333333,yes
BITS-2-2013,0,0,0,no
BITS-2-2014,11,2.2953303739999997,0.2086663976363636,yes
BITS-2-2015,35,29.021639522,0.8291897006285714,yes
BITS-2-2016,10,3.5143311219999993,0.35143311219999995,yes
BITS-2-2017,71,41.821188905000014,0.5890308296478876,yes
BITS-2-2018,3,1.115384486,0.37179482866666663,yes
BITS-2-2019,89,116.92633508899995,1.3137790459438197,yes
DFO-QCS-7-2003,0,0,0,no
DFO-QCS-7-2004,16,4.536419817,0.2835262385625,yes
DFO-QCS-7-2005,37,17.830243112999998,0.4818984625135135,yes
DFO-QCS-7-2007,4,1.0189923829999998,0.25474809574999996,yes
DFO-QCS-7-2009,0,0,0,no
DFO-QCS-7-2011,0,0,0,no
DFO-QCS-7-2013,5,1.414291535,0.28285830700000003,yes
DFO-QCS-7-2015,220,62.431477867999966,0.2837794448545453,yes
DFO-QCS-7-2017,40,13.888544335999999,0.3472136084,yes
DFO-QCS-7-2019,16,9.132233571,0.5707645981875,yes
EBS-6-1984,7,1.428824758,0.20411782257142858,yes
EBS-6-1985,10,0.5653368999999999,0.05653368999999999,yes
EBS-6-1986,0,0,0,no
EBS-6-1987,0,0,0,no
EBS-6-1988,0,0,0,no
EBS-6-1989,0,0,0,no
EBS-6-1990,0,0,0,no
EBS-6-1991,0,0,0,no
EBS-6-1992,0,0,0,no
EBS-6-1993,0,0,0,no
EBS-6-1994,0,0,0,no
EBS-6-1995,0,0,0,no
EBS-6-1996,0,0,0,no
EBS-6-1997,0,0,0,no
EBS-6-1998,11,3.38426449,0.30766040818181817,yes
EBS-6-1999,0,0,0,no
EBS-6-2000,0,0,0,no
EBS-6-2001,0,0,0,no
EBS-6-2002,0,0,0,no
EBS-6-2003,0,0,0,no
EBS-6-2004,41,12.551459643,0.3061331620243902,yes
EBS-6-2005,38,23.149626601999987,0.6092007000526313,yes
EBS-6-2006,30,12.445960617999999,0.4148653539333333,yes
EBS-6-2007,0,0,0,no
EBS-6-2008,0,0,0,no
EBS-6-2009,0,0,0,no
EBS-6-2010,0,0,0,no
EBS-6-2011,0,0,0,no
EBS-6-2012,0,0,0,no
EBS-6-2013,0,0,0,no
EBS-6-2014,0,0,0,no
