ref_yr,anomMonths,anom_sev,anom_int,mhw_yes_no
BITS-2-2001,3,1.257818019,0.419272673,yes
BITS-2-2002,0,0,0,no
BITS-2-2003,2,0.275933953,0.1379669765,yes
BITS-2-2004,2,0.28763354599999996,0.14381677299999998,yes
BITS-2-2005,0,0,0,no
BITS-2-2006,0,0,0,no
BITS-2-2007,0,0,0,no
BITS-2-2008,0,0,0,no
BITS-2-2009,0,0,0,no
BITS-2-2010,1,0.076191062,0.076191062,yes
BITS-2-2011,3,0.8141862190000001,0.27139540633333337,yes
BITS-2-2012,0,0,0,no
BITS-2-2013,0,0,0,no
BITS-2-2014,4,1.945027758,0.4862569395,yes
BITS-2-2015,0,0,0,no
BITS-2-2016,0,0,0,no
BITS-2-2017,1,0.513292945,0.513292945,yes
DFO-QCS-7-2003,0,0,0,no
DFO-QCS-7-2004,0,0,0,no
DFO-QCS-7-2005,0,0,0,no
DFO-QCS-7-2007,0,0,0,no
DFO-QCS-7-2009,0,0,0,no
DFO-QCS-7-2011,0,0,0,no
DFO-QCS-7-2013,0,0,0,no
DFO-QCS-7-2015,0,0,0,no
DFO-QCS-7-2017,2,0.051092094000000005,0.025546047000000002,yes
EBS-6-1982,3,1.29649517,0.43216505666666666,yes
EBS-6-1983,0,0,0,no
EBS-6-1984,0,0,0,no
EBS-6-1985,0,0,0,no
EBS-6-1986,0,0,0,no
EBS-6-1987,0,0,0,no
EBS-6-1988,0,0,0,no
EBS-6-1989,0,0,0,no
EBS-6-1990,0,0,0,no
EBS-6-1991,0,0,0,no
EBS-6-1992,0,0,0,no
EBS-6-1993,0,0,0,no
EBS-6-1994,0,0,0,no
EBS-6-1995,0,0,0,no
EBS-6-1996,0,0,0,no
EBS-6-1997,0,0,0,no
EBS-6-1998,0,0,0,no
EBS-6-1999,0,0,0,no
EBS-6-2000,0,0,0,no
EBS-6-2001,0,0,0,no
EBS-6-2002,0,0,0,no
EBS-6-2003,0,0,0,no
EBS-6-2004,6,3.324211775,0.5540352958333333,yes
EBS-6-2005,0,0,0,no
EBS-6-2006,3,1.293076401,0.431025467,yes
EBS-6-2007,2,0.307296637,0.1536483185,yes
EBS-6-2008,1,0.119474095,0.119474095,yes
EBS-6-2009,0,0,0,no
EBS-6-2010,0,0,0,no
EBS-6-2011,0,0,0,no
EBS-6-2012,0,0,0,no
EBS-6-2013,0,0,0,no
EBS-6-2014,0,0,0,no
EBS-6-2015,1,0.164194831,0.164194831,yes
EBS-6-2016,0,0,0,no
EBS-6-2017,6,2.422056341,0.4036760568333333,yes
EVHOE-10-1997,0,0,0,no
EVHOE-10-1998,0,0,0,no
EVHOE-10-1999,0,0,0,no
EVHOE-10-2000,0,0,0,no
EVHOE-10-2001,0,0,0,no
EVHOE-10-2002,0,0,0,no
EVHOE-10-2003,0,0,0,no
EVHOE-10-2004,0,0,0,no
EVHOE-10-2005,0,0,0,no
EVHOE-10-2006,0,0,0,no
EVHOE-10-2007,0,0,0,no
EVHOE-10-2008,1,0.063570516,0.063570516,yes
EVHOE-10-2009,1,0.07137095,0.07137095,yes
EVHOE-10-2010,1,0.105879552,0.105879552,yes
EVHOE-10-2011,1,0.084662201,0.084662201,yes
EVHOE-10-2012,2,0.652154575,0.3260772875,yes
EVHOE-10-2013,2,0.811427892,0.405713946,yes
EVHOE-10-2014,1,0.077712955,0.077712955,yes
EVHOE-10-2015,4,0.713804131,0.17845103275,yes
EVHOE-10-2016,3,0.859279375,0.2864264583333333,yes
EVHOE-10-2018,1,0.189332731,0.189332731,yes
FR-CGFS-10-1998,0,0,0,no
FR-CGFS-10-1999,1,0.10905999,0.10905999,yes
FR-CGFS-10-2000,0,0,0,no
FR-CGFS-10-2001,0,0,0,no
FR-CGFS-10-2002,0,0,0,no
FR-CGFS-10-2003,0,0,0,no
FR-CGFS-10-2004,0,0,0,no
