ref_yr,anomMonths,anom_sev,anom_int,mhw_yes_no
BITS-2-2001,1,0.232017649,0.232017649,yes
BITS-2-2002,0,0,0,no
BITS-2-2003,2,0.599145422,0.299572711,yes
BITS-2-2004,0,0,0,no
BITS-2-2005,0,0,0,no
BITS-2-2006,0,0,0,no
BITS-2-2007,2,1.862250578,0.931125289,yes
BITS-2-2008,1,0.506642496,0.506642496,yes
BITS-2-2009,1,0.295334839,0.295334839,yes
BITS-2-2010,0,0,0,no
BITS-2-2011,1,0.514040879,0.514040879,yes
BITS-2-2012,0,0,0,no
BITS-2-2013,0,0,0,no
BITS-2-2014,0,0,0,no
BITS-2-2015,0,0,0,no
BITS-2-2016,0,0,0,no
BITS-2-2017,0,0,0,no
DFO-QCS-7-2003,0,0,0,no
DFO-QCS-7-2004,0,0,0,no
DFO-QCS-7-2005,3,1.128733772,0.37624459066666666,yes
DFO-QCS-7-2007,0,0,0,no
DFO-QCS-7-2009,0,0,0,no
DFO-QCS-7-2011,0,0,0,no
DFO-QCS-7-2013,0,0,0,no
DFO-QCS-7-2015,9,1.912502457,0.212500273,yes
DFO-QCS-7-2017,0,0,0,no
EBS-6-1982,1,0.004539605,0.004539605,yes
EBS-6-1983,0,0,0,no
EBS-6-1984,1,0.064045078,0.064045078,yes
EBS-6-1985,1,0.293839741,0.293839741,yes
EBS-6-1986,0,0,0,no
EBS-6-1987,1,0.035660695,0.035660695,yes
EBS-6-1988,1,0.169784926,0.169784926,yes
EBS-6-1989,0,0,0,no
EBS-6-1990,0,0,0,no
EBS-6-1991,0,0,0,no
EBS-6-1992,0,0,0,no
EBS-6-1993,0,0,0,no
EBS-6-1994,0,0,0,no
EBS-6-1995,0,0,0,no
EBS-6-1996,0,0,0,no
EBS-6-1997,0,0,0,no
EBS-6-1998,0,0,0,no
EBS-6-1999,0,0,0,no
EBS-6-2000,0,0,0,no
EBS-6-2001,1,0.162964297,0.162964297,yes
EBS-6-2002,0,0,0,no
EBS-6-2003,2,0.422929865,0.2114649325,yes
EBS-6-2004,0,0,0,no
EBS-6-2005,3,1.4360609709999999,0.4786869903333333,yes
EBS-6-2006,1,0.478923035,0.478923035,yes
EBS-6-2007,0,0,0,no
EBS-6-2008,0,0,0,no
EBS-6-2009,0,0,0,no
EBS-6-2010,0,0,0,no
EBS-6-2011,0,0,0,no
EBS-6-2012,0,0,0,no
EBS-6-2013,0,0,0,no
EBS-6-2014,0,0,0,no
EBS-6-2015,3,1.622280648,0.540760216,yes
EBS-6-2016,2,0.684779876,0.342389938,yes
EBS-6-2017,5,4.3171992470000005,0.8634398494000001,yes
EVHOE-10-1997,0,0,0,no
EVHOE-10-1998,0,0,0,no
EVHOE-10-1999,0,0,0,no
EVHOE-10-2000,0,0,0,no
EVHOE-10-2001,0,0,0,no
EVHOE-10-2002,0,0,0,no
EVHOE-10-2003,2,0.772267942,0.386133971,yes
EVHOE-10-2004,0,0,0,no
EVHOE-10-2005,0,0,0,no
EVHOE-10-2006,1,0.605758878,0.605758878,yes
EVHOE-10-2007,3,0.189386353,0.06312878433333334,yes
EVHOE-10-2008,1,0.008180342,0.008180342,yes
EVHOE-10-2009,0,0,0,no
EVHOE-10-2010,0,0,0,no
EVHOE-10-2011,2,0.880123799,0.4400618995,yes
EVHOE-10-2012,1,0.035765959,0.035765959,yes
EVHOE-10-2013,0,0,0,no
EVHOE-10-2014,0,0,0,no
EVHOE-10-2015,1,0.151964409,0.151964409,yes
EVHOE-10-2016,0,0,0,no
EVHOE-10-2018,0,0,0,no
FR-CGFS-10-1998,0,0,0,no
FR-CGFS-10-1999,0,0,0,no
FR-CGFS-10-2000,0,0,0,no
FR-CGFS-10-2001,0,0,0,no
FR-CGFS-10-2002,1,0.296326132,0.296326132,yes
FR-CGFS-10-2003,0,0,0,no
FR-CGFS-10-2004,0,0,0,no
FR-CGFS-10-2005,0,0,0,no
FR-CGFS-10-2006,0,0,0,no
FR-CGFS-10-2007,2,0.231825063,0.1159125315,yes
FR-CGFS-10-2008,0,0,0,no
FR-CGFS-10-2009,0,0,0,no
FR-CGFS-10-2010,0,0,0,no
FR-CGFS-10-2011,0,0,0,no
FR-CGFS-10-2012,0,0,0,no
FR-CGFS-10-2013,0,0,0,no
FR-CGFS-10-2014,2,0.12233455600000001,0.061167278000000005,yes
FR-CGFS-10-2015,1,0.100432646,0.100432646,yes
FR-CGFS-10-2016,0,0,0,no
FR-CGFS-10-2017,0,0,0,no
GMEX-6-1988,0,0,0,no
GMEX-6-1989,2,1.134359914,0.567179957,yes
GMEX-6-1990,1,0.038854359,0.038854359,yes
GMEX-6-1991,3,0.463451575,0.15448385833333333,yes
GMEX-6-1992,0,0,0,no
GMEX-6-1993,1,0.231992463,0.231992463,yes
GMEX-6-1994,0,0,0,no
GMEX-6-1995,1,0.01339111,0.01339111,yes
GMEX-6-1996,0,0,0,no
GMEX-6-1997,1,0.001358029,0.001358029,yes
GMEX-6-1998,0,0,0,no
GMEX-6-1999,3,1.210989188,0.4036630626666667,yes
GMEX-6-2000,1,0.23225844,0.23225844,yes
GMEX-6-2001,0,0,0,no
GMEX-6-2002,0,0,0,no
GMEX-6-2003,0,0,0,no
GMEX-6-2004,0,0,0,no
GMEX-6-2005,0,0,0,no
GMEX-6-2006,0,0,0,no
GMEX-6-2007,0,0,0,no
GMEX-6-2008,0,0,0,no
GMEX-6-2009,0,0,0,no
GMEX-6-2010,0,0,0,no
GMEX-6-2011,2,0.30981646100000004,0.15490823050000002,yes
GMEX-6-2012,2,0.800118286,0.400059143,yes
GMEX-6-2013,0,0,0,no
GMEX-6-2014,0,0,0,no
GMEX-6-2015,1,0.46421993,0.46421993,yes
GMEX-6-2016,0,0,0,no
GMEX-6-2017,3,0.29306448,0.09768816000000001,yes
GOA-5-1999,0,0,0,no
GOA-5-2001,0,0,0,no
GOA-5-2003,4,0.44098508200000003,0.11024627050000001,yes
GOA-5-2005,2,0.729875127,0.3649375635,yes
GOA-5-2007,0,0,0,no
GOA-5-2009,0,0,0,no
GOA-5-2011,0,0,0,no
GOA-5-2013,0,0,0,no
GOA-5-2015,2,0.08483653899999999,0.042418269499999994,yes
GOA-5-2017,5,1.972698408,0.3945396816,yes
GSL-S-8-1985,1,0.335085232,0.335085232,yes
GSL-S-8-1986,0,0,0,no
GSL-S-8-1987,1,0.167725692,0.167725692,yes
GSL-S-8-1988,0,0,0,no
GSL-S-8-1989,0,0,0,no
GSL-S-8-1990,0,0,0,no
GSL-S-8-1991,1,0.733221926,0.733221926,yes
GSL-S-8-1992,0,0,0,no
GSL-S-8-1993,0,0,0,no
GSL-S-8-1994,0,0,0,no
GSL-S-8-1995,0,0,0,no
GSL-S-8-1996,0,0,0,no
GSL-S-8-1997,0,0,0,no
GSL-S-8-1998,1,0.199267633,0.199267633,yes
GSL-S-8-1999,0,0,0,no
GSL-S-8-2000,1,0.786718432,0.786718432,yes
