region,spp,year,wtcpue_mean,startmonth
Aleutian Islands,Acantholithodes hispidus,1983,0,5
Aleutian Islands,Actiniaria spp.,1983,0.0133168965517241,5
Aleutian Islands,Ammodytes sp.,1983,0.000102758620689655,5
Aleutian Islands,Anoplopoma fimbria,1983,3.97563,5
Aleutian Islands,Anthomastus sp.,1983,0,5
Aleutian Islands,Aphrocallistes vastus,1983,0,5
Aleutian Islands,Aptocyclus ventricosus,1983,5.62068965517241e-05,5
Aleutian Islands,Arctomelon stearnsii,1983,0,5
Aleutian Islands,Asterozoa spp.,1983,0.0765827586206897,5
Aleutian Islands,Atheresthes spp.,1983,3.9954724137931,5
Aleutian Islands,Balanus spp.,1983,0,5
Aleutian Islands,Bathyagonus nigripinnis,1983,0.000279655172413793,5
Aleutian Islands,Bathymaster caeruleofasciatus,1983,0.00319896551724138,5
Aleutian Islands,Bathymaster signatus,1983,0.02042,5
Aleutian Islands,Bathyplotes spp.,1983,0,5
Aleutian Islands,Bathyraja spp.,1983,1.09000310344828,5
Aleutian Islands,Beringius spp.,1983,0,5
Aleutian Islands,Beringraja binoculata,1983,0.00755586206896552,5
Aleutian Islands,Berryteuthis magister,1983,2.92061586206897,5
Aleutian Islands,Bolinia euryptera,1983,0,5
Aleutian Islands,Bryozoa spp.,1983,0,5
Aleutian Islands,Bryozoichthys marjorius,1983,6.72413793103448e-05,5
Aleutian Islands,Buccinum spp.,1983,0,5
Aleutian Islands,Careproctus melanurus,1983,0.00540620689655172,5
Aleutian Islands,Careproctus rastrinus,1983,0.0222941379310345,5
Aleutian Islands,Careproctus spp.,1983,0.00413310344827586,5
Aleutian Islands,Ceramaster japonicus,1983,0,5
Aleutian Islands,Ceramaster patagonicus,1983,0,5
Aleutian Islands,Ceramaster spp.,1983,0,5
Aleutian Islands,Chauliodus macouni,1983,8.03448275862069e-05,5
Aleutian Islands,Cheiraster dawsoni,1983,0,5
Aleutian Islands,Chionoecetes bairdi,1983,0.0617603448275862,5
Aleutian Islands,Chirona evermanni,1983,0,5
Aleutian Islands,Chlamys spp.,1983,0.0888120689655172,5
Aleutian Islands,Chorilia longipes,1983,0,5
Aleutian Islands,Cladaster validus,1983,0,5
Aleutian Islands,Coryphaenoides pectoralis,1983,2.21635172413793,5
Aleutian Islands,Crossaster papposus,1983,0,5
