survey,ncells,nyears,prop_cells_100,prop_cells_95,prop_cells_90,prop_hauls_100,prop_hauls_95,prop_hauls_90
GMEX,66,32,0.242424242424242,0.272727272727273,0.318181818181818,0.593082293209224,0.630844087158875,0.757351385656865
SEUS,16,30,0.6875,0.75,0.875,0.890613718411552,0.927436823104693,0.996028880866426
WCANN,48,16,0.770833333333333,0.770833333333333,0.8125,0.977562274196615,0.977562274196615,0.988876212207644
NEUS,68,37,0.191176470588235,0.558823529411765,0.617647058823529,0.331229235880399,0.899916943521595,0.937624584717608
PT-IBTS,13,12,0.846153846153846,0.846153846153846,0.846153846153846,0.989661654135338,0.989661654135338,0.989661654135338
SCS,46,35,0.543478260869565,0.565217391304348,0.630434782608696,0.861315938740783,0.880034032898469,0.917753828701078
EVHOE,44,22,0.454545454545455,0.636363636363636,0.75,0.676337846550613,0.825274016763378,0.900709219858156
GSL-S,20,34,0.8,0.8,0.85,0.977982590885817,0.977982590885817,0.997269158559481
FR-CGFS,9,22,0.444444444444444,0.555555555555556,0.777777777777778,0.519230769230769,0.692827442827443,0.918918918918919
NS-IBTS,104,37,0.653846153846154,0.711538461538462,0.721153846153846,0.888529886914378,0.935660602655054,0.942263117229753
IE-IGFS,46,17,0.326086956521739,0.326086956521739,0.347826086956522,0.636250518457072,0.636250518457072,0.671920364993779
DFO-QCS,11,10,0.909090909090909,0.909090909090909,1,0.99244966442953,0.99244966442953,1
NIGFS,10,11,1,1,1,1,1,1
GOA,83,11,0.530120481927711,0.530120481927711,0.698795180722892,0.802926695842451,0.802926695842451,0.920951859956236
SWC-IBTS,39,30,0.205128205128205,0.333333333333333,0.41025641025641,0.444893248701673,0.664166185804962,0.75533756491633
BITS,42,19,0.619047619047619,0.619047619047619,0.666666666666667,0.847944142746315,0.847944142746315,0.918541505042669
EBS,81,37,0.617283950617284,0.790123456790123,0.925925925925926,0.751969953604831,0.875690404300759,0.956918771632668
Nor-BTS,83,29,0.144578313253012,0.253012048192771,0.325301204819277,0.394881349284173,0.605707001372818,0.734261619925476
