ref_year,region,year,wt,wtMt,wtMtDiff,wtMtDiffProp,wtMtAnom,wtMtAnomProp,wtMtZ,wtMtLog,CTI,ctiDiff,ctiDiffProp,ctiAnom,ctiAnomProp,ctiZ,ctiLog,anomDays,anomSev,anomIntC,mhwYesNo,metric
northeast-2-1981,northeast,1981,170.99917146639248,0.17099917146639249,NA,NA,0.007451110339186495,0.045559148105039894,0.17406525815787754,NA,13.352270582989538,NA,NA,-1.1596814621207212,-0.0799121619555979,-1.2338980005939033,NA,0,0,0,no,soda_b
northeast-2-1981,northeast,1981,170.99917146639248,0.17099917146639249,NA,NA,0.007451110339186495,0.045559148105039894,0.17406525815787754,NA,13.352270582989538,NA,NA,-1.1596814621207212,-0.0799121619555979,-1.2338980005939033,NA,0,0,0,no,soda_s
ns_ibts-1-1981,ns_ibts,1981,3007.6874718190597,3.0076874718190596,NA,NA,-1.0106986903213557,-0.2515185573362122,-1.2015206630479287,NA,8.189923706933278,NA,NA,-0.07909659667977031,-0.009565413286651383,-0.12230289293241885,NA,0,0,0,no,soda_b
ns_ibts-1-1981,ns_ibts,1981,3007.6874718190597,3.0076874718190596,NA,NA,-1.0106986903213557,-0.2515185573362122,-1.2015206630479287,NA,8.189923706933278,NA,NA,-0.07909659667977031,-0.009565413286651383,-0.12230289293241885,NA,0,0,0,no,soda_s
scotian_shelf-6-1981,scotian_shelf,1981,158.02057689393666,0.15802057689393667,NA,NA,-0.03265291799442849,-0.17125043002723583,-0.7769830216304977,NA,7.4512585040768045,NA,NA,-1.8968883979591862,-0.2029159808716796,-1.8347258748564383,NA,1,0.290824159,0.290824159,yes,soda_b
scotian_shelf-6-1981,scotian_shelf,1981,158.02057689393666,0.15802057689393667,NA,NA,-0.03265291799442849,-0.17125043002723583,-0.7769830216304977,NA,7.4512585040768045,NA,NA,-1.8968883979591862,-0.2029159808716796,-1.8347258748564383,NA,3,0.862332739,0.2874442463333333,yes,soda_s
eastern_bering_sea-5-1982,eastern_bering_sea,1982,250.3863386018237,0.2503863386018237,NA,NA,-0.07401147560502946,-0.2281503523258509,-1.0410897172725413,NA,5.9286021077754745,NA,NA,-1.7102353402148411,-0.22388686130044344,-3.6055773046744704,NA,NA,NA,NA,NA,NA
northeast-2-1982,northeast,1982,145.93506830287458,0.1459350683028746,-0.025064103163517898,-0.1465744128967543,-0.017612992824331403,-0.1076930701772869,-0.41145681694935315,-0.15849692613347519,13.349076020463896,-0.0031945625256426524,-2.3925238076829015e-4,-1.1628760246463639,-0.08013229516136597,-1.237297006650234,-2.3928100618501546e-4,NA,NA,NA,NA,NA
ns_ibts-1-1982,ns_ibts,1982,2625.030023420594,2.6250300234205937,-0.38265744839846594,-0.1272264661750356,-1.3933561387198217,-0.3467452062839185,-1.6564246176318287,-0.1360791682216566,7.859944832811895,-0.3299788741213838,-0.040290836145645194,-0.40907547080115414,-0.049470850932898734,-0.6325318105559946,-0.0411249947385657,0,0,0,no,soda_b
ns_ibts-1-1982,ns_ibts,1982,2625.030023420594,2.6250300234205937,-0.38265744839846594,-0.1272264661750356,-1.3933561387198217,-0.3467452062839185,-1.6564246176318287,-0.1360791682216566,7.859944832811895,-0.3299788741213838,-0.040290836145645194,-0.40907547080115414,-0.049470850932898734,-0.6325318105559946,-0.0411249947385657,0,0,0,no,soda_s
scotian_shelf-6-1982,scotian_shelf,1982,171.49962922424012,0.1714996292242401,0.013479052330303443,0.08529934895346304,-0.019173865664125045,-0.1005586312630966,-0.4562461487390226,0.08185584659262568,8.162438622552127,0.7111801184753226,0.09544429549534685,-1.1857082794838636,-0.12683885821537752,-1.146851687606432,0.09116003028529139,NA,NA,NA,NA,NA
aleutian_islands-5-1983,aleutian_islands,1983,304.3704141379305,0.3043704141379305,NA,NA,-0.2113268342227464,-0.40978856275561343,-1.4146018591991645,NA,7.138695291167752,NA,NA,-0.011336722315799186,-0.001585548469492215,-0.11449071472057884,NA,0,0,0,no,soda_b
aleutian_islands-5-1983,aleutian_islands,1983,304.3704141379305,0.3043704141379305,NA,NA,-0.2113268342227464,-0.40978856275561343,-1.4146018591991645,NA,7.138695291167752,NA,NA,-0.011336722315799186,-0.001585548469492215,-0.11449071472057884,NA,0,0,0,no,soda_s
aleutian_islands-5-1983,aleutian_islands,1983,304.3704141379305,0.3043704141379305,NA,NA,-0.2113268342227464,-0.40978856275561343,-1.4146018591991645,NA,7.138695291167752,NA,NA,-0.011336722315799186,-0.001585548469492215,-0.11449071472057884,NA,0,0,0,no,sst
eastern_bering_sea-5-1983,eastern_bering_sea,1983,328.1711504249295,0.3281711504249295,0.07778481182310581,0.3106591687767875,0.0037733362180763508,0.011631817641256585,0.05307800586784132,0.2705301929316687,6.623424601366146,0.6948224935906717,0.11719836834376164,-1.0154128466241694,-0.13292766779469983,-2.140728488398028,0.11082409460067315,0,0,0,no,soda_b
eastern_bering_sea-5-1983,eastern_bering_sea,1983,328.1711504249295,0.3281711504249295,0.07778481182310581,0.3106591687767875,0.0037733362180763508,0.011631817641256585,0.05307800586784132,0.2705301929316687,6.623424601366146,0.6948224935906717,0.11719836834376164,-1.0154128466241694,-0.13292766779469983,-2.140728488398028,0.11082409460067315,0,0,0,no,soda_s
eastern_bering_sea-5-1983,eastern_bering_sea,1983,328.1711504249295,0.3281711504249295,0.07778481182310581,0.3106591687767875,0.0037733362180763508,0.011631817641256585,0.05307800586784132,0.2705301929316687,6.623424601366146,0.6948224935906717,0.11719836834376164,-1.0154128466241694,-0.13292766779469983,-2.140728488398028,0.11082409460067315,0,0,0,no,sst
northeast-2-1983,northeast,1983,145.51122752364998,0.14551122752364998,-4.2384077922461016e-4,-0.0029043106921015603,-0.018036833603556013,-0.11028460673420733,-0.4213581539709738,-0.002908536386201959,13.248535575278797,-0.10054044518509819,-0.007531640769066824,-1.263416469831462,-0.08706040826927655,-1.344271773726229,-0.007560146797042821,0,0,0,yes,soda_b
northeast-2-1983,northeast,1983,145.51122752364998,0.14551122752364998,-4.2384077922461016e-4,-0.0029043106921015603,-0.018036833603556013,-0.11028460673420733,-0.4213581539709738,-0.002908536386201959,13.248535575278797,-0.10054044518509819,-0.007531640769066824,-1.263416469831462,-0.08706040826927655,-1.344271773726229,-0.007560146797042821,2,1.118123432,0.559061716,yes,soda_s
northeast-2-1983,northeast,1983,145.51122752364998,0.14551122752364998,-4.2384077922461016e-4,-0.0029043106921015603,-0.018036833603556013,-0.11028460673420733,-0.4213581539709738,-0.002908536386201959,13.248535575278797,-0.10054044518509819,-0.007531640769066824,-1.263416469831462,-0.08706040826927655,-1.344271773726229,-0.007560146797042821,30,6.3107898900000015,0.21035966300000006,yes,sst
ns_ibts-1-1983,ns_ibts,1983,2743.190810217408,2.743190810217408,0.11816078679681441,0.04501311822820328,-1.2751953519230073,-0.3173401710212359,-1.5159548334538828,0.04402943866640607,8.009964644253898,0.15001981144200371,0.019086623969132126,-0.2590556593591504,-0.03132845849295583,-0.400564093780316,0.018906759429440374,1,0.112592992,0.112592992,no,soda_b
ns_ibts-1-1983,ns_ibts,1983,2743.190810217408,2.743190810217408,0.11816078679681441,0.04501311822820328,-1.2751953519230073,-0.3173401710212359,-1.5159548334538828,0.04402943866640607,8.009964644253898,0.15001981144200371,0.019086623969132126,-0.2590556593591504,-0.03132845849295583,-0.400564093780316,0.018906759429440374,0,0,0,no,soda_s
ns_ibts-1-1983,ns_ibts,1983,2743.190810217408,2.743190810217408,0.11816078679681441,0.04501311822820328,-1.2751953519230073,-0.3173401710212359,-1.5159548334538828,0.04402943866640607,8.009964644253898,0.15001981144200371,0.019086623969132126,-0.2590556593591504,-0.03132845849295583,-0.400564093780316,0.018906759429440374,21,12.821292432000002,0.6105377348571429,yes,sst
scotian_shelf-6-1983,scotian_shelf,1983,222.39484160215068,0.22239484160215067,0.05089521237791056,0.2967657283466414,0.031721346713785514,0.1663647416352106,0.7548160879242459,0.2598732632266289,8.840515401487382,0.6780767789352549,0.08307281809896691,-0.5076315005486087,-0.05430290151281732,-0.4909960174519303,0.07980220315368912,0,0,0,yes,soda_b
scotian_shelf-6-1983,scotian_shelf,1983,222.39484160215068,0.22239484160215067,0.05089521237791056,0.2967657283466414,0.031721346713785514,0.1663647416352106,0.7548160879242459,0.2598732632266289,8.840515401487382,0.6780767789352549,0.08307281809896691,-0.5076315005486087,-0.05430290151281732,-0.4909960174519303,0.07980220315368912,4,0.566367692,0.141591923,yes,soda_s
scotian_shelf-6-1983,scotian_shelf,1983,222.39484160215068,0.22239484160215067,0.05089521237791056,0.2967657283466414,0.031721346713785514,0.1663647416352106,0.7548160879242459,0.2598732632266289,8.840515401487382,0.6780767789352549,0.08307281809896691,-0.5076315005486087,-0.05430290151281732,-0.4909960174519303,0.07980220315368912,95,24.667539111000004,0.259658306431579,yes,sst
