ref_year,anomDays,anomSev,anomIntC
aleutian_islands-5-1983,0,0,0
aleutian_islands-5-1986,7,1.467282791,0.20961182728571429
aleutian_islands-5-1991,0,0,0
aleutian_islands-5-1994,27,7.821716824,0.2896932157037037
aleutian_islands-5-1997,28,6.206265138,0.22165232635714285
aleutian_islands-5-2000,0,0,0
aleutian_islands-5-2002,14,3.051313383,0.21795095592857144
aleutian_islands-5-2004,37,8.203742413,0.22172276791891893
aleutian_islands-5-2006,11,3.179389949,0.2890354499090909
aleutian_islands-5-2010,0,0,0
aleutian_islands-5-2012,9,3.7322261180000003,0.4146917908888889
aleutian_islands-5-2014,11,6.1785048510000005,0.5616822591818182
aleutian_islands-5-2016,63,19.360361581,0.3073073266825397
aleutian_islands-5-2018,15,3.717026364,0.2478017576
eastern_bering_sea-5-1983,0,0,0
eastern_bering_sea-5-1984,32,12.395780612,0.387368144125
eastern_bering_sea-5-1985,25,10.972646026,0.43890584103999997
eastern_bering_sea-5-1986,0,0,0
eastern_bering_sea-5-1987,15,1.564644242,0.10430961613333332
eastern_bering_sea-5-1988,3,0.099058569,0.033019523
eastern_bering_sea-5-1989,0,0,0
eastern_bering_sea-5-1990,0,0,0
eastern_bering_sea-5-1991,0,0,0
eastern_bering_sea-5-1992,0,0,0
eastern_bering_sea-5-1993,0,0,0
eastern_bering_sea-5-1994,2,0.278589615,0.1392948075
eastern_bering_sea-5-1995,0,0,0
eastern_bering_sea-5-1996,0,0,0
eastern_bering_sea-5-1997,0,0,0
eastern_bering_sea-5-1998,15,8.278798535,0.5519199023333333
eastern_bering_sea-5-1999,0,0,0
eastern_bering_sea-5-2000,0,0,0
eastern_bering_sea-5-2001,18,1.775057277,0.09861429316666666
eastern_bering_sea-5-2002,1,0.065166074,0.065166074
eastern_bering_sea-5-2003,13,1.520839784,0.1169876756923077
eastern_bering_sea-5-2004,66,18.932661168,0.28685850254545453
eastern_bering_sea-5-2005,53,27.998533753,0.5282742217547169
eastern_bering_sea-5-2006,32,16.01967936,0.50061498
eastern_bering_sea-5-2007,0,0,0
eastern_bering_sea-5-2008,0,0,0
eastern_bering_sea-5-2009,0,0,0
eastern_bering_sea-5-2010,0,0,0
eastern_bering_sea-5-2011,0,0,0
eastern_bering_sea-5-2012,0,0,0
eastern_bering_sea-5-2013,0,0,0
eastern_bering_sea-5-2014,0,0,0
eastern_bering_sea-5-2015,85,57.74457555,0.6793479476470589
eastern_bering_sea-5-2016,12,3.261472517,0.2717893764166667
eastern_bering_sea-5-2017,137,133.00481499,0.970838065620438
eastern_bering_sea-5-2018,0,0,0
gulf_of_alaska-5-1984,16,1.1456713570000001,0.07160445981250001
gulf_of_alaska-5-1987,2,0.130032286,0.065016143
gulf_of_alaska-5-1990,0,0,0
gulf_of_alaska-5-1993,0,0,0
gulf_of_alaska-5-1996,0,0,0
gulf_of_alaska-5-1999,0,0,0
gulf_of_alaska-5-2003,21,3.659480599,0.17426098090476191
gulf_of_alaska-5-2005,47,21.088307476,0.448687393106383
gulf_of_alaska-5-2007,8,3.015022482,0.37687781025
gulf_of_alaska-5-2009,0,0,0
gulf_of_alaska-5-2011,0,0,0
gulf_of_alaska-5-2013,0,0,0
gulf_of_alaska-5-2015,58,10.549848151,0.18189393363793105
gulf_of_alaska-5-2017,124,59.61258838,0.480746680483871
gulf_of_mexico-1-2008,6,1.439495761,0.2399159601666667
gulf_of_mexico-1-2009,7,1.394391525,0.1991987892857143
gulf_of_mexico-1-2010,14,2.864561632,0.20461154514285715
gulf_of_mexico-1-2011,13,5.189526645,0.3991943573076923
gulf_of_mexico-1-2012,15,2.114052539,0.1409368359333333
