ref_yr,survey,year,wt_mt,wt_mt_med,num,num_med,depth_wt,wt_mt_log,wt_mt_log_med,num_log,num_log_med,depth_wt_log,CTI,cti_diff,cti_log
EBS-6-1983,EBS,1983,26.618454351585086,9478.21,79663.67524495674,26267.789999999997,79.20773334123976,NA,NA,NA,NA,NA,5.669468802959158,NA,NA
NEUS-9-1983,NEUS,1983,3.886635943518552,2.60416666666667,NA,NA,58.890275636412824,NA,NA,NA,NA,NA,14.779884530094565,NA,NA
NS-IBTS-1-1983,NS-IBTS,1983,2.758787360821522,422.45841029951595,44060.24412783538,3870.6453922233345,81.25749380773408,NA,NA,NA,NA,NA,7.970891859711063,NA,NA
SCS-6-1983,SCS,1983,2.0457988024088523,190.287394766048,4441.213725502911,322.5582289551289,113.34432378865654,NA,NA,NA,NA,NA,8.731447253033167,NA,NA
EBS-6-1984,EBS,1984,22.26767085959887,7073.22,58226.829799427025,17111.66,83.25530311869898,-0.17846885851210043,-0.29267965810386576,-0.31346747170191414,-0.42858337129372287,0.04983789070617063,5.650422472835907,-0.019046330123250854,-0.003365111489599059
NEUS-9-1984,NEUS,1984,4.24777258258444,5.20833333333334,NA,NA,53.52183065628026,0.08885075986552038,0.6931471805599453,NA,NA,-0.09558635715310368,15.389062914659227,0.6091783845646628,0.040389953849683705
NS-IBTS-1-1984,NS-IBTS,1984,2.7355012951127313,477.0284899412436,58201.26606683864,4919.5630617623765,81.23333173274274,-0.008476513192027867,0.1214852116538038,0.27834922606343343,0.23979845682180198,-2.973961771571648e-4,8.140806650664809,0.1699147909537455,0.021092883599624482
SCS-6-1984,SCS,1984,2.337822919694753,282.01525390573767,5678.41150194559,288.38291676161674,130.69395867270728,0.13343179445176,0.3934256279803893,0.24574382778163126,-0.11199450571077932,0.1424280978596064,8.06117931084912,-0.6702679421840472,-0.07987127308449547
EBS-6-1985,EBS,1985,19.65638041666668,6296.280000000001,55659.32473214283,16667.515,84.18615313237495,-0.12473390059369516,-0.11635683896190496,-0.04509661761910541,-0.02629848702032682,0.011118627657753132,5.757085719662347,0.10666324682643946,0.0187010789074936
GSL-S-8-1985,GSL-S,1985,9.083693055574857,2890.84357809529,24335.046832417815,4289.435688730448,NA,NA,NA,NA,NA,NA,5.8699447828253675,NA,NA
