"","coords","survey","surveyID"
"1","11.125,57.875","BITS",1
"2","11.125,57.625","BITS",1
"3","10.625,57.375","BITS",1
"4","10.625,57.625","BITS",1
"5","10.875,57.625","BITS",1
"6","10.875,57.375","BITS",1
"7","11.125,57.375","BITS",1
"8","10.625,57.125","BITS",1
"9","9.625,55.375","BITS",1
"10","10.125,55.625","BITS",1
"11","10.125,55.875","BITS",1
"12","10.375,55.625","BITS",1
"13","9.875,55.625","BITS",1
"14","11.125,55.875","BITS",1
"15","10.375,56.125","BITS",1
"16","10.625,56.125","BITS",1
"17","11.125,56.375","BITS",1
"18","10.875,56.625","BITS",1
"19","11.125,56.125","BITS",1
"20","10.625,55.875","BITS",1
"21","10.875,56.125","BITS",1
"22","10.375,55.875","BITS",1
"23","10.875,55.875","BITS",1
"24","10.625,56.625","BITS",1
"25","12.125,57.125","BITS",1
"26","11.875,57.125","BITS",1
"27","11.625,57.375","BITS",1
"28","11.875,56.875","BITS",1
"29","11.125,56.625","BITS",1
"30","11.625,56.625","BITS",1
"31","11.375,56.875","BITS",1
"32","11.375,57.125","BITS",1
"33","10.875,56.875","BITS",1
"34","11.375,57.375","BITS",1
"35","11.625,56.875","BITS",1
"36","11.875,56.625","BITS",1
"37","11.125,56.875","BITS",1
"38","11.625,57.125","BITS",1
"39","10.375,56.875","BITS",1
"40","10.625,56.875","BITS",1
"41","12.125,56.875","BITS",1
"42","11.375,56.625","BITS",1
"43","10.125,54.625","BITS",1
"44","10.375,54.625","BITS",1
"45","10.625,54.375","BITS",1
"46","10.625,54.625","BITS",1
"47","11.125,54.625","BITS",1
"48","10.375,54.875","BITS",1
"49","9.875,55.125","BITS",1
"50","10.125,54.875","BITS",1
"51","10.875,54.375","BITS",1
"52","10.875,55.125","BITS",1
"53","11.125,55.125","BITS",1
"54","9.625,55.125","BITS",1
"55","10.125,55.125","BITS",1
"56","11.375,55.875","BITS",1
"57","10.875,55.625","BITS",1
"58","10.875,55.375","BITS",1
"59","11.125,55.375","BITS",1
"60","11.375,55.125","BITS",1
"61","10.625,55.625","BITS",1
"62","12.375,56.375","BITS",1
"63","12.375,56.125","BITS",1
"64","11.875,56.125","BITS",1
"65","11.375,56.125","BITS",1
"66","11.625,56.375","BITS",1
"67","12.375,56.625","BITS",1
"68","12.625,56.375","BITS",1
"69","12.125,56.375","BITS",1
"70","11.875,56.375","BITS",1
"71","12.125,56.625","BITS",1
"72","12.625,56.625","BITS",1
"73","12.125,56.125","BITS",1
"74","11.375,54.375","BITS",1
"75","11.625,54.375","BITS",1
"76","11.375,54.125","BITS",1
"77","11.125,54.125","BITS",1
"78","11.875,54.125","BITS",1
"79","11.625,54.125","BITS",1
"80","11.875,54.375","BITS",1
"81","12.375,54.625","BITS",1
"82","12.625,54.875","BITS",1
"83","12.375,54.875","BITS",1
"84","11.375,54.625","BITS",1
"85","12.125,54.625","BITS",1
"86","12.875,55.125","BITS",1
"87","12.625,55.125","BITS",1
"88","12.625,55.875","BITS",1
"89","12.375,55.375","BITS",1
"90","12.375,55.125","BITS",1
"91","12.625,55.625","BITS",1
"92","12.375,55.625","BITS",1
"93","12.375,54.375","BITS",1
"94","12.125,54.375","BITS",1
"95","12.875,54.625","BITS",1
"96","12.625,54.625","BITS",1
"97","13.875,55.375","BITS",1
"98","14.125,55.375","BITS",1
"99","13.125,54.625","BITS",1
"100","13.375,55.125","BITS",1
"101","13.625,55.125","BITS",1
"102","12.875,54.875","BITS",1
"103","13.125,54.875","BITS",1
"104","13.375,54.875","BITS",1
"105","13.875,55.125","BITS",1
"106","13.625,54.875","BITS",1
"107","14.375,55.125","BITS",1
"108","13.625,54.625","BITS",1
"109","14.125,55.125","BITS",1
"110","13.875,54.875","BITS",1
"111","14.125,54.875","BITS",1
"112","13.375,54.625","BITS",1
"113","13.875,54.625","BITS",1
"114","13.125,55.125","BITS",1
"115","13.125,55.375","BITS",1
"116","13.625,55.375","BITS",1
"117","14.375,55.375","BITS",1
"118","14.375,54.375","BITS",1
"119","14.625,54.625","BITS",1
"120","15.125,54.375","BITS",1
"121","14.375,54.625","BITS",1
"122","14.125,54.625","BITS",1
"123","14.125,54.375","BITS",1
"124","14.875,54.375","BITS",1
"125","14.625,54.375","BITS",1
"126","15.125,54.625","BITS",1
"127","14.875,54.625","BITS",1
"128","14.625,54.875","BITS",1
"129","13.875,54.375","BITS",1
"130","13.625,54.375","BITS",1
"131","14.375,54.125","BITS",1
"132","15.375,54.875","BITS",1
"133","15.875,54.875","BITS",1
"134","15.625,54.625","BITS",1
"135","16.125,54.875","BITS",1
"136","15.625,54.875","BITS",1
"137","15.625,54.375","BITS",1
"138","15.875,54.375","BITS",1
"139","16.125,54.375","BITS",1
"140","16.375,54.625","BITS",1
"141","15.375,54.625","BITS",1
"142","15.875,54.625","BITS",1
"143","16.125,54.625","BITS",1
"144","16.625,54.625","BITS",1
"145","15.625,55.125","BITS",1
"146","14.875,55.375","BITS",1
"147","15.375,55.125","BITS",1
"148","15.125,55.125","BITS",1
"149","15.125,55.375","BITS",1
"150","14.875,54.875","BITS",1
"151","15.625,55.375","BITS",1
"152","15.625,55.625","BITS",1
"153","15.875,55.375","BITS",1
"154","14.625,55.375","BITS",1
"155","15.125,54.875","BITS",1
"156","14.625,55.125","BITS",1
"157","15.375,55.625","BITS",1
"158","15.375,55.375","BITS",1
"159","14.875,55.625","BITS",1
"160","15.125,55.625","BITS",1
"161","15.875,55.125","BITS",1
"162","14.625,55.625","BITS",1
"163","14.375,55.625","BITS",1
"164","15.125,55.875","BITS",1
"165","11.625,57.625","BITS",1
"166","11.375,57.625","BITS",1
"167","16.125,55.375","BITS",1
"168","17.375,55.625","BITS",1
"169","16.875,55.125","BITS",1
"170","16.625,55.375","BITS",1
"171","16.375,55.375","BITS",1
"172","16.375,55.125","BITS",1
"173","16.125,55.125","BITS",1
"174","17.375,55.375","BITS",1
"175","16.625,55.625","BITS",1
"176","17.125,55.375","BITS",1
"177","17.625,55.625","BITS",1
"178","16.875,55.375","BITS",1
"179","16.125,55.625","BITS",1
"180","17.125,55.125","BITS",1
"181","16.375,55.625","BITS",1
"182","16.625,54.875","BITS",1
"183","17.375,55.125","BITS",1
"184","17.625,55.375","BITS",1
"185","15.375,55.875","BITS",1
"186","16.625,55.875","BITS",1
"187","16.375,55.875","BITS",1
"188","16.125,55.875","BITS",1
"189","15.875,55.875","BITS",1
"190","15.875,55.625","BITS",1
"191","15.625,55.875","BITS",1
"192","19.625,54.875","BITS",1
"193","19.375,54.875","BITS",1
"194","19.375,54.625","BITS",1
"195","19.625,54.625","BITS",1
"196","19.625,55.125","BITS",1
"197","19.375,55.125","BITS",1
"198","19.125,54.375","BITS",1
"199","18.875,54.875","BITS",1
"200","18.875,54.625","BITS",1
"201","18.625,54.875","BITS",1
"202","19.375,54.375","BITS",1
"203","18.625,54.625","BITS",1
"204","18.875,54.375","BITS",1
"205","19.125,54.625","BITS",1
"206","19.125,54.875","BITS",1
"207","19.125,55.125","BITS",1
"208","18.125,54.875","BITS",1
"209","18.375,54.875","BITS",1
"210","17.875,55.625","BITS",1
"211","19.125,55.375","BITS",1
"212","19.125,55.625","BITS",1
"213","18.125,55.625","BITS",1
"214","17.875,55.375","BITS",1
"215","18.375,55.375","BITS",1
"216","18.625,55.125","BITS",1
"217","18.875,55.375","BITS",1
"218","18.875,55.625","BITS",1
"219","18.375,55.625","BITS",1
"220","18.125,55.375","BITS",1
"221","18.625,55.375","BITS",1
"222","18.625,55.625","BITS",1
"223","18.875,55.125","BITS",1
"224","18.375,55.875","BITS",1
"225","18.375,55.125","BITS",1
"226","17.125,55.875","BITS",1
"227","16.875,55.875","BITS",1
"228","17.875,56.125","BITS",1
"229","17.625,55.875","BITS",1
"230","17.625,56.125","BITS",1
"231","17.875,55.875","BITS",1
"232","17.875,56.375","BITS",1
"233","18.375,56.125","BITS",1
"234","18.125,56.125","BITS",1
"235","18.125,55.875","BITS",1
"236","17.375,56.125","BITS",1
"237","18.625,56.375","BITS",1
"238","18.375,56.375","BITS",1
"239","16.875,56.625","BITS",1
"240","17.125,56.875","BITS",1
"241","16.875,56.375","BITS",1
"242","17.125,56.625","BITS",1
"243","20.125,55.125","BITS",1
"244","20.375,55.125","BITS",1
"245","19.875,55.375","BITS",1
"246","19.625,55.375","BITS",1
"247","19.375,55.625","BITS",1
"248","19.625,55.625","BITS",1
"249","20.125,55.375","BITS",1
"250","20.125,55.625","BITS",1
"251","19.875,55.625","BITS",1
"252","20.625,55.625","BITS",1
"253","20.375,55.875","BITS",1
"254","20.125,55.875","BITS",1
"255","20.375,55.625","BITS",1
"256","20.625,55.375","BITS",1
"257","19.875,55.125","BITS",1
"258","19.375,55.375","BITS",1
"259","20.375,55.375","BITS",1
"260","19.875,55.875","BITS",1
"261","19.375,56.125","BITS",1
"262","19.875,56.125","BITS",1
"263","19.875,56.375","BITS",1
"264","19.625,56.125","BITS",1
"265","19.625,56.375","BITS",1
"266","18.875,56.125","BITS",1
"267","19.375,55.875","BITS",1
"268","19.375,56.375","BITS",1
"269","19.125,55.875","BITS",1
"270","19.625,55.875","BITS",1
"271","18.875,55.875","BITS",1
"272","18.625,55.875","BITS",1
"273","18.875,56.875","BITS",1
"274","18.875,57.125","BITS",1
"275","18.625,56.625","BITS",1
"276","17.375,57.125","BITS",1
"277","17.875,57.125","BITS",1
"278","17.125,57.625","BITS",1
"279","17.125,57.375","BITS",1
"280","16.875,57.375","BITS",1
"281","17.625,57.375","BITS",1
"282","17.875,56.875","BITS",1
"283","17.375,57.375","BITS",1
"284","20.625,55.875","BITS",1
"285","20.625,56.125","BITS",1
"286","20.625,56.625","BITS",1
"287","20.875,55.875","BITS",1
"288","20.875,56.625","BITS",1
"289","20.375,56.625","BITS",1
"290","20.375,57.125","BITS",1
"291","20.125,56.375","BITS",1
"292","20.125,56.625","BITS",1
"293","20.375,57.375","BITS",1
"294","20.375,56.875","BITS",1
"295","20.625,56.875","BITS",1
"296","20.625,57.125","BITS",1
"297","19.125,57.375","BITS",1
"298","19.625,57.875","BITS",1
"299","19.375,57.875","BITS",1
"300","19.375,57.625","BITS",1
"301","19.125,57.125","BITS",1
"302","19.125,57.625","BITS",1
"303","18.875,57.375","BITS",1
"304","21.375,57.125","BITS",1
"305","21.375,57.375","BITS",1
"306","20.875,56.875","BITS",1
"307","20.875,57.125","BITS",1
"308","20.625,57.375","BITS",1
"309","21.125,57.125","BITS",1
"310","21.125,57.375","BITS",1
"311","20.875,57.375","BITS",1
"312","21.125,57.625","BITS",1
"313","21.375,57.625","BITS",1
"314","-131.375,52.625","DFO-QCS",2
"315","-131.125,52.625","DFO-QCS",2
"316","-130.875,52.375","DFO-QCS",2
