survey,year,month_year,ref_yr,survey_date
AI,1983,5-1983,AI-5-1983,1983-05-01
AI,1997,5-1997,AI-5-1997,1997-05-01
AI,2000,5-2000,AI-5-2000,2000-05-01
AI,2002,5-2002,AI-5-2002,2002-05-01
AI,1986,5-1986,AI-5-1986,1986-05-01
AI,1991,5-1991,AI-5-1991,1991-05-01
AI,1994,5-1994,AI-5-1994,1994-05-01
AI,2004,5-2004,AI-5-2004,2004-05-01
AI,2006,5-2006,AI-5-2006,2006-05-01
AI,2010,5-2010,AI-5-2010,2010-05-01
AI,2012,5-2012,AI-5-2012,2012-05-01
AI,2014,5-2014,AI-5-2014,2014-05-01
AI,2016,5-2016,AI-5-2016,2016-05-01
AI,2018,5-2018,AI-5-2018,2018-05-01
DFO-QCS,2003,7-2003,DFO-QCS-7-2003,2003-07-01
DFO-QCS,2004,7-2004,DFO-QCS-7-2004,2004-07-01
DFO-QCS,2005,7-2005,DFO-QCS-7-2005,2005-07-01
DFO-QCS,2007,7-2007,DFO-QCS-7-2007,2007-07-01
DFO-QCS,2009,7-2009,DFO-QCS-7-2009,2009-07-01
DFO-QCS,2011,7-2011,DFO-QCS-7-2011,2011-07-01
DFO-QCS,2013,7-2013,DFO-QCS-7-2013,2013-07-01
DFO-QCS,2015,7-2015,DFO-QCS-7-2015,2015-07-01
DFO-QCS,2017,7-2017,DFO-QCS-7-2017,2017-07-01
DFO-QCS,2019,7-2019,DFO-QCS-7-2019,2019-07-01
EBS,1982,5-1982,EBS-5-1982,1982-05-01
EBS,1983,5-1983,EBS-5-1983,1983-05-01
EBS,1984,5-1984,EBS-5-1984,1984-05-01
EBS,1987,5-1987,EBS-5-1987,1987-05-01
EBS,1985,5-1985,EBS-5-1985,1985-05-01
EBS,1986,5-1986,EBS-5-1986,1986-05-01
EBS,1988,5-1988,EBS-5-1988,1988-05-01
EBS,1989,5-1989,EBS-5-1989,1989-05-01
EBS,1990,5-1990,EBS-5-1990,1990-05-01
EBS,1991,5-1991,EBS-5-1991,1991-05-01
EBS,1992,5-1992,EBS-5-1992,1992-05-01
EBS,1993,5-1993,EBS-5-1993,1993-05-01
EBS,1994,5-1994,EBS-5-1994,1994-05-01
EBS,1995,5-1995,EBS-5-1995,1995-05-01
EBS,1996,5-1996,EBS-5-1996,1996-05-01
EBS,1997,5-1997,EBS-5-1997,1997-05-01
EBS,1998,5-1998,EBS-5-1998,1998-05-01
EBS,1999,5-1999,EBS-5-1999,1999-05-01
EBS,2000,5-2000,EBS-5-2000,2000-05-01
EBS,2001,5-2001,EBS-5-2001,2001-05-01
EBS,2002,5-2002,EBS-5-2002,2002-05-01
EBS,2003,5-2003,EBS-5-2003,2003-05-01
EBS,2004,5-2004,EBS-5-2004,2004-05-01
EBS,2005,5-2005,EBS-5-2005,2005-05-01
EBS,2006,5-2006,EBS-5-2006,2006-05-01
EBS,2007,5-2007,EBS-5-2007,2007-05-01
EBS,2008,5-2008,EBS-5-2008,2008-05-01
EBS,2009,5-2009,EBS-5-2009,2009-05-01
EBS,2010,5-2010,EBS-5-2010,2010-05-01
EBS,2011,5-2011,EBS-5-2011,2011-05-01
EBS,2012,5-2012,EBS-5-2012,2012-05-01
EBS,2013,5-2013,EBS-5-2013,2013-05-01
EBS,2014,5-2014,EBS-5-2014,2014-05-01
EBS,2015,5-2015,EBS-5-2015,2015-05-01
EBS,2016,5-2016,EBS-5-2016,2016-05-01
EBS,2017,5-2017,EBS-5-2017,2017-05-01
EBS,2018,5-2018,EBS-5-2018,2018-05-01
EBS,2019,5-2019,EBS-5-2019,2019-05-01
GOA,1990,5-1990,GOA-5-1990,1990-05-01
GOA,1984,5-1984,GOA-5-1984,1984-05-01
GOA,1993,5-1993,GOA-5-1993,1993-05-01
GOA,1996,5-1996,GOA-5-1996,1996-05-01
GOA,1999,5-1999,GOA-5-1999,1999-05-01
GOA,1987,5-1987,GOA-5-1987,1987-05-01
GOA,2001,5-2001,GOA-5-2001,2001-05-01
GOA,2007,5-2007,GOA-5-2007,2007-05-01
GOA,2009,5-2009,GOA-5-2009,2009-05-01
GOA,2003,5-2003,GOA-5-2003,2003-05-01
GOA,2005,5-2005,GOA-5-2005,2005-05-01
GOA,2011,5-2011,GOA-5-2011,2011-05-01
GOA,2013,5-2013,GOA-5-2013,2013-05-01
GOA,2015,5-2015,GOA-5-2015,2015-05-01
GOA,2017,5-2017,GOA-5-2017,2017-05-01
GOA,2019,5-2019,GOA-5-2019,2019-05-01
GSL-S,1970,8-1970,GSL-S-8-1970,1970-08-01
GSL-S,1971,8-1971,GSL-S-8-1971,1971-08-01
GSL-S,1972,8-1972,GSL-S-8-1972,1972-08-01
GSL-S,1973,8-1973,GSL-S-8-1973,1973-08-01
GSL-S,1974,8-1974,GSL-S-8-1974,1974-08-01
GSL-S,1975,8-1975,GSL-S-8-1975,1975-08-01
GSL-S,1976,8-1976,GSL-S-8-1976,1976-08-01
GSL-S,1977,8-1977,GSL-S-8-1977,1977-08-01
GSL-S,1978,8-1978,GSL-S-8-1978,1978-08-01
GSL-S,1979,8-1979,GSL-S-8-1979,1979-08-01
GSL-S,1980,8-1980,GSL-S-8-1980,1980-08-01
GSL-S,1981,8-1981,GSL-S-8-1981,1981-08-01
GSL-S,1982,8-1982,GSL-S-8-1982,1982-08-01
GSL-S,1983,8-1983,GSL-S-8-1983,1983-08-01
GSL-S,1984,8-1984,GSL-S-8-1984,1984-08-01
GSL-S,1985,8-1985,GSL-S-8-1985,1985-08-01
GSL-S,1986,8-1986,GSL-S-8-1986,1986-08-01
GSL-S,1987,8-1987,GSL-S-8-1987,1987-08-01
GSL-S,1988,8-1988,GSL-S-8-1988,1988-08-01
GSL-S,1989,8-1989,GSL-S-8-1989,1989-08-01
GSL-S,1990,8-1990,GSL-S-8-1990,1990-08-01
GSL-S,1991,8-1991,GSL-S-8-1991,1991-08-01
GSL-S,1992,8-1992,GSL-S-8-1992,1992-08-01
GSL-S,1993,8-1993,GSL-S-8-1993,1993-08-01
GSL-S,1994,8-1994,GSL-S-8-1994,1994-08-01
GSL-S,1995,8-1995,GSL-S-8-1995,1995-08-01
GSL-S,1996,8-1996,GSL-S-8-1996,1996-08-01
GSL-S,1997,8-1997,GSL-S-8-1997,1997-08-01
GSL-S,1998,8-1998,GSL-S-8-1998,1998-08-01
GSL-S,1999,8-1999,GSL-S-8-1999,1999-08-01
GSL-S,2000,8-2000,GSL-S-8-2000,2000-08-01
GSL-S,2001,8-2001,GSL-S-8-2001,2001-08-01
GSL-S,2002,8-2002,GSL-S-8-2002,2002-08-01
GSL-S,2004,8-2004,GSL-S-8-2004,2004-08-01
GSL-S,2005,8-2005,GSL-S-8-2005,2005-08-01
GSL-S,2006,8-2006,GSL-S-8-2006,2006-08-01
GSL-S,2007,8-2007,GSL-S-8-2007,2007-08-01
GSL-S,2008,8-2008,GSL-S-8-2008,2008-08-01
GSL-S,2009,8-2009,GSL-S-8-2009,2009-08-01
GSL-S,2010,8-2010,GSL-S-8-2010,2010-08-01
GSL-S,2011,8-2011,GSL-S-8-2011,2011-08-01
GSL-S,2012,8-2012,GSL-S-8-2012,2012-08-01
GSL-S,2013,8-2013,GSL-S-8-2013,2013-08-01
GSL-S,2014,8-2014,GSL-S-8-2014,2014-08-01
GSL-S,2015,8-2015,GSL-S-8-2015,2015-08-01
GSL-S,2016,8-2016,GSL-S-8-2016,2016-08-01
GSL-S,2017,8-2017,GSL-S-8-2017,2017-08-01
GSL-S,2018,8-2018,GSL-S-8-2018,2018-08-01
GSL-S,2019,8-2019,GSL-S-8-2019,2019-08-01
ICE-GFS,1996,2-1996,ICE-GFS-2-1996,1996-02-01
ICE-GFS,1997,2-1997,ICE-GFS-2-1997,1997-02-01
ICE-GFS,1998,2-1998,ICE-GFS-2-1998,1998-02-01
ICE-GFS,1999,2-1999,ICE-GFS-2-1999,1999-02-01
ICE-GFS,2000,2-2000,ICE-GFS-2-2000,2000-02-01
ICE-GFS,2001,2-2001,ICE-GFS-2-2001,2001-02-01
ICE-GFS,2002,2-2002,ICE-GFS-2-2002,2002-02-01
ICE-GFS,2003,2-2003,ICE-GFS-2-2003,2003-02-01
ICE-GFS,2004,2-2004,ICE-GFS-2-2004,2004-02-01
ICE-GFS,2005,2-2005,ICE-GFS-2-2005,2005-02-01
ICE-GFS,2006,2-2006,ICE-GFS-2-2006,2006-02-01
ICE-GFS,2007,2-2007,ICE-GFS-2-2007,2007-02-01
ICE-GFS,2008,2-2008,ICE-GFS-2-2008,2008-02-01
ICE-GFS,2009,2-2009,ICE-GFS-2-2009,2009-02-01
ICE-GFS,2010,2-2010,ICE-GFS-2-2010,2010-02-01
ICE-GFS,2011,2-2011,ICE-GFS-2-2011,2011-02-01
ICE-GFS,2012,2-2012,ICE-GFS-2-2012,2012-02-01
ICE-GFS,2013,2-2013,ICE-GFS-2-2013,2013-02-01
ICE-GFS,2014,2-2014,ICE-GFS-2-2014,2014-02-01
ICE-GFS,2015,2-2015,ICE-GFS-2-2015,2015-02-01
ICE-GFS,2016,2-2016,ICE-GFS-2-2016,2016-02-01
ICE-GFS,2017,2-2017,ICE-GFS-2-2017,2017-02-01
ICE-GFS,2018,2-2018,ICE-GFS-2-2018,2018-02-01
ICE-GFS,2019,2-2019,ICE-GFS-2-2019,2019-02-01
PT-IBTS,2002,9-2002,PT-IBTS-9-2002,2002-09-01
