"","survey","ref_yr","n_mhw"
"1","BITS","BITS-2-2001",2
"2","BITS","BITS-2-2002",1
"3","BITS","BITS-2-2003",1
"4","BITS","BITS-2-2004",1
"5","BITS","BITS-2-2005",0
"6","BITS","BITS-2-2006",1
"7","BITS","BITS-2-2007",5
"8","BITS","BITS-2-2008",2
"9","BITS","BITS-2-2009",1
"10","BITS","BITS-2-2010",0
"11","BITS","BITS-2-2011",1
"12","BITS","BITS-2-2012",1
"13","BITS","BITS-2-2013",0
"14","BITS","BITS-2-2014",0
"15","BITS","BITS-2-2015",2
"16","BITS","BITS-2-2016",0
"17","BITS","BITS-2-2017",1
"18","BITS","BITS-2-2018",0
"19","BITS","BITS-2-2019",3
"20","DFO-QCS","DFO-QCS-7-2003",0
"21","DFO-QCS","DFO-QCS-7-2004",1
"22","DFO-QCS","DFO-QCS-7-2005",2
"23","DFO-QCS","DFO-QCS-7-2007",0
"24","DFO-QCS","DFO-QCS-7-2009",0
"25","DFO-QCS","DFO-QCS-7-2011",0
"26","DFO-QCS","DFO-QCS-7-2013",0
"27","DFO-QCS","DFO-QCS-7-2015",14
"28","DFO-QCS","DFO-QCS-7-2017",1
"29","DFO-QCS","DFO-QCS-7-2019",1
"30","EBS","EBS-6-1983",0
"31","EBS","EBS-6-1984",2
"32","EBS","EBS-6-1985",1
"33","EBS","EBS-6-1986",0
"34","EBS","EBS-6-1987",1
"35","EBS","EBS-6-1988",0
"36","EBS","EBS-6-1989",0
"37","EBS","EBS-6-1990",0
"38","EBS","EBS-6-1991",0
"39","EBS","EBS-6-1992",0
"40","EBS","EBS-6-1993",0
"41","EBS","EBS-6-1994",0
"42","EBS","EBS-6-1995",0
"43","EBS","EBS-6-1996",0
"44","EBS","EBS-6-1997",0
"45","EBS","EBS-6-1998",1
"46","EBS","EBS-6-1999",0
"47","EBS","EBS-6-2000",0
"48","EBS","EBS-6-2001",2
"49","EBS","EBS-6-2002",0
"50","EBS","EBS-6-2003",1
"51","EBS","EBS-6-2004",4
"52","EBS","EBS-6-2005",4
"53","EBS","EBS-6-2006",2
"54","EBS","EBS-6-2007",0
"55","EBS","EBS-6-2008",0
"56","EBS","EBS-6-2009",0
"57","EBS","EBS-6-2010",0
"58","EBS","EBS-6-2011",0
"59","EBS","EBS-6-2012",0
"60","EBS","EBS-6-2013",0
"61","EBS","EBS-6-2014",0
"62","EBS","EBS-6-2015",5
"63","EBS","EBS-6-2016",2
"64","EBS","EBS-6-2017",3
"65","EBS","EBS-6-2018",0
"66","EBS","EBS-6-2019",4
"67","EVHOE","EVHOE-10-1997",2
"68","EVHOE","EVHOE-10-1998",2
"69","EVHOE","EVHOE-10-1999",1
"70","EVHOE","EVHOE-10-2000",0
"71","EVHOE","EVHOE-10-2001",0
"72","EVHOE","EVHOE-10-2002",0
"73","EVHOE","EVHOE-10-2003",4
"74","EVHOE","EVHOE-10-2004",1
"75","EVHOE","EVHOE-10-2005",2
"76","EVHOE","EVHOE-10-2006",2
"77","EVHOE","EVHOE-10-2007",3
"78","EVHOE","EVHOE-10-2008",1
"79","EVHOE","EVHOE-10-2009",1
"80","EVHOE","EVHOE-10-2010",1
"81","EVHOE","EVHOE-10-2011",1
"82","EVHOE","EVHOE-10-2012",0
"83","EVHOE","EVHOE-10-2013",1
"84","EVHOE","EVHOE-10-2014",3
"85","EVHOE","EVHOE-10-2015",1
"86","EVHOE","EVHOE-10-2016",0
"87","EVHOE","EVHOE-10-2018",2
"88","EVHOE","EVHOE-10-2019",0
"89","FR-CGFS","FR-CGFS-10-1998",1
"90","FR-CGFS","FR-CGFS-10-1999",2
"91","FR-CGFS","FR-CGFS-10-2000",0
"92","FR-CGFS","FR-CGFS-10-2001",0
"93","FR-CGFS","FR-CGFS-10-2002",3
"94","FR-CGFS","FR-CGFS-10-2003",2
"95","FR-CGFS","FR-CGFS-10-2004",0
"96","FR-CGFS","FR-CGFS-10-2005",0
"97","FR-CGFS","FR-CGFS-10-2006",1
"98","FR-CGFS","FR-CGFS-10-2007",4
"99","FR-CGFS","FR-CGFS-10-2008",1
"100","FR-CGFS","FR-CGFS-10-2009",0
"101","FR-CGFS","FR-CGFS-10-2010",0
"102","FR-CGFS","FR-CGFS-10-2011",0
"103","FR-CGFS","FR-CGFS-10-2012",0
"104","FR-CGFS","FR-CGFS-10-2013",0
"105","FR-CGFS","FR-CGFS-10-2014",0
"106","FR-CGFS","FR-CGFS-10-2015",0
"107","FR-CGFS","FR-CGFS-10-2016",0
"108","FR-CGFS","FR-CGFS-10-2017",3
"109","FR-CGFS","FR-CGFS-10-2018",1
"110","FR-CGFS","FR-CGFS-10-2019",0
"111","GMEX","GMEX-6-1988",0
"112","GMEX","GMEX-6-1989",2
"113","GMEX","GMEX-6-1990",0
"114","GMEX","GMEX-6-1991",4
"115","GMEX","GMEX-6-1992",0
"116","GMEX","GMEX-6-1993",2
"117","GMEX","GMEX-6-1994",1
"118","GMEX","GMEX-6-1995",1
"119","GMEX","GMEX-6-1996",0
"120","GMEX","GMEX-6-1997",2
"121","GMEX","GMEX-6-1998",0
"122","GMEX","GMEX-6-1999",3
"123","GMEX","GMEX-6-2000",3
"124","GMEX","GMEX-6-2001",2
"125","GMEX","GMEX-6-2002",2
"126","GMEX","GMEX-6-2003",1
"127","GMEX","GMEX-6-2004",0
"128","GMEX","GMEX-6-2005",1
"129","GMEX","GMEX-6-2006",1
"130","GMEX","GMEX-6-2007",0
"131","GMEX","GMEX-6-2008",0
"132","GMEX","GMEX-6-2009",1
"133","GMEX","GMEX-6-2010",1
"134","GMEX","GMEX-6-2011",2
"135","GMEX","GMEX-6-2012",2
"136","GMEX","GMEX-6-2013",0
"137","GMEX","GMEX-6-2014",0
"138","GMEX","GMEX-6-2015",3
"139","GMEX","GMEX-6-2016",2
"140","GMEX","GMEX-6-2017",5
"141","GMEX","GMEX-6-2018",1
"142","GMEX","GMEX-6-2019",0
"143","GOA","GOA-5-1999",0
"144","GOA","GOA-5-2001",0
"145","GOA","GOA-5-2003",1
"146","GOA","GOA-5-2005",2
"147","GOA","GOA-5-2007",1
"148","GOA","GOA-5-2009",0
"149","GOA","GOA-5-2011",0
"150","GOA","GOA-5-2013",0
"151","GOA","GOA-5-2015",4
"152","GOA","GOA-5-2017",4
"153","GOA","GOA-5-2019",0
"154","GSL-S","GSL-S-8-1985",1
"155","GSL-S","GSL-S-8-1986",2
"156","GSL-S","GSL-S-8-1987",0
"157","GSL-S","GSL-S-8-1988",0
"158","GSL-S","GSL-S-8-1989",2
"159","GSL-S","GSL-S-8-1990",0
"160","GSL-S","GSL-S-8-1991",1
"161","GSL-S","GSL-S-8-1992",0
"162","GSL-S","GSL-S-8-1993",0
"163","GSL-S","GSL-S-8-1994",0
"164","GSL-S","GSL-S-8-1995",1
"165","GSL-S","GSL-S-8-1996",0
"166","GSL-S","GSL-S-8-1997",0
"167","GSL-S","GSL-S-8-1998",1
"168","GSL-S","GSL-S-8-1999",1
"169","GSL-S","GSL-S-8-2000",1
"170","GSL-S","GSL-S-8-2001",0
"171","GSL-S","GSL-S-8-2002",0
"172","GSL-S","GSL-S-8-2004",1
"173","GSL-S","GSL-S-8-2005",0
"174","GSL-S","GSL-S-8-2006",4
"175","GSL-S","GSL-S-8-2007",1
"176","GSL-S","GSL-S-8-2008",3
"177","GSL-S","GSL-S-8-2009",1
"178","GSL-S","GSL-S-8-2010",3
"179","GSL-S","GSL-S-8-2011",2
"180","GSL-S","GSL-S-8-2012",7
"181","GSL-S","GSL-S-8-2013",6
"182","GSL-S","GSL-S-8-2014",3
"183","GSL-S","GSL-S-8-2015",1
"184","GSL-S","GSL-S-8-2016",3
"185","GSL-S","GSL-S-8-2017",3
"186","GSL-S","GSL-S-8-2018",1
"187","GSL-S","GSL-S-8-2019",0
"188","IE-IGFS","IE-IGFS-10-2003",3
"189","IE-IGFS","IE-IGFS-10-2004",1
"190","IE-IGFS","IE-IGFS-10-2005",1
"191","IE-IGFS","IE-IGFS-10-2006",2
"192","IE-IGFS","IE-IGFS-10-2007",4
"193","IE-IGFS","IE-IGFS-10-2008",1
"194","IE-IGFS","IE-IGFS-10-2009",2
"195","IE-IGFS","IE-IGFS-10-2010",1
"196","IE-IGFS","IE-IGFS-10-2011",0
"197","IE-IGFS","IE-IGFS-10-2012",0
"198","IE-IGFS","IE-IGFS-10-2013",1
"199","IE-IGFS","IE-IGFS-10-2014",2
"200","IE-IGFS","IE-IGFS-10-2015",0
"201","IE-IGFS","IE-IGFS-10-2016",1
"202","IE-IGFS","IE-IGFS-10-2017",0
"203","IE-IGFS","IE-IGFS-10-2018",3
"204","IE-IGFS","IE-IGFS-10-2019",0
"205","NEUS","NEUS-9-1983",4
"206","NEUS","NEUS-9-1984",2
"207","NEUS","NEUS-9-1985",4
"208","NEUS","NEUS-9-1986",3
"209","NEUS","NEUS-9-1987",0
"210","NEUS","NEUS-9-1988",0
"211","NEUS","NEUS-9-1989",0
"212","NEUS","NEUS-9-1990",2
"213","NEUS","NEUS-9-1991",4
"214","NEUS","NEUS-9-1992",0
"215","NEUS","NEUS-9-1993",1
"216","NEUS","NEUS-9-1994",1
"217","NEUS","NEUS-9-1995",0
"218","NEUS","NEUS-9-1996",0
"219","NEUS","NEUS-9-1997",0
"220","NEUS","NEUS-9-1998",0
"221","NEUS","NEUS-9-1999",0
"222","NEUS","NEUS-9-2000",2
"223","NEUS","NEUS-9-2001",0
"224","NEUS","NEUS-9-2002",2
"225","NEUS","NEUS-9-2003",0
"226","NEUS","NEUS-9-2004",0
"227","NEUS","NEUS-9-2005",0
"228","NEUS","NEUS-9-2006",0
"229","NEUS","NEUS-9-2007",1
"230","NEUS","NEUS-9-2008",1
"231","NEUS","NEUS-9-2009",1
"232","NEUS","NEUS-9-2010",2
"233","NEUS","NEUS-9-2011",1
"234","NEUS","NEUS-9-2012",5
"235","NEUS","NEUS-9-2013",0
"236","NEUS","NEUS-9-2014",0
"237","NEUS","NEUS-9-2015",3
"238","NEUS","NEUS-9-2016",7
"239","NEUS","NEUS-9-2017",0
"240","NEUS","NEUS-9-2018",3
"241","NEUS","NEUS-9-2019",3
"242","NIGFS","NIGFS-10-2009",0
"243","NIGFS","NIGFS-10-2010",0
"244","NIGFS","NIGFS-10-2011",0
"245","NIGFS","NIGFS-10-2012",0
"246","NIGFS","NIGFS-10-2013",0
"247","NIGFS","NIGFS-10-2014",1
"248","NIGFS","NIGFS-10-2015",0
"249","NIGFS","NIGFS-10-2016",1
"250","NIGFS","NIGFS-10-2017",1
"251","NIGFS","NIGFS-10-2018",1
"252","NIGFS","NIGFS-10-2019",0
"253","NS-IBTS","NS-IBTS-1-1983",2
"254","NS-IBTS","NS-IBTS-1-1984",0
"255","NS-IBTS","NS-IBTS-1-1985",1
"256","NS-IBTS","NS-IBTS-1-1986",0
"257","NS-IBTS","NS-IBTS-1-1987",0
"258","NS-IBTS","NS-IBTS-1-1988",0
"259","NS-IBTS","NS-IBTS-1-1989",0
"260","NS-IBTS","NS-IBTS-1-1990",3
"261","NS-IBTS","NS-IBTS-1-1991",3
"262","NS-IBTS","NS-IBTS-1-1992",0
"263","NS-IBTS","NS-IBTS-1-1993",3
"264","NS-IBTS","NS-IBTS-1-1994",0
"265","NS-IBTS","NS-IBTS-1-1995",1
"266","NS-IBTS","NS-IBTS-1-1996",2
"267","NS-IBTS","NS-IBTS-1-1997",0
"268","NS-IBTS","NS-IBTS-1-1998",2
"269","NS-IBTS","NS-IBTS-1-1999",1
"270","NS-IBTS","NS-IBTS-1-2000",2
"271","NS-IBTS","NS-IBTS-1-2001",1
"272","NS-IBTS","NS-IBTS-1-2002",0
"273","NS-IBTS","NS-IBTS-1-2003",4
"274","NS-IBTS","NS-IBTS-1-2004",3
"275","NS-IBTS","NS-IBTS-1-2005",1
"276","NS-IBTS","NS-IBTS-1-2006",0
"277","NS-IBTS","NS-IBTS-1-2007",3
"278","NS-IBTS","NS-IBTS-1-2008",5
"279","NS-IBTS","NS-IBTS-1-2009",3
"280","NS-IBTS","NS-IBTS-1-2010",1
"281","NS-IBTS","NS-IBTS-1-2011",0
"282","NS-IBTS","NS-IBTS-1-2012",0
"283","NS-IBTS","NS-IBTS-1-2013",0
"284","NS-IBTS","NS-IBTS-1-2014",0
"285","NS-IBTS","NS-IBTS-1-2015",2
"286","NS-IBTS","NS-IBTS-1-2016",0
"287","NS-IBTS","NS-IBTS-1-2017",1
"288","NS-IBTS","NS-IBTS-1-2018",0
"289","NS-IBTS","NS-IBTS-1-2019",3
"290","Nor-BTS","Nor-BTS-8-1983",4
"291","Nor-BTS","Nor-BTS-8-1984",1
"292","Nor-BTS","Nor-BTS-8-1985",3
"293","Nor-BTS","Nor-BTS-8-1986",1
"294","Nor-BTS","Nor-BTS-8-1987",0
"295","Nor-BTS","Nor-BTS-8-1988",0
"296","Nor-BTS","Nor-BTS-8-1989",0
"297","Nor-BTS","Nor-BTS-8-1990",4
"298","Nor-BTS","Nor-BTS-8-1991",2
"299","Nor-BTS","Nor-BTS-8-1992",2
"300","Nor-BTS","Nor-BTS-8-1993",0
"301","Nor-BTS","Nor-BTS-8-1994",0
"302","Nor-BTS","Nor-BTS-8-1995",0
"303","Nor-BTS","Nor-BTS-8-1996",0
"304","Nor-BTS","Nor-BTS-8-1997",0
"305","Nor-BTS","Nor-BTS-8-1998",0
"306","Nor-BTS","Nor-BTS-8-1999",1
"307","Nor-BTS","Nor-BTS-8-2000",0
"308","PT-IBTS","PT-IBTS-9-2005",1
"309","PT-IBTS","PT-IBTS-9-2006",2
"310","PT-IBTS","PT-IBTS-9-2007",2
"311","PT-IBTS","PT-IBTS-9-2008",0
"312","PT-IBTS","PT-IBTS-9-2009",1
"313","PT-IBTS","PT-IBTS-9-2010",3
"314","PT-IBTS","PT-IBTS-9-2011",2
"315","PT-IBTS","PT-IBTS-9-2013",0
"316","PT-IBTS","PT-IBTS-9-2014",0
"317","PT-IBTS","PT-IBTS-9-2015",2
"318","PT-IBTS","PT-IBTS-9-2016",1
"319","PT-IBTS","PT-IBTS-9-2017",1
"320","SCS","SCS-6-1983",5
"321","SCS","SCS-6-1984",2
"322","SCS","SCS-6-1985",1
"323","SCS","SCS-6-1986",0
"324","SCS","SCS-6-1987",0
"325","SCS","SCS-6-1988",0
"326","SCS","SCS-6-1989",0
"327","SCS","SCS-6-1990",1
"328","SCS","SCS-6-1991",2
"329","SCS","SCS-6-1992",0
"330","SCS","SCS-6-1993",0
"331","SCS","SCS-6-1994",0
"332","SCS","SCS-6-1995",1
"333","SCS","SCS-6-1996",0
"334","SCS","SCS-6-1997",0
"335","SCS","SCS-6-1998",0
"336","SCS","SCS-6-1999",1
"337","SCS","SCS-6-2000",4
"338","SCS","SCS-6-2001",0
"339","SCS","SCS-6-2002",0
"340","SCS","SCS-6-2003",1
"341","SCS","SCS-6-2004",1
"342","SCS","SCS-6-2005",0
"343","SCS","SCS-6-2006",1
"344","SCS","SCS-6-2007",0
"345","SCS","SCS-6-2008",0
"346","SCS","SCS-6-2009",0
"347","SCS","SCS-6-2010",1
"348","SCS","SCS-6-2011",1
"349","SCS","SCS-6-2012",2
"350","SCS","SCS-6-2013",7
"351","SCS","SCS-6-2014",1
"352","SCS","SCS-6-2015",1
"353","SCS","SCS-6-2016",2
"354","SCS","SCS-6-2017",1
"355","SEUS","SEUS-4-1990",1
"356","SEUS","SEUS-4-1991",3
"357","SEUS","SEUS-4-1992",0
"358","SEUS","SEUS-4-1993",1
"359","SEUS","SEUS-4-1994",1
"360","SEUS","SEUS-4-1995",0
"361","SEUS","SEUS-4-1996",0
"362","SEUS","SEUS-4-1997",1
"363","SEUS","SEUS-4-1998",0
"364","SEUS","SEUS-4-1999",1
"365","SEUS","SEUS-4-2000",1
"366","SEUS","SEUS-4-2001",0
"367","SEUS","SEUS-4-2002",2
"368","SEUS","SEUS-4-2003",1
"369","SEUS","SEUS-4-2004",0
"370","SEUS","SEUS-4-2005",0
"371","SEUS","SEUS-4-2006",0
"372","SEUS","SEUS-4-2007",0
"373","SEUS","SEUS-4-2008",1
"374","SEUS","SEUS-4-2009",0
"375","SEUS","SEUS-4-2010",0
"376","SEUS","SEUS-4-2011",1
"377","SEUS","SEUS-4-2012",1
"378","SEUS","SEUS-4-2013",1
"379","SEUS","SEUS-4-2014",0
"380","SEUS","SEUS-4-2015",0
"381","SEUS","SEUS-4-2016",2
"382","SEUS","SEUS-4-2017",2
"383","SEUS","SEUS-4-2018",2
"384","SEUS","SEUS-4-2019",4
"385","SWC-IBTS","SWC-IBTS-2-1990",3
"386","SWC-IBTS","SWC-IBTS-2-1991",2
"387","SWC-IBTS","SWC-IBTS-2-1992",1
"388","SWC-IBTS","SWC-IBTS-2-1993",2
"389","SWC-IBTS","SWC-IBTS-2-1994",0
"390","SWC-IBTS","SWC-IBTS-2-1995",0
"391","SWC-IBTS","SWC-IBTS-2-1996",4
"392","SWC-IBTS","SWC-IBTS-2-1997",0
"393","SWC-IBTS","SWC-IBTS-2-1998",3
"394","SWC-IBTS","SWC-IBTS-2-1999",3
"395","SWC-IBTS","SWC-IBTS-2-2000",1
"396","SWC-IBTS","SWC-IBTS-2-2001",1
"397","SWC-IBTS","SWC-IBTS-2-2002",0
"398","SWC-IBTS","SWC-IBTS-2-2003",2
"399","SWC-IBTS","SWC-IBTS-2-2004",4
"400","SWC-IBTS","SWC-IBTS-2-2005",1
"401","SWC-IBTS","SWC-IBTS-2-2006",0
"402","SWC-IBTS","SWC-IBTS-2-2007",3
"403","SWC-IBTS","SWC-IBTS-2-2008",2
