"","survey","ref_yr","n_mhw"
"1","BITS","BITS-2-2001",1
"2","BITS","BITS-2-2002",1
"3","BITS","BITS-2-2003",2
"4","BITS","BITS-2-2004",0
"5","BITS","BITS-2-2005",0
"6","BITS","BITS-2-2006",0
"7","BITS","BITS-2-2007",1
"8","BITS","BITS-2-2008",5
"9","BITS","BITS-2-2009",2
"10","BITS","BITS-2-2010",4
"11","BITS","BITS-2-2011",0
"12","BITS","BITS-2-2012",0
"13","BITS","BITS-2-2013",0
"14","BITS","BITS-2-2014",0
"15","BITS","BITS-2-2015",3
"16","BITS","BITS-2-2016",0
"17","BITS","BITS-2-2017",1
"18","BITS","BITS-2-2018",0
"19","BITS","BITS-2-2019",0
"20","DFO-QCS","DFO-QCS-7-2003",1
"21","DFO-QCS","DFO-QCS-7-2004",0
"22","DFO-QCS","DFO-QCS-7-2005",0
"23","DFO-QCS","DFO-QCS-7-2007",0
"24","DFO-QCS","DFO-QCS-7-2009",0
"25","DFO-QCS","DFO-QCS-7-2011",0
"26","DFO-QCS","DFO-QCS-7-2013",0
"27","DFO-QCS","DFO-QCS-7-2015",1
"28","DFO-QCS","DFO-QCS-7-2017",2
"29","DFO-QCS","DFO-QCS-7-2019",2
"30","EBS","EBS-6-1994",0
"31","EBS","EBS-6-1995",0
"32","EBS","EBS-6-1996",0
"33","EBS","EBS-6-1997",0
"34","EBS","EBS-6-1998",0
"35","EBS","EBS-6-1999",0
"36","EBS","EBS-6-2000",0
"37","EBS","EBS-6-2001",1
"38","EBS","EBS-6-2002",0
"39","EBS","EBS-6-2003",2
"40","EBS","EBS-6-2004",3
"41","EBS","EBS-6-2005",0
"42","EBS","EBS-6-2006",1
"43","EBS","EBS-6-2007",0
"44","EBS","EBS-6-2008",0
"45","EBS","EBS-6-2009",0
"46","EBS","EBS-6-2010",0
"47","EBS","EBS-6-2011",0
"48","EBS","EBS-6-2012",0
"49","EBS","EBS-6-2013",0
"50","EBS","EBS-6-2014",0
"51","EBS","EBS-6-2015",1
"52","EBS","EBS-6-2016",2
"53","EBS","EBS-6-2017",3
"54","EBS","EBS-6-2018",1
"55","EBS","EBS-6-2019",1
"56","EVHOE","EVHOE-10-1997",0
"57","EVHOE","EVHOE-10-1998",4
"58","EVHOE","EVHOE-10-1999",0
"59","EVHOE","EVHOE-10-2000",1
"60","EVHOE","EVHOE-10-2001",0
"61","EVHOE","EVHOE-10-2002",0
"62","EVHOE","EVHOE-10-2003",1
"63","EVHOE","EVHOE-10-2004",0
"64","EVHOE","EVHOE-10-2005",0
"65","EVHOE","EVHOE-10-2006",0
"66","EVHOE","EVHOE-10-2007",2
"67","EVHOE","EVHOE-10-2008",0
"68","EVHOE","EVHOE-10-2009",0
"69","EVHOE","EVHOE-10-2010",0
"70","EVHOE","EVHOE-10-2011",0
"71","EVHOE","EVHOE-10-2012",0
"72","EVHOE","EVHOE-10-2013",1
"73","EVHOE","EVHOE-10-2014",0
"74","EVHOE","EVHOE-10-2015",0
"75","EVHOE","EVHOE-10-2016",2
"76","EVHOE","EVHOE-10-2018",0
"77","EVHOE","EVHOE-10-2019",0
"78","FR-CGFS","FR-CGFS-10-1998",1
"79","FR-CGFS","FR-CGFS-10-1999",0
"80","FR-CGFS","FR-CGFS-10-2000",0
"81","FR-CGFS","FR-CGFS-10-2001",0
"82","FR-CGFS","FR-CGFS-10-2002",5
"83","FR-CGFS","FR-CGFS-10-2003",0
"84","FR-CGFS","FR-CGFS-10-2004",0
"85","FR-CGFS","FR-CGFS-10-2005",0
"86","FR-CGFS","FR-CGFS-10-2006",1
"87","FR-CGFS","FR-CGFS-10-2007",2
"88","FR-CGFS","FR-CGFS-10-2008",1
"89","FR-CGFS","FR-CGFS-10-2009",0
"90","FR-CGFS","FR-CGFS-10-2010",0
"91","FR-CGFS","FR-CGFS-10-2011",0
"92","FR-CGFS","FR-CGFS-10-2012",1
"93","FR-CGFS","FR-CGFS-10-2013",0
"94","FR-CGFS","FR-CGFS-10-2014",1
"95","FR-CGFS","FR-CGFS-10-2015",1
"96","FR-CGFS","FR-CGFS-10-2016",1
"97","FR-CGFS","FR-CGFS-10-2017",1
"98","FR-CGFS","FR-CGFS-10-2018",0
"99","FR-CGFS","FR-CGFS-10-2019",0
"100","GMEX","GMEX-6-1994",0
"101","GMEX","GMEX-6-1995",0
"102","GMEX","GMEX-6-1996",0
"103","GMEX","GMEX-6-1997",0
"104","GMEX","GMEX-6-1998",1
"105","GMEX","GMEX-6-1999",2
"106","GMEX","GMEX-6-2000",0
"107","GMEX","GMEX-6-2001",0
"108","GMEX","GMEX-6-2002",0
"109","GMEX","GMEX-6-2003",1
"110","GMEX","GMEX-6-2004",0
"111","GMEX","GMEX-6-2005",0
"112","GMEX","GMEX-6-2006",0
"113","GMEX","GMEX-6-2007",0
"114","GMEX","GMEX-6-2008",0
"115","GMEX","GMEX-6-2009",0
"116","GMEX","GMEX-6-2010",0
"117","GMEX","GMEX-6-2011",0
"118","GMEX","GMEX-6-2012",0
"119","GMEX","GMEX-6-2013",0
"120","GMEX","GMEX-6-2014",0
"121","GMEX","GMEX-6-2015",2
"122","GMEX","GMEX-6-2016",1
"123","GMEX","GMEX-6-2017",2
"124","GMEX","GMEX-6-2018",0
"125","GMEX","GMEX-6-2019",1
