ME,Year,Catch
Eastern Bering Sea,1950,90301.48949
Eastern Bering Sea,1951,80616.65811
Eastern Bering Sea,1952,72447.21221
Eastern Bering Sea,1953,69492.09468
Eastern Bering Sea,1954,81635.07032
Eastern Bering Sea,1955,88597.15257
Eastern Bering Sea,1956,115130.4584
Eastern Bering Sea,1957,110962.3785
Eastern Bering Sea,1958,118424.7178
Eastern Bering Sea,1959,216314.7411
Eastern Bering Sea,1960,541202.9632
Eastern Bering Sea,1961,669666.1998
Eastern Bering Sea,1962,730626.2849
Eastern Bering Sea,1963,697084.0818
Eastern Bering Sea,1964,976636.4863
Eastern Bering Sea,1965,963500.4881
Eastern Bering Sea,1966,995203.0197
Eastern Bering Sea,1967,1210874.177
Eastern Bering Sea,1968,1344598.761
Eastern Bering Sea,1969,1528277.205
Eastern Bering Sea,1970,2046187.947
Eastern Bering Sea,1971,2392870.056
Eastern Bering Sea,1972,2619609.713
Eastern Bering Sea,1973,2162874.656
Eastern Bering Sea,1974,2210053.62
Eastern Bering Sea,1975,1844663.148
Eastern Bering Sea,1976,1882253.705
Eastern Bering Sea,1977,1475214.46
Eastern Bering Sea,1978,1612684.726
Eastern Bering Sea,1979,1549414.268
Eastern Bering Sea,1980,1649605.301
Eastern Bering Sea,1981,1732752.586
Eastern Bering Sea,1982,1601984.164
Eastern Bering Sea,1983,1690645.229
Eastern Bering Sea,1984,1877489.226
Eastern Bering Sea,1985,1780378.423
Eastern Bering Sea,1986,1455163.677
Eastern Bering Sea,1987,1047964.38
Eastern Bering Sea,1988,1115090.151
Eastern Bering Sea,1989,1063263.39
Eastern Bering Sea,1990,1261492.328
Eastern Bering Sea,1991,1153320.783
Eastern Bering Sea,1992,1301965.975
Eastern Bering Sea,1993,1207503.939
Eastern Bering Sea,1994,1089396.259
Eastern Bering Sea,1995,1104819.856
Eastern Bering Sea,1996,1145902.387
Eastern Bering Sea,1997,1120519.944
Eastern Bering Sea,1998,1051293.242
Eastern Bering Sea,1999,958347.3842
Eastern Bering Sea,2000,919278.4898
Eastern Bering Sea,2001,997243.9203
Eastern Bering Sea,2002,943207.5331
Eastern Bering Sea,2003,1026454.506
Eastern Bering Sea,2004,988515.7584
Eastern Bering Sea,2005,1039656.409
Eastern Bering Sea,2006,1010856.166
Eastern Bering Sea,2007,1015141.738
Eastern Bering Sea,2008,872302.0101
Eastern Bering Sea,2009,809267.3823
Eastern Bering Sea,2010,858037.0974
Eastern Bering Sea,2011,1015777.555
Eastern Bering Sea,2012,1021164.199
Eastern Bering Sea,2013,1080167.916
Eastern Bering Sea,2014,1085681.589
Eastern Bering Sea,2015,1128638.903
Eastern Bering Sea,2016,1078910.211
Eastern Bering Sea,2017,1131745.369
Eastern Bering Sea,2018,1433617.578
Eastern Bering Sea,2019,1479036.763
North Sea,1950,1532679.626
North Sea,1951,1809519.412
North Sea,1952,1613912.628
North Sea,1953,1994807.665
North Sea,1954,1989719.837
North Sea,1955,1715469.717
North Sea,1956,1760014.166
North Sea,1957,2153974.805
