;baltic_sea;british_columbia;eastern_bering_sea;evhoe;fr_cgfs;gulf_of_mexico;gulf_of_alaska;gsl_s;ie_igfs;neus;nigfs;nor_bts;ns_ibts;pt_ibts;scotian_shelf;southeast;swc_ibts;west_coast
01. Jan 93;;;;;;;;;;;;;;;;0.581882362;;
02. Jan 93;;;;;;;;;;;;;;;;0.657641715;;
03. Jan 93;;;;;;;;;;;;;;;;0.378453135;;
04. Jan 93;;;;;;;;;;;;;;;;0.413387611;;
05. Jan 93;;;;;;;;;;;;;;;;0.767894199;;
06. Jan 93;;;;;;;;;;;;;;;;1.187505987;;
07. Jan 93;;;;;;;;;;;;;;;;1.462833575;;
08. Jan 93;;;;;;;;;;;;;;;;1.715692919;;
09. Jan 93;;;;;;;;;;;;;;;;2.061368117;;
10. Jan 93;;;;;;;;;;;;;;;;2.147542811;;
11. Jan 93;;;;;;;;;;;;;;;;1.973499077;;
12. Jan 93;;;;;;;;;;;;;;;;1.95647079;;
13. Jan 93;;;;;;;0.035573266;;;;;;;;;2.180476685;;
14. Jan 93;;;;;;;;;;;;;;;;2.410567798;;
15. Jan 93;;;;;;;;;;;;;;;;2.28976473;;
16. Jan 93;;;;;;;;;;;;;;;;2.234912253;;
17. Jan 93;;;;;;;;;;;;;;;;1.747070286;;
18. Jan 93;;;;;;;;;;;;;;;;1.57103259;;
19. Jan 93;;;;;;;;;;;;;;;;1.707184342;;
20. Jan 93;;;;;;;;;;;;;;;;1.497051369;;
21. Jan 93;;;;;;;0.005918059;;;;;;;;;1.423686693;;
22. Jan 93;;;;;;;0.06287428;;;;;;;;;1.593608045;;
23. Jan 93;;;;;;;0.099821507;;;;;;;;;1.784247823;;
24. Jan 93;;;;;;;0.125508552;;;;;;;;;1.913686738;;
25. Jan 93;;;;;;;0.017723699;;;;;;;;;2.029570263;;
26. Jan 93;;;;;;;;;;;;;;;;1.404131739;;
27. Jan 93;;;;;;;;;;;;;;;;0.683858133;;
28. Jan 93;;;;;;;;;;;;;;;;0.332728257;;
29. Jan 93;;;;;;;;;;;;;;;;0.450110144;;
30. Jan 93;;;;;;;;;;;;;;;;0.419825774;;
31. Jan 93;;;;;;;;;;;;;;;;0.348571576;;
01. Feb 93;;;;;;;;;;;;;;;;0.335932825;;
02. Feb 93;;;;0.003582363;;;;;;;;;;;;0.09012488;;
03. Feb 93;;;;0.005660297;;;;;;;;;;;;;;
04. Feb 93;;;;0.013044882;;;;;;;;;;;;;;
05. Feb 93;;;;0.026091263;;;;;;;;;;;;;;
06. Feb 93;;;;0.041233331;;;;;;;;;;;;;;
07. Feb 93;;;;0.057524167;;;;;;;;;;;;0.093564147;;
08. Feb 93;;;;0.075107592;;;;;;;;;;;;0.256021631;;
09. Feb 93;;;;0.089818408;;;;;;;;;;;;0.389089786;;
10. Feb 93;;;;0.097234624;;;;;;;;;;;;0.417743175;;
11. Feb 93;;;;0.079911766;;;;;;;;;;;;0.574845702;;
12. Feb 93;;;;0.058530999;;;;;;;;;;;;0.842833506;;
13. Feb 93;;;;0.040340923;;;;;;;;;;;;1.104495285;;
14. Feb 93;;;;0.021584532;;;;;;;;;;;;0.913540874;;
15. Feb 93;;;;0.004583154;;;;;;;;;;;;0.702326513;;
16. Feb 93;;;;;;;;;;;;;;;;0.800629849;;
17. Feb 93;;;;;;;;;;;;;;;;1.122294671;;
18. Feb 93;;;;;;;;;;;;;;;;1.035949883;;
19. Feb 93;;;;;;;;;;;;;;;;0.32850802;;
20. Feb 93;;;;;;;;;;;;;;;;;;
21. Feb 93;;;;;;;;;;;;;;;;;;
22. Feb 93;;;;;;;;;;;;;;;;0.097731901;;
23. Feb 93;;;;;;;;;;;;;;;;0.168803605;;
24. Feb 93;;;;;;;;;;;;;;;;;;
25. Feb 93;;;;;;;;;;;;;;;;;;
26. Feb 93;;;;;;;;;;;;;;;;;;
27. Feb 93;;;;;;;;;;;;;;;;;;
28. Feb 93;;;;;;;;;;;;;;;;;;
01-MAR-1993;;;;;;;;;;;;;;;;;;
02-MAR-1993;;;;;;;;;;;;;;;;;;
03-MAR-1993;;;;;;;;;;;;;;;;;;
04-MAR-1993;;;;;;;;;;;;;;;;;;
05-MAR-1993;;;;;;;;;;;;;;;;;;
06-MAR-1993;;;;;;;;;;;;;;;;;;
07-MAR-1993;;;;;;;;;;;;;;;;;;
08-MAR-1993;;;;;;;;;;;;;;;;;;
09-MAR-1993;;;;;;;;;;;;;;;;;;
10-MAR-1993;;;;;;;;;;;;;;;;;;
11-MAR-1993;;;;;;;;;;;;;;;;;;
