;al;bits;dfo_nf;dfo_qcs;ebs;evhoe;fr_cgfs;gmex;goa;gsl_n;gsl_s;ice_gfs;ie_igfs;neus;nigfs;nor_bts;ns_ibts;nz;pt_ibts;rocall;s_georg;scs;seus;swc_ibts;wcann;wctri
01. Jan 82;;;;;;;;;;;;;;;;;;0.134523894;;;;;;;;
02. Jan 82;;;;;;;;;;;;;;;;;;0.153517254;;;;;;;;
03. Jan 82;;;;;;;;;;0.110821267;;;;;;;;0.187861454;;;;;;;;
04. Jan 82;;;;;;;;;;0.11350154;0.263699225;;;;;;;0.452524745;;;;;;;;
05. Jan 82;;;;;;;;;;;0.347237317;;;;;;;0.726216715;;;;;;;;
06. Jan 82;;;;;;;;;;;0.366594338;;;;;;;0.848066824;;;;;;;;
07. Jan 82;;;;;;;;;;;0.322733866;;;;;;;0.736110543;;;;;;;;
08. Jan 82;;;;;;;;;;;0.105115568;;;;;;;0.58990051;;;;;;;;
09. Jan 82;;;;;;;;;;;0.117947885;;;;;;;0.356432814;;;;;;;;
10. Jan 82;;;;;;;;;;;0.083971156;;;;;;;0.416004794;;;;;;;;
11. Jan 82;;;;;;;;;;;;;;;;;;0.406724834;;;;;;;;
12. Jan 82;;;;;;;;;;;;;;;;;;0.345767533;;;;;;;;
13. Jan 82;;;;;;;;;;;;;;;;;;0.371673283;;;;;;;;
14. Jan 82;;;;;;;;;;;;;;;;;;0.327098086;;;;;;;;
15. Jan 82;;;;;;;;;;;;;;;;;;0.330131646;;;;;;;;
16. Jan 82;;;;;;;;;;;;;;;;;;0.251393685;;;;;;;;
17. Jan 82;;;;;;;;;;;;;;;;;;0.113652297;;;0.0149181;;;;;
18. Jan 82;;;;;;;;;;;;;;;;;;0.033468524;;;;;;;;
19. Jan 82;;;;;;;;;;;;;;;;;;;;;;;;;;
20. Jan 82;;;;;;;;;;;;;;;;;;;;;;;;;;
21. Jan 82;;;;;;;;;;;;;;;;;;;;;;;;;;
22. Jan 82;;;;;;;;;;;;;;;;;;;;;;;;;;
23. Jan 82;;;;;;;;;;;;;;;;;;;;;;;;;;
24. Jan 82;;;;;;;;;;;;;;;;;;;;;;;;;;
25. Jan 82;;;;;;;;;;;;;;;;;;;;;;;;;;
26. Jan 82;;;;;;;;;;;;;;;;;;;;;;;;;;
27. Jan 82;;;;;;;;;;;;;;;;;;;;;;;;;;
28. Jan 82;;;;;;;;;;;;;;;;;;;;;;;;;;
29. Jan 82;;;;;;;;;;;;;;;;;;;;;;;;;;
30. Jan 82;0.049852497;;;;;;;;;;;;;;;;;;;;0.008836762;;;;;
31. Jan 82;0.030913051;;;;;;;;;;;;;;;;;;;;0.403474502;;;;;
01. Feb 82;;;;;;;;;;;;;;;;;;;;;0.375909637;;;;;
02. Feb 82;;;;;;;;;;;;;;;;;;;;;0.297080633;;;;;
03. Feb 82;;;;;;;;;;;;;;;;;;;;;0.32065439;;;;;
04. Feb 82;;;;;;;;;;;;;;;;;;;0.16309458;;;;;;;
05. Feb 82;;;;;;;;;;;;;;;;;;;0.225441344;;;;;;;
06. Feb 82;;;;;;;;;;;;;;;;;;;0.134386058;;;;;;;
07. Feb 82;;;;;;;;;;;;;;;;;;;;;;;;;;
08. Feb 82;;;;;;;;;;;;;;;;;;;;;;;;;;
09. Feb 82;;;;;;;;;;;;;;;;;;;;;;;;;;
10. Feb 82;;;;;;;;;;;;;;;;;;;;;;;;;;
11. Feb 82;;;;;;;;;;;;;;;;;;;;;;;;;;
12. Feb 82;0.003551859;;;;;;;;;;;;;;;;;;;;;;;;;
13. Feb 82;0.077580296;;;;;;;;;;;;;;;;;;;;;;;;;
14. Feb 82;;;;;;;;;;;;;;;;;;;;;;;;;;
15. Feb 82;;;;;;;;;;;;;;;;;;;;;;;;;;
16. Feb 82;;;;;;;;;;;;;;;;;;;;;;;;;;
17. Feb 82;;;;;;;;;;;;;;;;;;;;;;;;;;
18. Feb 82;;;;;;;;;;;;;;;;;;;;;;;;;;
19. Feb 82;;;;;;;;;;;;;;;;;;;;;;;;;;
20. Feb 82;;;;;;;;;;;;;;;;;;;;;;;;;;
21. Feb 82;;;;;;;;;;;;;;;;;;;;;;;;;;
