;al;bits;dfo_nf;dfo_qcs;ebs;evhoe;fr_cgfs;gmex;goa;gsl_n;gsl_s;ice_gfs;ie_igfs;neus;nigfs;nor_bts;ns_ibts;nz;pt_ibts;rocall;s_georg;scs;seus;swc_ibts;wcann;wctri
16. Jan 80;;;;;;;;;;;;;;;;;;;;;;;;;;
15. Feb 80;;;;0.002053897;;;;;;;;;;;;;;;;;;;;;;
16-MAR-1980;;;;;;;;;;;;;;;;;;;;;;;;;;
15. Apr 80;;;;;;;;;;;;;;;;;;;;;;;;;;
15-MAY-1980;;;;;;;;;;;;;;;;;;;;;;;;;;
14. Jun 80;;;;;;;;;;;;;;;;;;;;;;;;;0.006124649;
16. Jul 80;;;;;;0.217369852;;;;;;;;;;;;;;;;;;;;
18. Aug 80;;;;;;0.0727047;;;;;;;;;;;;;;;0.000876088;;;;;
17. Sep 80;;;;;;;;;;0.183659644;;;;;;;;;;;0.004980689;;;;;
17-OCT-1980;;;;;;;;;;0.363097506;1.015857997;;;;;;;;;;0.012446806;0.214272595;;;;
16. Nov 80;;;;;;;;;;0.362551312;0.504316466;0.27933768;;;;;;;;;;;;;;
16-DEC-1980;;;;;;;;;;0.114317511;;0.141803225;;;;;;;;;0.048429973;;;;;
15. Jan 81;;;;;;;;;;0.002426371;;;;;;;;;;;;;;;;
14. Feb 81;;;;;;;;;;;;;;;;;;;;;;;;;;
16-MAR-1981;;;;;;;;;;;;;;;;;;;;;;;;;;
15. Apr 81;;;;;;;;0.064533434;;;;;;;;;;;;;;;;;;
15-MAY-1981;;;;;;;;;;;;;;;;;;;;;;;;;;
14. Jun 81;;;;;;;;;;;;;;;;;;;;;;;;;;
16. Jul 81;;;;;;;;;;;0.329712864;;;;;;;;;;;;;;;
18. Aug 81;;;;;0.056998626;;;;;;0.729212408;;;;;;;;;;;0.014263598;;;;
17. Sep 81;;;;;0.738679062;;;;;;0.409573423;;0.024351707;;0.104192187;;;;;;;0.066765578;;0.039536372;;
17-OCT-1981;;;;;0.500817482;;;;;;1.46009312;;;;;;;;;;;0.016371137;;;;0.060604521
16. Nov 81;;;;;;;;;;;0.963848445;;;;;;;;;;;;;;;
16-DEC-1981;;;;;;;;;;;;;;;;;;;;0.128065474;;;;;;
15. Jan 82;;;;;;;;;;;;;;;;;;;;0.14750597;;;;;;
14. Feb 82;;;;;;;;;;;;;;;;;0.109794949;;;;;;;;;
16-MAR-1982;;;;;;;;;;;;;;;;;;;;;;;;;;
15. Apr 82;;;;;;;;;;;;;;;;;;;;;;;;;;
15-MAY-1982;;;;;;;;;;;;;;;;;;;;;;;;;;
14. Jun 82;;;;;;;;;;;;;;;;;;;;;;;;;;
16. Jul 82;;;;;;;;;;;;;;;;;;;;;;;;;;
18. Aug 82;;;;;;;;;;;;;;;;;;;;;;;;0.017977786;0.000530048;
17. Sep 82;;;;;;;;;;;;;;;;;;;;;;;;;;
17-OCT-1982;;;;;;;;;;;;;;;;;;;;;;;;;;
16. Nov 82;;;;;;;;;;;;;;;;;;;;;;;;;;
16-DEC-1982;;;;;;;;;;;;;;;;;;;;;;;;;;
15. Jan 83;;;;;;;;;;;;;;;;;;;;0.131319674;;;;;;
14. Feb 83;;;;;;;;;;;;;;;;;;;;;;;;;;
16-MAR-1983;;;;0.0076073;;;;;;0.740293429;;;;;;;;;;;;;;;;
15. Apr 83;;;;;;;;;;0.683216483;;;;;;;;;;0.144570711;;;;;;
15-MAY-1983;0.000405656;;;;;;;;;0.080007337;;;;;;;;;;;;;;;;
14. Jun 83;;;;;;;;;;;;;;;;;;;;;;;;;;
16. Jul 83;;;;;;;;;;;;;;;;;;;;;;;;;;
18. Aug 83;;;;;;;;;0.000783496;;;;;;;;;;;;;;;;;
17. Sep 83;;;;;;;;;0.037573262;;0.616825776;;;;;0.053146868;;;;;;;;;;
17-OCT-1983;0.000517592;;;;;;;;;0.004305846;0.826506581;;;;;0.102712256;;;0.002104332;;;0.291462462;;;;
16. Nov 83;;;;;;0.001723367;;;;;0.329546352;;;;;0.120073848;;;0.01471405;;;0.087759099;;;;
16-DEC-1983;;;;;;;;;;;;;;;;;;;;;;;;;;
15. Jan 84;;;;;;;;;;;;;;;;;;;;;;;;;;
14. Feb 84;;;;;;;;;;;;;;;;;;;;;;;;;;
15-MAR-1984;;;;;;;;;;;;;;;;;;;;;;;;0.024433714;;
14. Apr 84;0.002323875;;;;;;;;;;;;;;;;;;;;;;;;;
16-MAY-1984;0.016930366;;;;;;;;;;;;;;;;;;;;;;;;;
18. Jun 84;;;;;;;;;;;;;;;;;;;;;;0.004892149;;;;
18. Jul 84;;;;;;;;;;;;;;;;;;;;;;0.119130872;;;;
17. Aug 84;;;;;;;;;;;0.209401487;;;;0.133759123;;;;;;;0.160253288;;;;
16. Sep 84;;;0.214762361;;;;;;;;0.06817263;;;;0.38510232;;;;;;;;;;;
16-OCT-1984;;;;;;;;;0.113743156;;1.152822064;;;;;;;;;;;;;;;
15. Nov 84;0.010818954;;;;;;;;0.109908668;;0.520197993;;;0.133485669;;;0.11810456;;;;;;;;;
15-DEC-1984;;;;;;;;;;;;;;0.328793414;;;;;;;;;;;;
16. Jan 85;;;;;;;;;;;;;;;;;;;;;;;;;;
15. Feb 85;;;;;;;;;;0.15381575;;;;;;;;;;;;0.013940282;;;;
15-MAR-1985;;;;;;;;;;0.284499116;0.01323944;;;;;;;;;;;0.123328954;;;;
14. Apr 85;;;;;;;;;;0.682692278;0.364077268;;;;;;;;;;;0.061926006;;;;
16-MAY-1985;;;;;;;;;;1.003863184;0.366790522;;;;;;;;;;;0.157578532;;;;
18. Jun 85;;;;;;;;;;;;;;;;;;;;;;;;;;
18. Jul 85;;;;;;;;;;;;;;;;;;;0.095505176;;;;;;;
17. Aug 85;;;;;;;;;;;;;;;;;;;0.100404074;;;;0.069257299;;;
16. Sep 85;;;;;;;;;;;;0.070589809;;;;;;;0.117931257;;;;0.01752047;;;
16-OCT-1985;;;;;;;;;;;;0.007116892;;0.034667952;;;;;;;;;;;;
15. Nov 85;;;;;;;;;;;1.078817044;0.051103448;;0.286576716;;;;;;;;;;;;
15-DEC-1985;;;;;;;;;;;;;;0.013426389;;;;;;;;;;;;
16. Jan 86;;;;;;;;;;;;;;;;;;;;;;;;;;
15. Feb 86;;;;;;;;;;0.34835981;;;;;;;;;;;;;;;;
15-MAR-1986;;;;;;;;;;1.16359819;0.762417856;;;;;;;;;;;0.017965884;;0.026501667;;
14. Apr 86;;;;;;;;;;0.873444604;0.831274014;;;;;;;;;;;0.195519828;;;;
16-MAY-1986;;;;;;;;;;0.560295967;;;;;;;;;;;;0.312997832;;;;
18. Jun 86;;;;;;;;;;0.015480308;;;0.228642742;;;;;;;;;;;;;
18. Jul 86;;0.247790427;;;;;;;;0.160711305;;;;;;;;;;;;0.461530426;;;;
17. Aug 86;;;;;;;;;;;;;;;;;;;;;;0.61933564;;;;
16. Sep 86;;;;;;;;;;;;;;;;;;;;;;0.282754502;;;;
16-OCT-1986;;;;;;;;;;;;;;;;;;;;;;0.300702123;;;;
15. Nov 86;;;;;;;;;;;;;;;;;;;;;;;;;;
15-DEC-1986;;;;;;;;;;;;;;;;;;;;;;;;;;
16. Jan 87;;;;;;;;;;;;;;;;;;;;;;;;;;
15. Feb 87;;;;;;;;;;;;;;;;;;;;;;;;;0.02103798;
15-MAR-1987;;;;;;;;;;;;;;;;;;;;;;;;;;
14. Apr 87;;;;;;;;;;;;;;;;;;;;;;;;;;
16-MAY-1987;;;;;;;;;;;;;;;;;;;;;;;;;;
18. Jun 87;;;;;;;;;;;;;;;;;;;;;;;;;;
18. Jul 87;;;;;;;;;;;0.009739639;;;;;;;;;;;;;;;
17. Aug 87;;;;;;;;;;;;;;;;;;;;;;;0.58209827;;;
16. Sep 87;;;;;;;;;;;;;;;;;;;;;;;0.682808915;;;
16-OCT-1987;;;;;;;;;;;;;;;;;;;;;;;;;;
15. Nov 87;;;;;;;;;;;;;;;;;;;;;;;;;;
15-DEC-1987;;;;0.080113308;;;;;;;;;;;;;;;;;;;;;;
16. Jan 88;;;;0.107316146;;;;;;;;;;;;;;;;;;;;;;
15. Feb 88;;;;;;;;;;;;;;;;;;;;;;;;;;
16-MAR-1988;;;;;;;;;;;;;;;;;;;;;;;;;;
18. Apr 88;;;;;;;;;;;;;;;;;;;;;;;;;;
18-MAY-1988;;;;;;;;;;;;;;;;;;;;;;;;;;
