;al;bits;dfo_nf;dfo_qcs;ebs;evhoe;fr_cgfs;gmex;goa;gsl_n;gsl_s;ice_gfs;ie_igfs;neus;nigfs;nor_bts;ns_ibts;nz;pt_ibts;rocall;s_georg;scs;seus;swc_ibts;wcann;wctri
16. Jan 80;;;;;;;;;;;;;;;;;;;;;;;;;;
15. Feb 80;;;;;;;;;;;;;;;;;;;;;;;;;;
16-MAR-1980;;;;;;;;;;;;0.080851232;;;;;;;;;;;;;;
15. Apr 80;;;;;;;;;;;;;;;;;;;;;;;;;;
15-MAY-1980;;;;;;;;;;;;;;;;;;;;;;;;;;
14. Jun 80;;;;;;;;;;;;;;;;;;;;;;;;;;
16. Jul 80;;;;;;;;;;;;;;;;;;;;;;;;;;
18. Aug 80;;;;;;;;;;;;;;;;;;;;;;;;;;
17. Sep 80;;;;;;;;;;;;0.381924742;;;;;;;;;;;;;;
17-OCT-1980;;;;;;;;;;;;;;;;;;;;;;;;;;
16. Nov 80;;;;;;;;;;;;;;;;;;;;;;;;;;
16-DEC-1980;;;;;;;;;;;;;;;;;;;;;;;;;;
15. Jan 81;;;;;;;;;;;;;;;;;;;;;;;;;0.023582293;
14. Feb 81;;;0.023750263;;;;;;;;;;;;;;;;;;;;;;0.343183442;
16-MAR-1981;;;0.356985239;;;;;;;;0.523298431;;;;;;;;;;;0.29197637;;;0.031817972;
15. Apr 81;;;;;0.383934929;;;;;0.190384584;1.12851906;;;;;;;;;0.027624572;;0.444036829;;;;
15-MAY-1981;;;0.427530973;;0.476110456;;;;;;0.840296743;;;;;;;;;;;0.088301163;;;;
14. Jun 81;;;0.563639677;;0.004539605;;;;;;;;;;;;;;;;;;;;;
16. Jul 81;0.104228824;;;;;;;;;;;;;;;;;;;;;;;;;
18. Aug 81;;;;;;;;;;;;;;;;;;;;;;;;;;
17. Sep 81;0.077970273;;;;;;;;;;;;;;;;;;;;;;;;;
17-OCT-1981;0.272040519;;;;;;;;;;;;;;;;;;;;;;;;;
16. Nov 81;;;0.097187997;;;;;;;;;;;;;;;;;;;;;;;
16-DEC-1981;;;0.540217635;;;;;;;0.514763885;0.301474051;;;;;;;;;;;0.197261841;;;;
15. Jan 82;;;;;;;;;;;;;;;;;;;;;;;;;;
14. Feb 82;;;;;;;;;;;;;;;;;;;;;;;;;;
16-MAR-1982;;;;;;;;0.093024365;;;;;;;;;;;;;;;;;;
15. Apr 82;;;;;;;;;;;;;;;;;;;;;;;;;;
15-MAY-1982;;;;;;;;;;;;;;;;;;;;;;;;;;
14. Jun 82;;;;;;;;;;;;;;;;;;;;;;;;;;
16. Jul 82;;;;;;;;;;;;;;;;;;;;;;;;;;
18. Aug 82;;;;;;;;;;;;;;;;;;;;;;;;;;
17. Sep 82;;;;;;;;;;;;;;;;;;;;;;;;;;
17-OCT-1982;;;;;;;;;;;;;;;;;;;;;;;;;;
16. Nov 82;;;;;;;;;;;;;;;;;;;;;;;;;;
16-DEC-1982;;;;;;;;;;;0.640557292;;;0.385926176;;;;;;;;;;;;
15. Jan 83;;0.479089533;;;;;;;;;;;;0.710791975;;;;;;;;0.088587648;;;;
14. Feb 83;;;;;;;;;;;;;;;;;;;;;;0.190094535;;;;
16-MAR-1983;;;;;;;;;;0.115053899;;;;;;;;;;;;0.332547952;;;;
15. Apr 83;;;;0.053014171;;;;;;0.191352997;0.300166961;;;;;;;;;;;0.072042012;;;;
15-MAY-1983;;;0.007354269;0.12076485;;;;;;;;;;;;;;;;;;;;;;
14. Jun 83;;;;;;;;;;;;;;;;;;;;;;;;;;
