family,genus,species,taxonomic.rank,taxon,LME,FAO,habitat,reference.habitat,feeding.mode,reference.feeding.mode,tl,level.tl,reference.tl,body.shape,fin.shape,AR,level.AR,reference.AR,offspring.size,level.offspring.size,reference.offspring.size,spawning.type,reference.spawning.type,age.maturity,level.age.maturity,reference.age.maturity,fecundity,level.fecundity,reference.fecundity,length.infinity,growth.coefficient,level.growth,reference.growth,length.max,level.length.max,reference.length.max,age.max,level.age.max,reference.age.max
Acanthuridae,Acanthurus,bahianus,S,Acanthurus bahianus,6,31,reef-associated,"FroesePauly2018, OBIS2018",herbivorous,FroesePauly2018,2.00,spe,FroesePauly2018,compressiform,truncate,2.43,spe,FroesePauly2018,0.68,gen,FroesePauly2018,non-guarder,FroesePauly2018,2.7,gen-ocean,FroesePauly2019,1055628,fam-ocean,FroesePauly2018,27,0.38,spe-FAO,FroesePauly2018,21,spe-FAO,FroesePauly2018,11.5,spe-FAO,FroesePauly2018
Acanthuridae,Acanthurus,chirurgus,S,Acanthurus chirurgus,5,31,reef-associated,"FroesePauly2018, OBIS2018",herbivorous,FroesePauly2018,2.09,spe,FroesePauly2018,short and/or deep,truncate,1.87,spe,FroesePauly2018,0.68,gen,FroesePauly2018,non-guarder,FroesePauly2018,2.7,gen-ocean,FroesePauly2019,1055628,fam-ocean,FroesePauly2018,34,0.36,spe-FAO,FroesePauly2018,35,spe-FAO,FroesePauly2018,13.0,spe-FAO,FroesePauly2018
Acanthuridae,Acanthurus,coeruleus,S,Acanthurus coeruleus,6,21,reef-associated,"FroesePauly2018, OBIS2018",herbivorous,FroesePauly2018,2.00,spe,FroesePauly2018,short and/or deep,truncate,3.49,spe,FroesePauly2018,0.68,gen,FroesePauly2018,non-guarder,FroesePauly2018,2.7,gen-ocean,FroesePauly2019,1055628,fam-ocean,FroesePauly2018,35,0.23,spe-ocean,FroesePauly2018,36,spe-ocean,FroesePauly2018,36.0,spe,FroesePauly2018
Acanthuridae,Acanthurus,coeruleus,S,Acanthurus coeruleus,6,31,reef-associated,"FroesePauly2018, OBIS2018",herbivorous,FroesePauly2018,2.00,spe,FroesePauly2018,short and/or deep,truncate,3.49,spe,FroesePauly2018,0.68,gen,FroesePauly2018,non-guarder,FroesePauly2018,2.7,gen-ocean,FroesePauly2019,1055628,fam-ocean,FroesePauly2018,35,0.23,spe-FAO,FroesePauly2018,36,spe-FAO,FroesePauly2018,36.0,spe,FroesePauly2018
Achiridae,Achirus,lineatus,S,Achirus lineatus,5,31,reef-associated,"FroesePauly2018, OBIS2018",benthivorous,FroesePauly2018,3.52,spe,FroesePauly2018,flat,rounded,1.21,spe,FroesePauly2018,0.75,fam,FroesePauly2018,non-guarder,FroesePauly2018,1.7,fam-ocean,FroesePauly2019,15500,fam,Inferred from family,21,1.09,gen-ocean,FroesePauly2018,23,spe,FroesePauly2018,7.0,fam-ocean,FroesePauly2018
Achiridae,Achirus,lineatus,S,Achirus lineatus,6,31,reef-associated,"FroesePauly2018, OBIS2018",benthivorous,FroesePauly2018,3.52,spe,FroesePauly2018,flat,rounded,1.21,spe,FroesePauly2018,0.75,fam,FroesePauly2018,non-guarder,FroesePauly2018,1.7,fam-ocean,FroesePauly2019,15500,fam,Inferred from family,21,1.09,gen-ocean,FroesePauly2018,23,spe,FroesePauly2018,7.0,fam-ocean,FroesePauly2018
Achiridae,Gymnachirus,melas,S,Gymnachirus melas,5,31,demersal,"FroesePauly2018, OBIS2018",generalist,inferred from family,3.52,family,FroesePauly2018,flat,rounded,1.39,spe,FroesePauly2018,0.75,fam,FroesePauly2018,non-guarder,FroesePauly2018,1.7,fam-ocean,FroesePauly2019,15500,spe,Carpenter2002b,21,0.19,fam-FAO,FroesePauly2018,22,spe,FroesePauly2018,7.0,fam-ocean,FroesePauly2018
Achiridae,Gymnachirus,melas,S,Gymnachirus melas,6,31,demersal,"FroesePauly2018, OBIS2018",generalist,inferred from family,3.52,family,FroesePauly2018,flat,rounded,1.39,spe,FroesePauly2018,0.75,fam,FroesePauly2018,non-guarder,FroesePauly2018,1.7,fam-ocean,FroesePauly2019,15500,spe,Carpenter2002b,21,0.19,fam-LME,FroesePauly2018,22,spe,FroesePauly2018,7.0,fam-ocean,FroesePauly2018
Achiridae,Gymnachirus,texae,S,Gymnachirus texae,5,31,demersal,"FroesePauly2018, OBIS2018",generalist,inferred from family,3.52,family,FroesePauly2018,flat,rounded,1.39,gen,FroesePauly2018,0.75,fam,FroesePauly2018,non-guarder,FroesePauly2018,1.7,fam-ocean,FroesePauly2019,15500,fam,Inferred from family,21,0.19,fam-FAO,FroesePauly2018,14,spe,FroesePauly2018,7.0,fam-ocean,FroesePauly2018
Achiridae,Trinectes,inscriptus,S,Trinectes inscriptus,5,31,demersal,"FroesePauly2018, OBIS2018",benthivorous,FroesePauly2018,3.50,spe,FroesePauly2018,flat,rounded,0.87,gen,FroesePauly2018,0.75,gen,FroesePauly2018,non-guarder,FroesePauly2018,1.7,gen-ocean,FroesePauly2019,15500,fam,Inferred from family,21,0.19,gen-FAO,FroesePauly2018,15,spe,FroesePauly2018,7.0,gen-ocean,FroesePauly2018
