;baltic_sea;british_columbia;eastern_bering_sea;evhoe;fr_cgfs;gulf_of_mexico;gulf_of_alaska;gsl_s;ie_igfs;neus;nigfs;nor_bts;ns_ibts;pt_ibts;scotian_shelf;southeast;swc_ibts;west_coast
01. Jan 93;;;;;;;;;;;;;;;;;;
02. Jan 93;;;;;;;;;;;;;;;;;;
03. Jan 93;;;;;;;;;;;;;;;;;;
04. Jan 93;;;;;;;;;;;;;;;;;;
05. Jan 93;;;;;;;;;;;;;;;;;;
06. Jan 93;;;;;;;;;;;;;;;;;;
07. Jan 93;;;;;;;;;;;;;;;;;;
08. Jan 93;;;;;;;;;;;;;;;;;;
09. Jan 93;;;;;;;;;;;;;;;;;;
10. Jan 93;;;;;;;;;;;;;;;;;;
11. Jan 93;;;;;;;;;;;;;;;;;;
12. Jan 93;;;;;;;;;;;;;;;;;;
13. Jan 93;;;;;;;;;;;;;;;;;;
14. Jan 93;;;;;;;;;;;;;;;;;;
15. Jan 93;;;;;;;;;;;;;;;;;;
16. Jan 93;;;;;;;;;;;;;;;;;;
17. Jan 93;;;;;;;;;;;;;;;;;;
18. Jan 93;;;;;;;;;;;;;;;;;;
19. Jan 93;;;;;;;;;;;;;;;;;;
20. Jan 93;;;;;;;;;;;;;;;;;;
21. Jan 93;;;;;;;;;;;;;;;;;;
22. Jan 93;;;;;;;;;;;;;;;;;;
23. Jan 93;;;;;;;;;;;;;;;;;;
24. Jan 93;;;;;;;;;;;;;;;;;;
25. Jan 93;;;;;;;;;;;;;;;;;;
26. Jan 93;;;;;;;;;;;;;;;;;;
27. Jan 93;;;;;;;;;;;;;;;;;;
28. Jan 93;;;;;;;;;;;;;;;;;;
29. Jan 93;;;;;;;;;;;;;;;;;;
30. Jan 93;;;;;;;;;;;;;;;;;;
31. Jan 93;;;;;;;;;;;;;;;;;;
01. Feb 93;;;;;;;;;;;;;;;;;;
02. Feb 93;;;;;;;;;;;;;;;;;;
03. Feb 93;;;;;;;;;;;;;;;;;;
04. Feb 93;;;;;;;;;;;;;;;;;;
05. Feb 93;;;;;;;;;;;;;;;;;;
06. Feb 93;;;;;;;;;;;;;;;;;;
07. Feb 93;;;;;;;;;;;;;;;;;;
08. Feb 93;;;;;;;;;;;;;;;;;;
09. Feb 93;;;;;;;;;;;;;;;;;;
10. Feb 93;;;;;;;;;;;;;;;;;;
11. Feb 93;;;;;;;;;;;;;;;;;;
12. Feb 93;;;;;;;;;;;;;;;;;;
13. Feb 93;;;;;;;;;;;;;;;;;;
14. Feb 93;;;;;;;;;;;;;;;;;;
15. Feb 93;;;;;;;;;;;;;;;;;;
16. Feb 93;;;;;;;;;;;;;;;;;;
17. Feb 93;;;;;;;;;;;;;;;;;;
18. Feb 93;;;;;;;;;;;;;;;;;;
19. Feb 93;;;;;;;;;;;;;;;;;;
20. Feb 93;;;;;;;;;;;;;;;;;;
21. Feb 93;;;;;;;;;;;;;;;;;;
22. Feb 93;;;;;;;;;;;;;;;;;;
23. Feb 93;;;;;;;;;;;;;;;;;;
24. Feb 93;;;;;;;;;;;;;;;;;;
25. Feb 93;;;;;;;;;;;;;;;;;;
26. Feb 93;;;;;;;;;;;;;;;;;;
27. Feb 93;;;;;;;;;;;;;;;;;;
28. Feb 93;;;;;;;;;;;;;;;;;;
01-MAR-1993;;;;;;;;;;;;;;;;;;
